OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Why this a fantome, why these oracles","Why this a fantom,° these oracles,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 11,DIFF,8,8,Why this a fantome why these oracles,Why this a fantom these oracles,u S u Sux S xx uSx,u S u Su Sx uSx,whi@adv this@pron a@indef_art fantom@n whi@adv these@pron%pl oracle@n%pl,whi@adv this@pron a@indef_art fantom@n these@pron%pl oracle@n%pl,green
I not; but whoso of these miracles,I noot;° but whoso of these miracles°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 12,,8,8,I not but whoso of these miracles,I noot but whoso of these miracles,u S u Su S xx uSx,u S u Su S xx uSx,ich@pron%nom witen@v1%pr_1_neg but@conj who-so@pron%nom of@prep these@gram_adj%pl miracle@n%pl,ich@pron%nom witen@v1%pr_1_neg but@conj who-so@pron%nom of@prep these@gram_adj%pl miracle@n%pl,
The causes knoweth bet then I,The causes knoweth bet than I,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 13,,8,8,The causes knoweth bet then I,The causes knoweth bet than I,u Su Su S u S,u Su Su S u S,the@def_art cause@n%pl knouen@v%pr_3 bet@adv%comp than@conj ich@pron%nom,the@def_art cause@n%pl knouen@v%pr_3 bet@adv%comp than@conj ich@pron%nom,
"Devyne he, for I certeinly",Devine he;° for I certeinly,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 14,,8,8,Devyne he for I certeinly,Devine he for I certeinly,uSx u S u SuS,uSx u S u SuS,divinen@v%pr_3 he@pron1%nom for@conj ich@pron%nom certainli@adv,divinen@v%pr_3 he@pron1%nom for@conj ich@pron%nom certainli@adv,
"Ne kan hem noght, ne never thinke","Ne can hem noght, ne never thinke",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 15,,8,8,Ne kan hem noght ne never thinke,Ne can hem noght ne never thinke,u S u S u Su Sx,u S u S u Su Sx,ne@conj1 connen@v%pr_1 hem@pron%pl_obj nought@adv ne@conj1 never@adv thinken@v2%pr_1,ne@conj1 connen@v%pr_1 hem@pron%pl_obj nought@adv ne@conj1 never@adv thinken@v2%pr_1,
To besily my wyt to swinke,"To besily my wit to swinke,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 16,,8,8,To besily my wyt to swinke,To besily my wit to swinke,u SuS u S u Sx,u SuS u S u Sx,to@adv2 bisili@adv min@pron%gen wit@n to@part swinken@v%inf,to@adv2 bisili@adv min@pron%gen wit@n to@part swinken@v%inf,
To knowe of hir signifiaunce,To knowe of hir signifiaunce,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 17,,8,8,To knowe of hir signifiaunce,To knowe of hir signifiaunce,u Sx u S uSuSx,u Sx u S uSuSx,to@part knouen@v%inf of@prep here@pron%pl_gen signifiaunce@n,to@part knouen@v%inf of@prep here@pron%pl_gen signifiaunce@n,
"The gendres, neyther the distaunce","The gendres,° neither the distaunce°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 18,,8,8,The gendres neyther the distaunce,The gendres neither the distaunce,u Su Su S uSx,u Su Su S uSx,the@def_art gendre@n%pl neither@conj the@def_art distaunce@n,the@def_art gendre@n%pl neither@conj the@def_art distaunce@n,
"Of tymes of hem, ne the causes","Of times of hem, ne the causes",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 19,,8,8,Of tymes of hem ne the causes,Of times of hem ne the causes,u Su S u S u Sx,u Su S u S u Sx,of@prep time@n%pl of@prep hem@pron%pl_obj ne@conj1 the@def_art cause@n%pl,of@prep time@n%pl of@prep hem@pron%pl_obj ne@conj1 the@def_art cause@n%pl,
Or why this more then that cause is --,Forwhy this more than that cause is;,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 20,DIFF,8,8,Or why this more then that cause is,Forwhy this more than that cause is,u S u Sx u S ux S,uS u Sx u S ux S,or@conj whi@adv this@pron more@adv%comp than@conj that@pron cause@n ben@v%pr_3 --@dash,for-whi@conj this@pron more@adv%comp than@conj that@pron cause@n ben@v%pr_3,green
As yf folkys complexions,As if folkes complexiouns°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 21,,8,8,As yf folkys complexions,As if folkes complexiouns,u S uS uSuS,u S uS uSuS,as@conj if@conj folk@n%gen complexioun@n%pl,as@conj if@conj folk@n%gen complexioun@n%pl,
Make hem dreme of reflexions,Make hem dreme of reflexiouns;°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 22,,8,8,Make hem dreme of reflexions,Make hem dreme of reflexiouns,ux S ux S uSuS,ux S ux S uSuS,maken@v1%pr_pl hem@pron%pl_obj dremen@v2%inf of@prep refleccioun@n%pl,maken@v1%pr_pl hem@pron%pl_obj dremen@v2%inf of@prep refleccioun@n%pl,
"Or ellys thus, as other sayn","Or ellis thus, as other sayne,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 23,,8,8,Or ellys thus as other sayn,Or ellis thus as other sayne,u Su S u Su S,u Su S u Su Sx,or@conj elles@adv thus@adv as@conj other@pron seien@v1%pr_pl,or@conj elles@adv thus@adv as@conj other@pron seien@v1%pr_pl,
For to gret feblenesse of her brayn,For° to greet feblenesse of braine,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 24,DIFF,8,8,For to gret feblenesse of her brayn,For to greet feblenesse of braine,u S u Sxux S u S,u S u SuSx u Sx,for@prep to@adv2 gret@adj feblenesse@n of@prep here@pron%pl_gen brain@n,for@prep to@adv2 gret@adj feblenesse@n of@prep brain@n,green
By abstinence or by seknesse,"By abstinence,° or by seknesse",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 25,,8,8,By abstinence or by seknesse,By abstinence or by seknesse,u SuSx u S uSx,u SuSx u S uSx,bi@prep abstinence@n or@conj bi@prep siknesse@n,bi@prep abstinence@n or@conj bi@prep siknesse@n,
Prison-stewe or gret distresse,"Prison, stewe,° or greet distresse;",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 26,DIFF,7,7,Prisonstewe or gret distresse,Prison stewe or greet distresse,SuSx u S uSx,Su Sx u S uSx,prisoun-steue@n or@conj gret@adj distresse@n,prisoun@n steue@n2 or@conj gret@adj distresse@n,green
Or ellys by dysordynaunce,Or elles by disordinaunce°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 27,,8,8,Or ellys by dysordynaunce,Or elles by disordinaunce,u Su S uSuSx,u Su S uSuSx,or@conj elles@adv bi@prep disordinaunce@n,or@conj elles@adv bi@prep disordinaunce@n,
Of naturel acustumaunce,"Of naturel acustumaunce,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 28,,8,8,Of naturel acustumaunce,Of naturel acustumaunce,u SuS uSuSx,u SuS uSuSx,of@prep natural@adj accustomaunce@n,of@prep natural@adj accustomaunce@n,
That som man is to curious,That som man is to curious°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 29,,8,8,That som man is to curious,That som man is to curious,u S u S u SuS,u S u S u SuS,that@conj som@gram_adj man@n ben@v%pr_3 to@adv2 curious@adj,that@conj som@gram_adj man@n ben@v%pr_3 to@adv2 curious@adj,
"In studye, or melancolyous","In studie, or melancolious",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 30,,8,0,In studye or melancolyous,In studie or melancolious,u Su S uSuS,   ,in@prep studie@n or@conj malencolious@adj,in@prep studie@n or@conj malencolious@adj,
Or thus so inly ful of drede,"Or thus so inly ful of drede,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 31,,8,8,Or thus so inly ful of drede,Or thus so inly ful of drede,u S u Su S u Sx,u S u Su S u Sx,or@conj thus@adv so@adv inli@adv ful@adj of@prep drede@n,or@conj thus@adv so@adv inli@adv ful@adj of@prep drede@n,
That no man may hym bote bede;,That no man may him bote bede;°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 32,,8,8,That no man may hym bote bede,That no man may him bote bede,u S u S u Su Sx,u S u S u Su Sx,that@conj no@gram_adj man@n mouen@v3%pr_3 him@pron%obj bote@n1 beden@v%inf,that@conj no@gram_adj man@n mouen@v3%pr_3 him@pron%obj bote@n1 beden@v%inf,
Or elles that devocion,"Or elles, that devocioun°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 33,,8,8,Or elles that devocion,Or elles that devocioun,u Su S uSuS,u Su S uSuS,or@conj elles@adv that@conj devocioun@n,or@conj elles@adv that@conj devocioun@n,
"Of somme, and contemplacion","Of somme, and contemplacioun",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 34,,8,8,Of somme and contemplacion,Of somme and contemplacioun,u Sx u SuSuS,u Sx u SuSuS,of@prep som@pron and@conj contemplacioun@n,of@prep som@pron and@conj contemplacioun@n,
Causeth suche dremes ofte;,Causeth swiche dremes ofte;,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 35,DIFF,7,7,Causeth suche dremes ofte,Causeth swiche dremes ofte,Su Su Su Sx,Su Su Su Sx,causen@v1%pr_3 swich@gram_adj drem@n2%pl ofte@adv,causen@v1%pr_3 swich@gram_adj drem@n2%pl ofte@adv,green
Or that the cruel lyf unsofte,Or that the cruel lif unsofte,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 36,,8,8,Or that the cruel lyf unsofte,Or that the cruel lif unsofte,u S u Su S uSx,u S u Su S uSx,or@conj that@part the@def_art cruel@adj lif@n unsoft@adj,or@conj that@part the@def_art cruel@adj lif@n unsoft@adj,
Which these ilke lovers leden,Which these ilke lovers leden°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 37,,8,8,Which these ilke lovers leden,Which these ilke lovers leden,u Su Sx uS uS,u Su Sx uS uS,which@pron these@gram_adj%pl ilke@pron_gram_adj lovere@n2%pl leden@v1%pr_pl,which@pron these@gram_adj%pl ilke@pron_gram_adj lovere@n2%pl leden@v1%pr_pl,
That hopen over-muche or dreden,That hopen over muche or dreden,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 38,DIFF,9,9,That hopen overmuche or dreden,That hopen over muche or dreden,u Su SuSx u Su,u Su Su Sx u Su,that@pron hopen@v1%pr_pl overmuche@adv or@conj dreden@v%pr_pl,that@pron hopen@v1%pr_pl or@conj muche@adv or@conj dreden@v%pr_pl,green
That purely her impressions,That purely hir impressiouns°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 39,,8,8,That purely her impressions,That purely hir impressiouns,u Sux S uSuS,u Sux S uSuS,that@conj pureli@adv here@pron%pl_gen impressioun@n%pl,that@conj pureli@adv here@pron%pl_gen impressioun@n%pl,
Causeth hem avisions;,Causeth hem avisiouns;°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 40,,7,7,Causeth hem avisions,Causeth hem avisiouns,Su S uSuS,Su S uSuS,causen@v1%pr_3 hem@pron%pl_obj avisioun@n%pl,causen@v1%pr_3 hem@pron%pl_obj avisioun@n%pl,
Or yf that spirites have the myght,Or if that spirites° have the might,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 41,,8,8,Or yf that spirites have the myght,Or if that spirites have the might,u S u Sux Sx u S,u S u Sux Sx u S,or@conj if@conj that@part spirit@n%pl haven@v%pr_pl the@def_art might@n,or@conj if@conj that@part spirit@n%pl haven@v%pr_pl the@def_art might@n,
To make folk to dreme a-nyght;,To make folk to dreme anight,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 42,,8,8,To make folk to dreme anyght,To make folk to dreme anight,u Su S u Sx uS,u Su S u Sx uS,to@part maken@v1%inf folk@n to@part dremen@v2%inf anightes@adv,to@part maken@v1%inf folk@n to@part dremen@v2%inf anightes@adv,
Or yf the soule of propre kynde,"Or if the soule, of propre kinde°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 43,,8,8,Or yf the soule of propre kynde,Or if the soule of propre kinde,u S u Sx u Su Sx,u S u Sx u Su Sx,or@conj if@conj the@def_art soule@n of@prep propre@adj kinde@n,or@conj if@conj the@def_art soule@n of@prep propre@adj kinde@n,
"Be so parfit, as men fynde","Be so parfit,° as men finde",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 44,,7,7,Be so parfit as men fynde,Be so parfit as men finde,S u Su S u Sx,S u Su S u Sx,ben@v%pr_3 so@adv parfit@adj as@conj man@n%pl finden@v%pr_pl,ben@v%pr_3 so@adv parfit@adj as@conj man@n%pl finden@v%pr_pl,
That yt forwot that ys to come,That it forwot° that is to come,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 45,,8,8,That yt forwot that ys to come,That it forwot that is to come,u S uS u S u Sx,u S uS u S u Sx,that@conj hit@pron fore-witen@v%pt_3 that@pron ben@v%pr_3 to@part comen@v%inf,that@conj hit@pron fore-witen@v%pt_3 that@pron ben@v%pr_3 to@part comen@v%inf,
And that hyt warneth alle and some,And that hit warneth alle and somme,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 46,,8,8,And that hyt warneth alle and some,And that hit warneth alle and somme,u S u Su Sx u Sx,u S u Su Sx u Sx,and@conj that@conj hit@pron warnen@v1%pr_3 al@gram_adjas_n and@conj som@pron,and@conj that@conj hit@pron warnen@v1%pr_3 al@gram_adjas_n and@conj som@pron,
Of everych of her aventures,Of everiche of hir aventures°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 47,,8,8,Of everych of her aventures,Of everiche of hir aventures,u Sxu S u SuSx,u Sxux S u SuSx,of@prep everi@pron of@prep here@pron%pl_gen aventure@n%pl,of@prep everi@pron of@prep here@pron%pl_gen aventure@n%pl,
Be avisions or be figures,"Be avisiouns,° or by figures,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 48,,8,8,Be avisions or be figures,Be avisiouns or by figures,u SuS u S uSx,u SuS u S uSx,bi@prep avisioun@n%pl or@conj bi@prep figure@n%pl,bi@prep avisioun@n%pl or@conj bi@prep figure@n%pl,
But that oure flessh ne hath no myght,But that our flesh ne hath no might,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 49,,8,8,But that oure flessh ne hath no myght,But that our flesh ne hath no might,u S ux S u S u S,u S u S u S u S,but@conj that@part oure@pron%pl_gen flesh@n ne@adv haven@v%pr_3 no@gram_adj might@n,but@conj that@part oure@pron%pl_gen flesh@n ne@adv haven@v%pr_3 no@gram_adj might@n,
To understonde hyt aryght,To understonden it aright,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 50,DIFF,8,8,To understonde hyt aryght,To understonden it aright,u SuSu S uS,u SuSu S uS,to@part understonden@v%inf hit@pron a-right@adv,to@part understonden@v%inf hit@pron a-right@adv,green
For hyt is warned to derkly --,For it is warned to° derkly;°—,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 51,,8,8,For hyt is warned to derkly,For it is warned to derkly,u S u Su S uS,u S u Su S uS,for@conj hit@pron ben@v%pr_3 warnen@v1%ppl to@adv2 derkliche@adv --@dash,for@conj hit@pron ben@v%pr_3 warnen@v1%ppl to@adv2 derkliche@adv --@dash,
"But why the cause is, noght wot I.","But why the cause is, noght wot° I.",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 52,,8,8,But why the cause is noght wot I,But why the cause is noght wot I,u S u Sx u S u S,u S u Sx u S u S,but@conj whi@adv the@def_art cause@n ben@v%pr_3 nought@adv witen@v1%pr_1 ich@pron%nom,but@conj whi@adv the@def_art cause@n ben@v%pr_3 nought@adv witen@v1%pr_1 ich@pron%nom,
Wel worth of this thyng grete clerkys,"¶Wel worthe,° of this thing, grete clerkes",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 53,,8,8,Wel worth of this thyng grete clerkys,Wel worthe of this thing grete clerkes,u S u S u Sx uS,u Sx u S u Sx uS,wel@adj worthen@v%pr_3 of@prep this@gram_adj thing@n gret@adj clerk@n%pl,wel@adj worthen@v%pr_3 of@prep this@gram_adj thing@n gret@adj clerk@n%pl,
That trete of this and other werkes,That trete of° this and other werkes;,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 54,,8,8,That trete of this and other werkes,That trete of this and other werkes,u Sx u S u Su Sx,u Sx u S u Su Sx,that@pron treten@v%pr_pl of@prep this@pron and@conj other@gram_adj werk@n%pl,that@pron treten@v%pr_pl of@prep this@pron and@conj other@gram_adj werk@n%pl,
For I of noon opinion,For I of noon opinioun,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 55,,8,8,For I of noon opinion,For I of noon opinioun,u S u S uSuS,u S u S uSuS,for@conj ich@pron%nom of@prep non@gram_adj opinioun@n,for@conj ich@pron%nom of@prep non@gram_adj opinioun@n,
Nyl as now make mensyon,Nil° as now make mensioun,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 56,,0,8,Nyl as now make mensyon,Nil as now make mensioun,    ,u S u Su SuS,willen@v%pr_1_neg as@conj nou@adv maken@v1%inf mencioun@n,willen@v%pr_1_neg as@conj nou@adv maken@v1%inf mencioun@n,
But oonly that the holy roode,But only that the holy rode°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 57,,8,8,But oonly that the holy roode,But only that the holy rode,u Su S u Su Sx,u Su S u Su Sx,but@conj onli@adv that@part the@def_art holi@adj2 rode@n5,but@conj onli@adv that@part the@def_art holi@adj2 rode@n5,
Turne us every drem to goode!,Turne° us every dreem to gode!,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 58,,8,8,Turne us every drem to goode,Turne us every dreem to gode,ux S uSu S u Sx,ux S uSu S u Sx,turnen@v%pr_3 us@pron%pl_obj everi@pron_gram_adj drem@n2 to@prep god@n2,turnen@v%pr_3 us@pron%pl_obj everi@pron_gram_adj drem@n2 to@prep god@n2,
For never sith that I was born,"¶For never, sith° that I was born",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 59,,8,8,For never sith that I was born,For never sith that I was born,u Su S u S u S,u Su S u S u S,for@conj never@adv sitthe@conj that@part ich@pron%nom ben@v%pt_1 beren@v1%ppl,for@conj never@adv sitthe@conj that@part ich@pron%nom ben@v%pt_1 beren@v1%ppl,
Ne no man elles me beforn,"Ne no man elles, me biforn",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 60,,8,8,Ne no man elles me beforn,Ne no man elles me biforn,u S u Su S uS,u S u Su S uS,ne@conj1 no@gram_adj man@n elles@adv me@pron2%obj biforen@prep,ne@conj1 no@gram_adj man@n elles@adv me@pron2%obj biforen@prep,
"Mette, I trowe stedfastly","Mette,° I trowe° stedfastly",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 61,,7,7,Mette I trowe stedfastly,Mette I trowe stedfastly,Sx u Su SuS,Sx u Su SuS,meten@v3%pt_3 ich@pron%nom trouen@v%pr_1 sted-fastli@adv,meten@v3%pt_3 ich@pron%nom trouen@v%pr_1 sted-fastli@adv,
So wonderful a drem as I,So wonderful a dreem as I,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 62,,8,8,So wonderful a drem as I,So wonderful a dreem as I,u SuS u S u S,u SuS u S u S,so@adv wonderful@adj a@indef_art drem@n2 as@conj ich@pron%nom,so@adv wonderful@adj a@indef_art drem@n2 as@conj ich@pron%nom,
The tenthe day now of Decembre,The tenthe day now of Decembre,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 63,,8,8,The tenthe day now of Decembre,The tenthe day now of Decembre,u Su S u S uSx,u Su S u S uSx,the@def_art tenthe@num_adj dai@n nou@adv of@prep decembre@n,the@def_art tenthe@num_adj dai@n nou@adv of@prep decembre@n,
"The which, as I kan now remembre","The which, as I can now remembre",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 64,,8,8,The which as I kan now remembre,The which as I can now remembre,u S u S u S uSx,u S u S u S uSx,the@def_art which@pron as@conj ich@pron%nom connen@v%pr_1 nou@adv remembren@v%inf,the@def_art which@pron as@conj ich@pron%nom connen@v%pr_1 nou@adv remembren@v%inf,
I wol yow tellen everydel.,I wol yow tellen every del.°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 65,DIFF,8,8,I wol yow tellen everydel,I wol yow tellen every del,u S u Su SxuS,u S u Su Sxu S,ich@pron%nom willen@v%pr_1 you@pron%pl_obj tellen@v%inf everi-del@n,ich@pron%nom willen@v%pr_1 you@pron%pl_obj tellen@v%inf everi@pron_gram_adj del@n2,green
"But at my gynnynge, trusteth wel","¶But at my ginning, trusteth wel",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 66,,8,8,But at my gynnynge trusteth wel,But at my ginning trusteth wel,u S u Sux Su S,u S u Su Su S,but@conj at@prep min@pron%gen ginninge@ger trusten@v%imp wel@adv,but@conj at@prep min@pron%gen ginninge@ger trusten@v%imp wel@adv,
