file,line_number,text,existing_scansion,regenerated_scansion,existing_syllables,regenerated_syllables
Anelida_gui_complete.csv,Anelida and Arcite 326,Wakinge in more discomfiture,uS u S uSuS,   ,0,0
Anelida_gui_complete.csv,Anelida and Arcite 327,Then I ne more sorowe endure,u S u S uS uS,     ,0,0
Anelida_gui_complete.csv,Anelida and Arcite 329,Than thinketh me that your figure,u Su S u S uS,     ,0,0
Anelida_gui_complete.csv,Anelida and Arcite 330,Before me stant clad in asure,uS u S u S uS,     ,0,0
Anelida_gui_complete.csv,Anelida and Arcite 331,To swere yet eft a newe assure,u S u S u Sux uS,      ,0,0
BD_gui_complete.csv,Book of the Duchess 368,Sir th emperour Octovien,S  SuS uSuS,u  SuS uSuS,8,8
BD_gui_complete.csv,Book of the Duchess 568,Nought the remedies of Ovide,S u Sxu S uSx,u S uxSu S uSx,8,8
BD_gui_complete.csv,Book of the Duchess 573,Me is wo that I live oures twelve,S u S u S ux Su Sx,x u S u S ux Su Sx,8,8
BD_gui_complete.csv,Book of the Duchess 895,Which a visage had she therto,S u Su S u uS,u S uSx u S uS,8,8
CYPro_gui_complete.csv,Prologue to the Canon's Yeoman's Tale 686,Which that this Yeman spak for suspecioun,u S u Su S u SuS,      ,0,0
CYT_gui_complete.csv,The Canon's Yeoman's Tale 961,Every man semeth as wis as Salomon,Sux u Sx u S u SuS,uxS u Sx u S u SuS,10,10
CYT_gui_complete.csv,The Canon's Yeoman's Tale 1306,To the entente that men may be war therby,ux  uS u S ux u S uS,        ,10,0
CYT_gui_complete.csv,The Canon's Yeoman's Tale 1371,For and men knewen al my subtiletee,u S u Su S u SuS,u S u Sx u S uSuS,10,10
CYT_gui_complete.csv,The Canon's Yeoman's Tale 1396,For any wit that men han now adayes,u Su S u S u S uS,       ,0,0
CYT_gui_complete.csv,The Canon's Yeoman's Tale 1447,Is of the secree of secrees parde,u S u Su S uS uS,S u S uS u Su Sx,9,9
ClT_gui_complete.csv,The Clerk's Tale 194,And they to his comandement obeye,u S u S uSuS uS,     ,0,0
ClT_gui_complete.csv,The Clerk's Tale 363,In werk ne thoght I nil yow disobeye,u S u S u S u SuS,       ,0,0
ClT_gui_complete.csv,The Clerk's Tale 454,This merveillous desir his wif t assaye,u SuS uS u S  uS,      ,0,0
ClT_gui_complete.csv,The Clerk's Tale 531,But men mot nede unto her lust obeye,u S u S uS u S uS,       ,0,0
ClT_gui_complete.csv,The Clerk's Tale 539,And leet this cruel sergeant doon his wille,u S u Su Su S u S,       ,0,0
ClT_gui_complete.csv,The Clerk's Tale 540,Suspecious was the diffame of this man,uSu S u Su S u S,      ,0,0
ClT_gui_complete.csv,The Clerk's Tale 582,And bad his sergeant that he prively,u S u Su S u SuS,      ,0,0
ClT_gui_complete.csv,The Clerk's Tale 585,And carie it in a cofre or in a lappe,u Sux u S u Sux u S u S,         ,0,0
ClT_gui_complete.csv,The Clerk's Tale 596,The sergeant gooth and hath fulfild this thing,u Su S u S uS S S,       ,0,0
ClT_gui_complete.csv,The Clerk's Tale 623,Whan that they finde a pacient creature,u S u S u Su SuS,      ,0,0
ClT_gui_complete.csv,The Clerk's Tale 643,Out of yourself for no wo sholde outraye,u S uS u S u Sux uS,       ,0,0
ClT_gui_complete.csv,The Clerk's Tale 658,Doth your plesaunce I wol your lust obeye,u S uS u S u S uS,       ,0,0
ClT_gui_complete.csv,The Clerk's Tale 945,So noble array in al West Lumbardie,u Su Su u S u SuS,      ,0,0
ClT_gui_complete.csv,The Clerk's Tale 961,The chambres for t arraye in ordinaunce,u Su S  uS u SuS,      ,0,0
ClT_gui_complete.csv,The Clerk's Tale 965,Though thin array be badde and ivel biseie,u S uS u S u Su Sux,       ,0,0
ClT_gui_complete.csv,The Clerk's Tale 1052,Be now namore agast ne ivel apaied,u S uS uS u Su uS,      ,0,0
ClT_gui_complete.csv,The Clerk's Tale 1167,The gold of hem hath now so badde alayes,u S u S u S u S uS,        ,0,0
ClT_gui_complete.csv,The Clerk's Tale 1186,To write of yow a storie of swich mervaille,u S u S u Sux u S uS,        ,0,0
FranPro_gui_complete.csv,Prologue to the Franklin's Tale 676,So feelingly thou spekest sir I allow the,u SuS u Su S x uSx ,u SuS u Sx u x Su S,10,10
FranPro_gui_complete.csv,Prologue to the Franklin's Tale 694,There he might lerne gentillesse aright,x S u Su SuSx uS,ux S u Su SuSx uS,10,10
FranT_gui_complete.csv,The Franklin's Tale 762,That frendes everich other moot obeye,u Su Su Su S uS,     ,0,0
FranT_gui_complete.csv,The Franklin's Tale 834,The emprenting of hir consolacioun,ux uSu S u SuSuS,    ,0,0
FranT_gui_complete.csv,The Franklin's Tale 875,It dooth no good to my wit but anoyeth,u S u S u S u S uSx,        ,0,0
FranT_gui_complete.csv,The Franklin's Tale 876,See ye nat lord how mankinde it destroyeth,u S u S u Su S uSx,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 954,Ne dorste he nat to hir his wo biwreye,u S u S u S u S uS,        ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1008,And with a sorweful herte he thus answerde,u S u Su S u S uS,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1050,Is to be quiked and lightned of your fir,u S u S u Su S u S,u S u Su S ux S u S,10,10
FranT_gui_complete.csv,The Franklin's Tale 1064,Holdeth your hest the rokkes been aweye,Sux u S u Su S uS,      ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1077,Thy temple in Delphos wol I barfoot seke,u Sux u Su S u Su S,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1094,Nothing list him to been imaginatif,Su S u S ux uSuS,     ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1100,And of the sike Aurelius wol I telle,u S u S uSu S u S,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1124,At Orliens in studie a book he say,u Su S uS u S u S,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1129,Which book spak muchel of the operaciouns,u S u Sux ux u SuSuS,      ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1183,Doun of his hors Aurelius lighte anon,u S u S uSu S uS,      ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1184,And forth with this magicien is he gon,u S u S uSu S u S,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1205,And yet remoeved they never out of the hous,u S uS s Sux u S u S,        ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1241,Aurelius and this magicien biside,uSu S u SuS uS,    ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1268,That of Britain the rokkes were aweye,u S uS u Su S uS,      ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1272,Of swich a superstitious cursednesse,u S u SuSu SuS,    ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1282,Fro the heed of thilke fixe Aries above,u ux S u Su S uS uS,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1296,It semed that al the rokkes were aweye,u S u S u Su S uS,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1306,And to the temple his wey forth hath he holde,u S u Su u S u S u S,         ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1331,Madame I speke it for the honour of yow,uS u S u S ux uS u S,        ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1338,But wel I woot the rokkes been aweye,u S u S u Su S uS,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1374,Upon the pavement God yeve hem mischaunce,uS u Su S u S uS,      ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1412,Mo than a thousand stories as I gesse,u S u Su Su S u S,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1441,Than for to suffre his body unburied be,u S u Sux u Sux uSu S,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1448,The same of noble Porcia telle I may,u S u Su Su S u S,       ,0,0
FranT_gui_complete.csv,The Franklin's Tale 1557,Aurelius that his cost hath al forlorn,uSu S u S u S uS,      ,0,0
FriT_gui_complete.csv,The Friar's Tale 1314,Ther mighte asterte him no pecunial peine,u S uS u S uSu S,      ,0,0
FriT_gui_complete.csv,The Friar's Tale 1547,The devel have al both hors and cart and hey,u Sux u S u S u S u S,         ,0,0
HF_gui_complete.csv,House of Fame 11,Why this a fantom these oracles,u S u Su S uSu,u S u Su Sx uSx,10,8
HF_gui_complete.csv,House of Fame 38,That hopen over muche or dreden,u Su Su Su S uS,u Su Su Sx u Su,10,9
HF_gui_complete.csv,House of Fame 65,I wol yow tellen every del,S u S uS uSu S,u S u Su Sxu S,9,8
HF_gui_complete.csv,House of Fame 73,Beside a folk men clepe Cimerie,uSx u S u Su SuS,uSx u S u Sx uxS,10,8
HF_gui_complete.csv,House of Fame 135,Hir rose garlonde whit and rede,u Su Su S u Sx,u Sx uSu S u Sx,9,8
HF_gui_complete.csv,House of Fame 151,First saw I the destruccioun,u S u u uSuS,u S u S uSuS,0,8
HF_gui_complete.csv,House of Fame 177,And hir yonge son Julo,u S u S uS,S u Su S uS,0,7
HF_gui_complete.csv,House of Fame 312,Dido of hir peine,Su S u S,   ,0,0
HF_gui_complete.csv,House of Fame 409,For had he laughed had he loured,S u S uS u S uS,u S u Su S u Sx,9,8
HF_gui_complete.csv,House of Fame 521,Helpeth that on Parnaso dwelle,S u S uSu S,uS u S uSu Sx,0,8
HF_gui_complete.csv,House of Fame 548,For I cam up I niste how,      ,u S u S u Su S,0,8
HF_gui_complete.csv,House of Fame 590,That were bore up as men rede,S u S u S u S,u Su Sx u S u Sx,0,8
HF_gui_complete.csv,House of Fame 618,And fair Venus goddesse also,S u Su Sux uS,u S uS uSx uS,0,8
HF_gui_complete.csv,House of Fame 622,To make bokes songes and ditees,u Su S u S uS,u Sx uS ux S uS,10,8
HF_gui_complete.csv,House of Fame 634,And evermo of love enditest,u SuS u S uSux,u SuS u Sx uSx,10,8
HF_gui_complete.csv,House of Fame 635,In honour of him and preisinges,u Su S u S Su,u Su S u S uSx,9,8
HF_gui_complete.csv,House of Fame 675,Of Loves folke mo tidinges,u Su Su S Sux,u Su Sx u SuS,0,8
HF_gui_complete.csv,House of Fame 676,Both soth sawes and lesinges,u Su Su S uS,u S uS u SuS,0,8
HF_gui_complete.csv,House of Fame 711,First shalt thou heren wher she dwelleth,u S u Su S u Sux,u S u Su S x uS,9,8
HF_gui_complete.csv,House of Fame 716,That whatsoever in al these three,u SuS u S u S,u SuSu S u xx S,10,8
HF_gui_complete.csv,House of Fame 717,Is spoken in privee or aperte,u Su S uSux S uSx,u Sx u Su S uSx,9,8
HF_gui_complete.csv,House of Fame 780,Right so it breketh whan men speketh,u S u Su S u Sux,u S u Su S u Sx,9,8
HF_gui_complete.csv,House of Fame 791,A litel roundel as a cercle,u Su Su S u Sux,u Su Su S u Sx,0,8
HF_gui_complete.csv,House of Fame 796,Every cercle causinge other,Su Su Su Su,uSu Sx uSx uS,0,8
HF_gui_complete.csv,House of Fame 817,Everich air in other stereth,Su S u Su Sux,uSu S u Su Sx,9,8
HF_gui_complete.csv,House of Fame 844,Ther as Fame list to dwelle,u S Su S u S,S u Su S u Sx,0,7
HF_gui_complete.csv,House of Fame 863,At ones Wost thou not wel this,u Us S u S u S,u Su S u S u S,0,8
HF_gui_complete.csv,House of Fame 894,And I anoon shal telle thee,u S uS S Su S,u S uS u Su S,0,8
HF_gui_complete.csv,House of Fame 899,Now valeis and now forestes,S uS u S Sux,u Su S u SuS,0,8
HF_gui_complete.csv,House of Fame 930,Dwelleth many a citezein,Su Sux u SuS,uS uS u SuS,0,8
HF_gui_complete.csv,House of Fame 968,And th engendring of hir kindes,S  uSu S u S,u  SuS u S uS,0,8
HF_gui_complete.csv,House of Fame 995,And why For I am now to olde,u S u S u S s S,u S u S u S u Sx,0,8
HF_gui_complete.csv,House of Fame 1007,Or Atalantes doughtres sevene,u SuSu Su Sux,u SuSu Su Sxx,9,8
HF_gui_complete.csv,House of Fame 1035,Quod I again the roches holowe,u S uS u Su Sux,u S uS u Sx uSx,9,8
HF_gui_complete.csv,House of Fame 1060,Of folk that doun in erthe dwellen,u S u S u Su Sux,u S u S u Sx uS,0,8
HF_gui_complete.csv,House of Fame 1071,Thou wost how cometh every speche,u S u Su Su Sxu,u S u Su Sxu Sx,9,8
HF_gui_complete.csv,House of Fame 1114,Of hous and cite and al the wise,u S u Sux u S u S,u S u Sx u S u Sx,0,8
HF_gui_complete.csv,House of Fame 1154,Of folk that hadden grete fames,u S u Su Su S,u S u Su Sx uS,0,8
HF_gui_complete.csv,House of Fame 1156,As fresshe as men had writen hem there,u Sux u S u Sux u Sx,u Sx u S u Su S xx,10,8
HF_gui_complete.csv,House of Fame 1162,Of a castel that stood on hi,S u Sux u S u S,u S uS u S u S,0,8
HF_gui_complete.csv,House of Fame 1177,So that the grete beautee,u S u Su SuS,    ,0,0
HF_gui_complete.csv,House of Fame 1234,Pipers of alle Duche tonge,Sux u Su Su S,uS u Su Su Sx,0,8
HF_gui_complete.csv,House of Fame 1235,To lerne hovedaunces springes,u Su SuSu S,u Sx uSuS uS,0,8
HF_gui_complete.csv,House of Fame 1253,Whiche that I can not nevene,Su S u Su  Sux,Sx u S u S uSx,0,7
HF_gui_complete.csv,House of Fame 1263,That usen exorsisaciouns,u Su SuSuuxS,u Sx uSuSuS,9,8
HF_gui_complete.csv,House of Fame 1280,I saugh him carien a wind melle,u S u Sux u Su S,      ,9,0
HF_gui_complete.csv,House of Fame 1300,To make yow to longe dwellen,u Su S u Su Sux,u Su S u Sx uS,0,8
HF_gui_complete.csv,House of Fame 1329,But noght nil I so mote I thrive,u S u S u S S S,u S u S u Sx u Sx,0,8
HF_gui_complete.csv,House of Fame 1335,Twenty foot thikke as I trowe,Su S u S u S,uS u Su S u Sx,0,8
HF_gui_complete.csv,House of Fame 1364,I saugh perpetually ystalled,u S uSuSux uS,   ,10,0
HF_gui_complete.csv,House of Fame 1404,They songe of Fame as tho herde I,u Sx u Sux u S u S,u Sx u Sx u S ux S,10,8
HF_gui_complete.csv,House of Fame 1477,Oon seide Omere made lies,u Su Su Su S,u Sx uSu Sx uS,0,8
HF_gui_complete.csv,House of Fame 1533,As they were come into the halle,S u Su Sx uS u Sx,u S ux Sx uS u Sx,9,8
HF_gui_complete.csv,House of Fame 1543,What hir cause was I niste,S u Su S u Sux,S u Su S u Sx,0,7
HF_gui_complete.csv,House of Fame 1686,As men a pot ful of bawme helde,u S u S ux u Su Sx,u S u S u S ux Sx,9,8
HF_gui_complete.csv,House of Fame 1688,This savour dide he til hir loses,u Su S u S u Sux,u Su Sx u S u Sx,10,8
HF_gui_complete.csv,House of Fame 1701,Quod she let your werk be dede,u S u Su S u S,S u S u S u Sx,0,7
HF_gui_complete.csv,House of Fame 1709,For no fame ne swich renoun,S u Sux u S uS,S u Sx u S uS,0,7
HF_gui_complete.csv,House of Fame 1719,Quod she thou Eolus I hote,u S u SuS u S,S u S uS u Sx,0,7
HF_gui_complete.csv,House of Fame 1777,Ye masty swin ye idel wrecches,u Su S u Su Su,u Su S u Su Sx,9,8
HF_gui_complete.csv,House of Fame 1778,Ful of roten slowe tecches,S u Su Su Su,S u Su Sx uS,0,7
HF_gui_complete.csv,House of Fame 1793,Sey These ben they that wolden honour,u S u S u Sux uS,u Sx u S u Sx uS,10,8
HF_gui_complete.csv,House of Fame 1838,I graunte it yow quod she ywis,u Sux u S u S uS,u Sx u S u S uS,0,8
HF_gui_complete.csv,House of Fame 1841,And on thy tipet swiche a belle,      ,u S u Su Sx u Sx,0,8
HF_gui_complete.csv,House of Fame 1844,That brent the temple of Isidis,u S u Su S uS,     ,0,0
HF_gui_complete.csv,House of Fame 1887,Som newe thinge I not what,S u Su S u S,u Su Su S u S,0,8
HF_gui_complete.csv,House of Fame 1907,Whiche be lo these tidinges,Su S u S uS,ux S u Su SuS,9,8
HF_gui_complete.csv,House of Fame 1918,Tho saugh I stonde in a valeye,u S u S u S uS,      ,0,0
HF_gui_complete.csv,House of Fame 1937,And grene eek and som were white,u Su S u S u S,u Sx u S u Su Sx,0,8
HF_gui_complete.csv,House of Fame 1984,As the see of welles and springes,S u S u S u S,u S u S uS u Sx,9,8
HF_gui_complete.csv,House of Fame 1986,Certes quod I in al min age,S u S u S u S,uS u S u S u Sx,0,8
HF_gui_complete.csv,House of Fame 1993,And seide thus I preye thee,u Su S u Su S,     ,0,0
HF_gui_complete.csv,House of Fame 2026,Shaltow anoon heer many lere,uS uS S Su S,uS uS u Su Sx,0,8
HF_gui_complete.csv,House of Fame 2042,Hadde I a footebrede of space,Su S u SuSx u Sx,ux S u SuSx u Sx,9,8
HF_gui_complete.csv,House of Fame 2067,More than ever it spoken was,S u S u Su S,ux S uS u Su S,9,8
HF_gui_complete.csv,House of Fame 2099,With the nones that thou do so,S u S u S u S,u S uS u S u S,0,8
HF_gui_complete.csv,House of Fame 2128,Currours and eek messangeres,Su S u SuS,uS u S uSuS,0,8
HF_gui_complete.csv,House of Fame 2153,And troden faste on othere heles,u Su Sux S uSx uS,u Su Sx u Sux Sx,10,8
HF_gui_complete.csv,House of Fame 2154,And stampe as men don after eles,u Sux u S u Su S,u Sx u S u Su Sx,10,8
HF_gui_complete.csv,House of Fame 2156,Whiche that I nat ne can,u S u S u S,Su S u S u S,0,7
KnT_gui_complete.csv,The Knight's Tale 928,Here in the temple of the goddesse Clemence,u S u Su S ux uS Su,       ,0,0
KnT_gui_complete.csv,The Knight's Tale 2277,Th encens the clothes and the remenant al, uS u Su S u Sx S, uS u Su S u Sxu S,10,10
KnT_gui_complete.csv,The Knight's Tale 2518,Som with the balled som with the thikke herd,u S u Sx u S u  SuS,u S u Su S u S ux S,10,10
KnT_gui_complete.csv,The Knight's Tale 3108,And God save al this faire companie,u S ux S u Sx uSuS,u S ux S u Su SuS,10,10
LGW_FPro_gui_complete.csv,The Legend of Good Women; Prologue F 138,This was hir song The fouler we defie,u S u Su  Su S uS,u S u S u Su S uS,10,10
LGW_gui_complete.csv,100-ch 635,Up goth the trompe and for to shoute and shete,         ,u S u Sx u S u Sx u Sx,0,10
LGW_gui_complete.csv,100-ch 756,Thus wold they seyn Allas thou wikked wal,u S u SuS  u Su S,u S u S uS u Su S,10,10
LGW_gui_complete.csv,100-ch 798,For alle her frendes for to save her trouthe,u Sx u SuS  u Sx u Sx,u Sx u Su S u Sx u Sx,10,10
LGW_gui_complete.csv,100-ch 1016,Unto the maister temple of al the toun,uS u Su Sux u S u S,       ,10,0
LGW_gui_complete.csv,100-ch 1106,To dauncing chambres ful of parements,u SuSu Su S u SuS,u Su Su S u SuS,10,10
LGW_gui_complete.csv,100-ch 1416,Withoute slaunder of his compassement,uSu Su S u SuS,uSx uS u S uSuS,10,10
LGW_gui_complete.csv,100-ch 2232,Or al be that it was not thy doing,Su  S u S u S u S,S u S u S u S u S,9,9
LGW_gui_complete.csv,100-ch 2643,At shorte wordes thou ne scapest noght,u Su Su S  uSu S,u Su Su S u Su S,10,10
MLT_gui_complete.csv,The Man of Law's Tale 914,The lordes stiward God yeve him meschaunce,u Su  SuS ux S uSx,u Su Su S ux S uSx,10,10
MLT_gui_complete.csv,The Man of Law's Tale 1021,That I of woot but shortly in a stounde,u S u Su  Su S u Sx,u S u S u Su S u Sx,10,10
MerT_gui_complete.csv,The Merchant's Tale 1268,To take a wif it is a glorious thing,u S u S u S u Suxu S,        ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1269,And namely whan a man is old and hoor,u Su S u S u S u S,        ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1310,Deffye Theofraste and herke me,uSu SuS u Su S,    ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1393,For which this Januarie of whom I tolde,u S u SuS u S u S,       ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1448,By cause of leveful procreacioun,u S u Su SuSuS,    ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1557,And namely with a yong wif and a fair,u Su S u S u S u S,        ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1565,I prey yow that ye be nat ivel apaid,u S u S u S u Sux uS,        ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1566,Wel quod this Januarie and hastow said,u S u SuSux u Su S,      ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1577,Heigh fantasie and curious bisinesse,u SuS u Su SuS,    ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1579,Of Januarie aboute his mariage,u SuSux uS u SuS,    ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1586,Gan Januarie inwith his thoght devise,u SuSux uS u S uS,     ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1600,He purtreied in his herte and in his thoght,u Su S u S u S u S,        ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1652,Come to the blisse ther Crist eterne on live is,u S u S u S uS u S u,         ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1682,My tale is done for my wit is thinne,u Sx u Su u u S u Sx,u Sx u Su S u S u Sx,10,10
MerT_gui_complete.csv,The Merchant's Tale 1734,Of hir Philologie and him Mercurie,u S SuSux u S uSu,     ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1750,This Januarie is ravisshed in a traunce,u SuSx u Su S u S,      ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1801,Fro Januarie with thank on every side,u SuSux u S u Su S,      ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1809,And many a letuarie hadde he ful fin,u Sux u SuSux u S u S,       ,0,0
MerT_gui_complete.csv,The Merchant's Tale 1966,Til evensong rong and that they moste arise,u SuS ux u S u S ,       ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2008,To Januarie whan that he for hir sente,u  u S u S u S,       ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2013,And eek to Januarie he gooth as lowe,u S u SuSux u S u S,       ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2023,This noble Januarie with al his might,u Su SuSux u S u S,      ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2042,This noble knight this Januarie the olde,u Su S u SuSux u S,      ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2056,To Januarie ne to no creature,u SuSux u S u SuS,     ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2084,He paciently took his adversitee,u SuS u S uSuS,    ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2088,That neither in halle n in noon other hous,u Sx u Sx  uSu S u S,u Su S ux  S u Su S,10,10
MerT_gui_complete.csv,The Merchant's Tale 2107,O Januarie what mighte it thee availle,u SuSux u S u S uS,      ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2118,That Januarie bar of the smale wiket,u SuSx u S u Su Su,      ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2125,O noble Ovide ful sooth seystou God woot,u Sux uS u S uS u S,       ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2134,That Januarie hath caught so greet a wil,u SuSux u S u S u S,       ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2156,This Januarie as blind as is a stoon,u SuSux u S u S u S,       ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2217,And thus I lete him sitte upon the pirie,u S u S u S uS u Su,        ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2218,And Januarie and May rominge mirie,u SuSux u Su Su Su,     ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2222,He was that time in Geminis as I gesse,u S u S u SuS u u S,        ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2243,Fulfild of sapience and of worldly glorie,uS u SuS ux u Su Su,      ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2253,So falle upon your bodies yet tonight,u S uS u Su S uS,      ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2295,So made he eek a temple of false goddis,u S u S u Sux u Su S,        ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2320,Now lat us turne again to Januarie,u S u S uS u SuSxu,      ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2324,So longe aboute the aleyes is he goon,u S uS u Su S u S,       ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2338,Allas quod he That I ne had heer a knave,uS u S u S ux u S u S,         ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2350,Ladies I prey yow that ye be nat wrooth,uS u S u S u S u S,        ,0,0
MerT_gui_complete.csv,The Merchant's Tale 2355,To Januarie he gaf again his sighte,u SuSux u S uS u S,      ,0,0
MilPro_gui_complete.csv,The Miller's Prologue 3111,That he ne seide it was a noble storie,u S u S u S u Su Sux,        ,0,0
