line,vetted_scansion,vetted_normalized,computer_scansion,computer_normalized,match,syllables,penalty
That been despeired out of Loves grace.,u S uSu S u Su S,ususususus,S u Su S u Su S,susususus,NO,9,5
And biddeth eek for hem that been at ese,u Su S u S u S u S,ususususus,u S u S u S u S uS,ususususus,YES,10,10
That God hem graunte ay good perseveraunce,u S u S u S uSuS,ususususus,u S u S u S uSuS,ususususus,YES,10,0
And sende hem might hir ladies so to plese,u S u S u Su S u S,ususususus,S  u S u Su S u S,susususus,NO,9,9
That it to Love be worship and plesaunce.,u S u Su S uS u S,ususususus,u S u Su  Su S uS,ususususus,YES,10,2
For so hope I my soule best avaunce,u S u S u Su S uS,ususususus,u S u S u Su S uS,ususususus,YES,10,0
To prey for hem that Loves servaunts be,u S u S u Su Su S,ususususus,S u S u S uS uS ,susususus,NO,9,5
And write hir wo and live in charitee.,u S u S u S u SuS,ususususus,u Su S u S u S uS,ususususus,YES,10,0
And for to have of hem compassioun,u S u S u S uSuS,ususususus,u S u S u S uSuS,ususususus,YES,10,0
As though I were hir owne brother dere.,u S u S u Su Su S,ususususus,S u S  u Su Su S,susususus,NO,9,15
Now herkneth with a good entencioun,u Su S u S uSuS,ususususus,S u S u S uSuS,susususus,NO,9,22
For now wol I gon streight to my matere,u S u S u S u S uS,ususususus,S u S u S u S u S,susususus,NO,9,6
In which ye may the double sorwes here,u S u S u Su Su S,ususususus,u S u S u Su Su S,ususususus,YES,10,10
Of Troilus in loving of Criseyde,u SuS u Su S uS,ususususus,u SuS u Su S uS,ususususus,YES,10,0
And how that she forsook him er she deide.,u S u S uS u S u S,ususususus,S u S u Su S u  S,susususus,NO,9,7
It is wel wist how that the Grekes stronge,u S u S u S u Su S,ususususus,u S u S u S u Su S,ususususus,YES,10,0
In armes with a thousand shippes wente,u Su S u Su Su S,ususususus,S uS u S uS uS ,susususus,NO,9,5
To Troyewardes and the citee longe,u SuSu S u Su S,ususususus,u SuSu S u Su S,ususususus,YES,10,0
Assegeden neigh ten yeer er they stente,uSuS u S u S u S,ususususus,uSu S u S u S uS,ususususus,YES,10,26
And in diverse wise and oon entente,u S uSu S u S uS,ususususus,S u Su S u S uS,susususus,NO,9,16
The ravisshing to wreken of Eleine,u SuS u Su S uS,ususususus,u SuS u Su S uS,ususususus,YES,10,0
By Paris doon they wroughten al hir peine.,u Su S u Su S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,0
Now fil it so that in the toun ther was,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
Dwellinge a lord of greet auctoritee,uS u S u S uSuS,ususususus,uSu S u S u SuS,ususususus,YES,10,5
A gret devin that cleped was Calkas,u S uS u Su S uS,ususususus,u S uS u Su S uS,ususususus,YES,10,0
That in science so expert was that he,u S uS u Su S u S,ususususus,S u SuS u S u S ,susususus,NO,9,17
Knew wel that Troye shold destroyed be,u S u Su S uSu S,ususususus,u S u Su S uSu S,ususususus,YES,10,10
By answere of his god that highte thus,u Su S u S u Su S,ususususus,u Su S u S u Su S,ususususus,YES,10,0
Daun Phebus or Apollo Delphicus.,u Su S uSu SuS,ususususus,u Su S uSu SuS,ususususus,YES,10,0
So whan this Calkas knew by calculinge,u S u Su S u SuS,ususususus,u S u Su S u SuS,ususususus,YES,10,0
And eek by answere of this Appollo,u S u Su S u SuS,ususususus,u S u Su S u SuS,ususususus,YES,10,0
That Grekes sholden swich a peple bringe,u Su Su S u Su S,ususususus,u Su Su S u Su S,ususususus,YES,10,0
Thorugh which that Troye moste been fordo,u S u Su Su S uS,ususususus,uS u S u Su S uS,ususususus,YES,10,17
He caste anoon out of the toun to go;,u S uS u S u S u S,ususususus,u S uS u S u S u S,ususususus,YES,10,0
For wel wiste he by sort that Troye sholde,u S u S u S u Su S,ususususus,S u Su  S u S u S,susususus,NO,9,9
Destroyed been ye wolde who-so nolde.,uSu S u Su Su S,ususususus,uSu S u Su Su S,ususususus,YES,10,15
For which for to departen softely,u S u S uSu SuS,ususususus,u S u S uSu SuS,ususususus,YES,10,0
Took purpos ful in this forknowing wise,u Su S u S uSu S,ususususus,u Su S u S uSu S,ususususus,YES,10,0
And to the Grekes ost ful prively,u S u Su S u SuS,ususususus,u S u Su S u SuS,ususususus,YES,10,0
He stal anoon; and they in curteis wise,u S uS u S u Su S,ususususus,u S uS u S u Su S,ususususus,YES,10,0
Him deden bothe worship and servise,u Su Su Su S uS,ususususus,S u Su Su S uS,susususus,NO,9,7
In trust that he hath conning hem to rede,u S u S u Su S u S,ususususus,S u S u S uS u S ,susususus,NO,9,5
In every peril which that is to drede.,u Su Su S u S u S,ususususus,u SuS uS u S u S ,ususususus,YES,10,0
The noise up roos whan it was first aspied,u S u S u S u S uS,ususususus,u S u S u S u S uS,ususususus,YES,10,0
Thorugh al the toun and openly was spoken,u S u S u SuS u Su,usususususu,uS u  S u SuS u Su,usususususu,YES,11,2
That Calkas traitor fled was and allied,u Su Su S u S uS,ususususus,u Su Su S u S uS,ususususus,YES,10,15
With hem of Grece; and casten to ben wroken,u S u S u Su S u Su,usususususu,u S u S u Su S u Su,usususususu,YES,11,0
On him that falsly hadde his feith so broken;,u S u Su S u S u Su,usususususu,u S u Su Su S u S u,usususususu,YES,11,0
And seiden he and al his kin at ones,u Su S u S u S u S,ususususus,u Su  S u S u S uS,ususususus,YES,10,0
Ben worthy for to brennen fel and bones.,u Su S u Su S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,15
Now hadde Calkas left in this meschaunce,u Su Su S u S uS,ususususus,u Su Su S u S uS,ususususus,YES,10,0
Al unwist of this FALSE and wikked dede,u Su S u S u Su S,ususususus,u Su S u S u Su S,ususususus,YES,10,10
His doughter which that was in gret penaunce,u Su S u S u S uS,ususususus,u Su S u S u S uS,ususususus,YES,10,0
For of hir lif she was ful sore in drede,u S u S u S u S u S,ususususus,u S u S u S u Su S ,ususususus,YES,10,5
As she that niste what was best to rede;,u S u Su S u S u S,ususususus,S u S uS u S u S ,susususus,NO,9,15
For bothe a widowe was she and allone,u S u Su S u S uS,ususususus,S u S uS u  S uS,susususus,NO,9,7
Of any freend to whom she dorste hir mone.,u Su S u S u S u S,ususususus,S uS u S u  S u S,susususus,NO,9,7
Criseyde was this lady name aright,uSu S u Su S uS,ususususus,uSu S u Su S uS,ususususus,YES,10,0
As to my dome in alle Troyes citee,u S u S u Su S uS,ususususus,u S u S u Su Su S,ususususus,YES,10,0
Nas noon so fair forpassing every wight,u S u S uSu Su S,ususususus,u S u S uSu Su S,ususususus,YES,10,1
So aungellik was hir natif beautee,u SuS u S uS uS,ususususus,u SuS u S uS uS,ususususus,YES,10,0
That lik a thing inmortal semed she,u S u S uSu Su S,ususususus,u S u S uSu Su S,ususususus,YES,10,10
As doth an hevenish parfit creature,u S u Su Su SuS,ususususus,u S u SuS uS uS,ususususus,YES,10,0
That doun were sent in scorning of nature.,u S u S u Su S uS,ususususus,u S  u S uS u SuS,ususususus,YES,10,14
This lady which that alday herde at ere,u Su S u Su S u S,ususususus,S uS u S uS u S ,susususus,NO,9,5
Hir fadres shame his falsnesse and tresoun,u Su S u Su S uS,ususususus,u Su Su S uS u S,ususususus,YES,10,0
Wel nigh out of hir wit for sorwe and fere,u S u S u S u S u S,ususususus,S u S u S u S u S ,susususus,NO,9,5
In widewes habit large of samit broun,u Su Su S u Su S,ususususus,u Su Su S u Su S,ususususus,YES,10,1
On knees she fil biforn Ector adoun;,u S u S uS uS uS,ususususus,u S u S uS uS uS,ususususus,YES,10,0
With pitous vois and tendrely wepinge,u Su S u SuS uS,ususususus,S uS u S uSu S,susususus,NO,9,5
His mercy bad hirselven excusinge.,u Su S uSu SuS,ususususus,S uS u Su SuS,susususus,NO,9,5
Now was this Ector pitous of nature,u S u Su Su S uS,ususususus,u S u Su Su S uS,ususususus,YES,10,0
And saw that she was sorwfully bigoon,u S u S u SuS uS,ususususus,S u S  u SuS uS,susususus,NO,9,7
And that she was so fair a creature;,u S u S u S u SuS,ususususus,u S u S u S u SuS,ususususus,YES,10,0
Of his goodnesse he gladed hir anoon,u S uS u Su S uS,ususususus,u S uSu  Su S uS,ususususus,YES,10,2
And seide “Lat your fadres treson goon,u Su S u Su Su S,ususususus,u Su S u Su Su S,ususususus,YES,10,0
Forth with mischaunce and ye yourself in joye,u S uS u S uS u S,ususususus,S u Su S u S u S,susususus,NO,9,5
Dwelleth with us whil you good list in Troye.,uS u S u S u S u S,ususususus,u S u S u S u S uS,ususususus,YES,10,12
“And al th’onour that men may doon yow have,u S uS u S u S u S,ususususus,u S uS u S u S u S,ususususus,YES,10,15
As ferforth as your fader dwelled here,u Su S u Su Su S,ususususus,S u S u Su Su S,susususus,NO,9,15
Ye shul han and your body shal men save,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
As fer as I may ought enquere or here.”,u S u S u S uS u S,ususususus,S u S u S u Su S ,susususus,NO,9,5
And she him thonked with ful humble chere,u S u Su S u Su S,ususususus,S  u Su S u Su S,susususus,NO,9,15
And ofter wolde and it had ben his wille,u Su S u S u S u S,ususususus,u S u S u S u S uS,ususususus,YES,10,12
And took hir leve and hoom and held hir stille.,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
And in hir hous she abood with swich meinee,u S u S x uS u S uS,ususususus,S u S u  Su S u S,susususus,NO,9,5
As to hir honour nede was to holde;,u S u Su Su S u S,ususususus,S u S uS u S u S,susususus,NO,9,7
And whil she was dwellinge in that citee,u S u S uS u S uS,ususususus,u S u S uSu S u S,ususususus,YES,10,5
Kepte hir estat and bothe of yonge and olde,u S uS u S u S u S,ususususus,u S uS u S u S u S,ususususus,YES,10,0
Ful wel beloved and wel men of hir tolde.,u S uS u S u S u S,ususususus,u S uS u S u S u S,ususususus,YES,10,0
But whether that she children hadde or noon,u Su S u Su S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,0
I rede it nought; therfore I lete it goon.,u S u S uS u S u S,ususususus,S u S u S u S u S,susususus,NO,9,5
The thinges fellen as they doon of werre,u Su Su S u S u S,ususususus,u Su Su S u S u S,ususususus,YES,10,10
Bitwixen hem of Troye and Grekes ofte;,uSu S u S u Su S,ususususus,uSu S u S u Su S,ususususus,YES,10,0
For som day boughten they of Troye it derre,u S u Su S u S u S,ususususus,u S u Su S u Su S ,ususususus,YES,10,5
And eft the Grekes founden no thing softe,u S u Su Su S u S,ususususus,u S u Su Su S u S,ususususus,YES,10,0
The folk of Troye; and thus fortune onlofte,u S u S u S uS uS,ususususus,u S u S u S uS uS,ususususus,YES,10,0
And under eft gan hem to wheelen bothe,u Su S u S u Su S,ususususus,u Su S u S u Su S,ususususus,YES,10,0
After hir cours ay whil that they were wrothe.,uS u S u S u S u S,ususususus,S u S u S u S u S,susususus,NO,9,7
But how this toun com to destruccioun,u S u S u S uSuS,ususususus,u S u S u S uSuS,ususususus,YES,10,0
Ne falleth nought to purpos me to telle;,u Su S u Su S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,10
For it were here a long disgressioun,u S u S u S uSuS,ususususus,u S uS u S u SuS,ususususus,YES,10,10
Fro my matere and yow to long to dwelle.,u S uS u S u S u S,ususususus,S u Su S u S u S ,susususus,NO,9,5
But the Troyane gestes as they felle,u S uSu Su S u S,ususususus,S u Su Su S u S,susususus,NO,9,7
In Omer or in Dares or in Dite,u Su S u Su S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,0
Whoso that can may rede hem as they write.,uS u S u S u S u S,ususususus,Su S u S  u S u S,susususus,NO,9,9
But though that Grekes hem of Troye shetten,u S u Su S u Su Su,usususususu,u S u Su S u Su Su,usususususu,YES,11,0
And hir citee bisegede al aboute,u S uS uSu S uS,ususususus,S u Su Su S uS,susususus,NO,9,6
Hir olde usage wolde they not letten,u S uSu Su S u Su,usususususu,u S uSu Su S u Su,usususususu,YES,11,0
As for to honoure hir goddes ful devoute;,u S x S u Su S uS,ussususus,u S u Su S uS u S,ususususus,NO,10,0
But aldermost in honour out of doute,u SuS u Su S u S,ususususus,u SuS u Su S u S,ususususus,YES,10,0
They hadde a relik hight Palladion,u S u Su S uSuS,ususususus,u S u Su S uSuS,ususususus,YES,10,0
That was hir trist aboven everichon.,u S u S uSu SuS,ususususus,u S u S uSu SuS,ususususus,YES,10,1
And so bifel whan comen was the time,u S uS u Su S u S,ususususus,u S uS u Su S u S,ususususus,YES,10,0
Of Aperil whan clothed is the mede,u SuS u Su S u S,ususususus,u SuS u Su S u S,ususususus,YES,10,10
With newe grene of lusty Ver the prime,u Su S u Su S u S,ususususus,S uS u S uS u  S,susususus,NO,9,17
And swote smellen floures white and rede,u Su Su Su S u S,ususususus,u Su Su Su Su S ,ususususus,YES,10,5
In sondry wises shewed as I rede,u Su Su Su S u S,ususususus,u Su Su Su S u S,ususususus,YES,10,10
The folk of Troye hir observaunces olde,u S u S u SuSu S,ususususus,u S u S u SuSu S,ususususus,YES,10,0
Palladions feste for to holde.,uSuSu Su S u S,ususususus,SuSu Su S u S,susususus,NO,9,5
And to the temple in al hir beste wise,u S u S u S u Su S,ususususus,u S u S u S u Su S,ususususus,YES,10,0
In general ther wente many a wight,u SuS u Su S u S,ususususus,S uS u S uS u S,susususus,NO,9,18
To herknen of Palladion the servise;,u Su S uSu S uS,ususususus,S u S uSuS u S,susususus,NO,9,5
And namely so many a lusty knight,u SuS u S u Su S,ususususus,u Su S uS u Su S,ususususus,YES,10,1
So many a lady fresh and maiden bright,u S u Su S u Su S,ususususus,u Su S uS u S u S,ususususus,YES,10,2
Ful wel arayed bothe moste and leste,u S uSu Su S u S,ususususus,u S uSu Su S u S,ususususus,YES,10,0
Ye bothe for the seson and the feste.,u Su S u Su S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,0
Among thise othere folk was Criseyda,uS u Su S u SuS,ususususus,uS u Su S u SuS,ususususus,YES,10,1
In widewes habite blak; but nathelees,u Su Su S u uS,usususuus,u SuS uSu S u S,ususususus,NO,10,1
Right as our firste lettre is now an A,u S u Su S u S u S,ususususus,u S u Su S u S u S,ususususus,YES,10,0
In beautee first so stood she makelees;,u Su S u S u SuS,ususususus,u Su S u S u SuS,ususususus,YES,10,0
Hir godly looking gladede al the prees.,u Su Su Su S u S,ususususus,u Su Su Su S u S,ususususus,YES,10,0
Nas never seyn thing to ben preised derre,u Su S u S u Su S,ususususus,u Su S u S u Su S,ususususus,YES,10,10
Nor under cloude blak so bright a sterre,u Su Su S u S u S,ususususus,u Su Su S u S u S,ususususus,YES,10,10
As was Criseyde as folk seide everichoon,u S uS u S u SuS,ususususus,u S uS u S u SuS,ususususus,YES,10,1
That hir bihelden in hir blake wede;,u S uSu S u Su S,ususususus,u S uSu S u Su S,ususususus,YES,10,10
And yet she stood ful lowe and stille alloon,u S u S u S u S uS,ususususus,u S u S u S u S uS,ususususus,YES,10,0
Bihinden othere folk in litel brede,uSu Su S u Su S,ususususus,uSu SuS u S uS ,ususususus,YES,10,10
And neigh the dore ay under shames drede,u S u S u Su Su S,ususususus,u S u S u Su Su S,ususususus,YES,10,10
Simple of atir and debonaire of chere,u S uS u SuS u S,ususususus,S u Su S uSu S ,susususus,NO,9,5
With ful assured loking and manere.,u S uSu Su S uS,ususususus,u S uSu Su S uS,ususususus,YES,10,11
This Troilus as he was wont to gide,u SuS u S u S u S,ususususus,S uSu S  u S u S,susususus,NO,9,7
His yonge knightes ladde hem up and doun,u Su Su S u S u S,ususususus,u Su Su S u S u S,ususususus,YES,10,2
In thilke large temple on every side,u Su Su S u Su S,ususususus,u Su Su S u Su S,ususususus,YES,10,1
Biholding ay the ladies of the toun,uSu S u Su S u S,ususususus,uSu S u Su S u S,ususususus,YES,10,0
Now here now there for no devocioun,u S u S u S uSuS,ususususus,S u S u S u SuS,susususus,NO,9,9
Hadde he to noon to reven him his reste,u S u S u Su S u S,ususususus,Su  S u S u S u S,susususus,NO,9,7
But gan to preise and lakken whom him leste.,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
And in his walk ful fast he gan to waiten,u S u S u S u S u Su,usususususu,u S u S u S u S u Su,usususususu,YES,11,0
If knight or squier of his companie,u S u Su S u SuS,ususususus,u S u Su S u SuS,ususususus,YES,10,0
Gan for to sike or lete his eyen baiten,u S u S u S u Su Su,usususususu,u S u S u S u Su Su,usususususu,YES,11,0
On any woman that he coude aspie,u Su Su S u S uS,ususususus,u Su Su S u S uS,ususususus,YES,10,0
He wolde smile and holden it folie,u Su S u Su S uS,ususususus,u Su S u Su S uS,ususususus,YES,10,0
And seye him thus “God wot she slepeth softe,u S u S u S u Su S,ususususus,u Su S u S u S u S,ususususus,YES,10,12
For love of thee whan thou tornest ful ofte!,u S u S u S uS u S,ususususus,S u S u S u S u S,susususus,NO,9,7
“I have herd told pardieux of your livinge,u S u S uS u S uS,ususususus,u S u S uS u S uS,ususususus,YES,10,2
Ye lovers and your lewede observaunces,u Su S u Su SuSu,usususususu,u Su S u Su SuS,ususususus,NO,10,0
And which a labour folk han in winninge,u S u Su S u S uS,ususususus,u S u Su S u S uS,ususususus,YES,10,0
Of love and in the keping which doutaunces;,u S u S u Su S uS,ususususus,u S u S u Su S uS,ususususus,YES,10,0
And whan your preye is lost wo and penaunces.,u S u S u S u S uS,ususususus,u S u S u S u S uS,ususususus,YES,10,0
O verrey foles! nice and blinde be ye;,u Su Su S u S u S,ususususus,S u Su S u Su S ,susususus,NO,9,17
Ther nis not oon can war by other be.”,u S u S u S u Su S,ususususus,u S u S u S u Su S,ususususus,YES,10,10
And with that word he gan cast up the browe,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
Ascaunces “Lo! is this nought wisly spoken?”,uSu S u S u Su Su,usususususu,uSu S u S u Su Su,usususususu,YES,11,0
At which the god of love gan loken rowe,u S u S u S u Su S,ususususus,u S u S u Su S u S,ususususus,YES,10,2
Right for despit and shoop for to ben wroken;,u S uS u S u S u Su,usususususu,u S uS u S u S u Su,usususususu,YES,11,0
He kidde anoon his bowe nas not broken;,u S uS u Su S u Su,usususususu,u S uS u Su S u Su,usususususu,YES,11,0
For sodeinly he hit him at the fulle;,u SuS u S u S u S,ususususus,u SuS u S u S u S,ususususus,YES,10,0
And yet as proud a pekok can he pulle.,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
O blinde world O blinde entencioun!,u Su S u S uSuS,ususususus,u Su S u S uSuS,ususususus,YES,10,15
How ofte falleth al th’effect contraire,u Su Su S uS uS,ususususus,u Su Su S uS uS,ususususus,YES,10,0
Of surquidrie and foul presumpcioun;,u SuS u S uSuS,ususususus,u SuS u S uSuS,ususususus,YES,10,0
For caught is proud and caught is debonaire.,u S u S u S u SuS,ususususus,u S u S u S u SuS,ususususus,YES,10,0
This Troilus is clomben on the staire,u SuS u Su S u S,ususususus,u SuS u Su S u S,ususususus,YES,10,0
And litel weneth that he moot descenden.,u Su Su S u S uSu,usususususu,S uS u S u S uS,susususus,NO,9,22
But al day falleth thing that foles ne wenden.,u S u Su S u S u Su,usususususu,u S u Su S u Su S u,usususususu,YES,11,10
As proude Bayard ginneth for to skippe,u Su Su Su S u S,ususususus,u Su Su Su S u S,ususususus,YES,10,0
Out of the wey so priketh him his corn,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
Til he a lash have of the longe whippe,u S u S u S u Su S,ususususus,S  u S u S u Su S,susususus,NO,9,5
Than thenketh he “Though I praunce al biforn,u Su S u S u S uS,ususususus,S u  S u Su S uS,susususus,NO,9,14
First in the trais ful fat and newe shorn,u S u S u S u Su S,ususususus,u S u S u S u Su S,ususususus,YES,10,0
Yet am I but an hors and horses lawe,u S u S u S u Su S,ususususus,u S u S u S u Su S,ususususus,YES,10,0
I moot endure and with my feres drawe.”,u S uS u S u Su S,ususususus,u S uSu S u S u S,ususususus,YES,10,7
So ferde it by this fers and proude knight;,u S u S u S u Su S,ususususus,S u S u S u S u S,susususus,NO,9,7
Though he a worthy kinges sone were,u S u Su Su Su S,ususususus,S  u Su Su Su S,susususus,NO,9,15
And wende no thing had had swiche might,u Su S u S u Su S,ususususus,S u S u S u Su S,susususus,NO,9,7
Ayens his wil that sholde his herte stere,S u S u S u Su S,susususus,Su S u S u S uS ,susususus,YES,9,15
Yet with a look his herte wex afere,u S u S u Su S uS,ususususus,S u S u S uS u S,susususus,NO,9,16
That he that now was most in pride above,u S u S u S u S uS,ususususus,S  u S u S u S uS,susususus,NO,9,7
Wex sodeinly most subget unto love.,u SuS u Su Su S,ususususus,u SuS u Su Su S,ususususus,YES,10,0
Forthy ensample taketh of this man,uS uSu Su S u S,ususususus,uS uSu Su S u S,ususususus,YES,10,0
Ye wise proude and worthy folkes alle,u Su S u Su Su S,ususususus,u Su S u Su Su S,ususususus,YES,10,0
To scornen Love which that so sone can,u Su S u S u Su S,ususususus,u Su Su S u S u S,ususususus,YES,10,2
The freedom of youre hertes to him thralle;,u Su S u Su S u S,ususususus,u S u Su S u S uS,ususususus,YES,10,12
For ever it was and ever it shal bifalle,u S u S u S u S uS,ususususus,u Su S u S  u S uS,ususususus,YES,10,0
That Love is he that alle thing may binde,u S u S u Su S u S,ususususus,S u S u S u S u S,susususus,NO,9,7
For may no man fordo the lawe of kinde.,u S u S uS u S u S,ususususus,u S u S uS u S u S,ususususus,YES,10,0
That this be sooth hath preved and doth yet;,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
For this trowe I ye knowen alle or some,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
Men reden not that folk han gretter wit,u Su S u S u Su S,ususususus,u Su S u S u Su S,ususususus,YES,10,15
Than they that han be most with love ynome;,u S u S u S u S uS,ususususus,u S u S u S u S uS,ususususus,YES,10,0
And strengest folk ben therwith overcome,u Su S u Su SuS,ususususus,S uS u S u SuS,susususus,NO,9,20
The worthiest and grettest of degree;,u SuS u Su S uS,ususususus,u SuS u Su S uS,ususususus,YES,10,10
This was and is and yet men shal it see.,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,10
And trewelich it sit wel to be so,u SuS u S u S u S,ususususus,u SuS u S u S u S,ususususus,YES,10,0
For alderwisest han therwith ben plesed;,u SuSu S uS u S,ususususus,u SuSu S uS u S,ususususus,YES,10,0
And they that han ben aldermost in wo,u S u S u SuS u S,ususususus,u S u S u SuS u S,ususususus,YES,10,0
With love han ben conforted most and esed;,u S u S uSu S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,2
And ofte it hath the cruel herte apesed,u S u S u Su S uS,ususususus,u S u S u Su S uS,ususususus,YES,10,10
And worthy folk maad worthier of name,u Su S u SuS u S,ususususus,S uS u S uS u S,susususus,NO,9,5
And causeth most to dreden vice and shame.,u Su S u Su S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,15
Now sith it may not goodly be withstonde,u S u S u Su S uS,ususususus,S u S u S uS  uS,susususus,NO,9,7
And is a thing so vertuous in kinde,u S u S u SuS u S,ususususus,S u S u S uS u S,susususus,NO,9,5
Refuseth not to Love for to be bonde,uSu S u S u S u S,ususususus,uSu S u Su S u  S,ususususus,YES,10,2
Sin as himselven list he may yow binde.,u S uSu S u S u S,ususususus,u S uSu S u S u S,ususususus,YES,10,0
