headword,word,tag,line_number,filename,context,text_type,reason
don,doon,v%inf,Troilus and Criseyde; Book II 75,data/riverside_cats/TC2_riv.cat,To doon viage and took his way ful soone,RIVERSIDE,Infinitive must end in -en or -e
haven,han,v%pr_pl,Troilus and Criseyde; Book II 101,data/riverside_cats/TC2_riv.cat,And we han herd how that kyng Layus deyde,RIVERSIDE,Present plural must end in -en or -e
dien,deyde,v%pt_3,Troilus and Criseyde; Book II 101,data/riverside_cats/TC2_riv.cat,And we han herd how that kyng Layus deyde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
don,don,v%inf,Troilus and Criseyde; Book II 112,data/riverside_cats/TC2_riv.cat,And lat us don to May som observaunce,RIVERSIDE,Infinitive must end in -en or -e
forbeden,forbede,v%pr_3,Troilus and Criseyde; Book II 113,data/riverside_cats/TC2_riv.cat,I God forbede quod she Be ye mad,RIVERSIDE,Present 3rd sg must end in -th
sitten,satte,v%pt_3,Troilus and Criseyde; Book II 117,data/riverside_cats/TC2_riv.cat,It satte me wel bet ay in a cave,RIVERSIDE,Strong pt sg must not end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book II 121,data/riverside_cats/TC2_riv.cat,Yet koude I telle a thyng to doon yow pleye,RIVERSIDE,Infinitive must end in -en or -e
helpen,help,v%pr_3,Troilus and Criseyde; Book II 133,data/riverside_cats/TC2_riv.cat,As help me God I not nat what ye meene,RIVERSIDE,Present 3rd sg must end in -th
desiren,desired,v%pr_3,Troilus and Criseyde; Book II 144,data/riverside_cats/TC2_riv.cat,To knowe thyng desired she so faste,RIVERSIDE,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 147,data/riverside_cats/TC2_riv.cat,Nor axen more that may do yow disese,RIVERSIDE,Infinitive must end in -en or -e
don,do,v%inf,Troilus and Criseyde; Book II 165,data/riverside_cats/TC2_riv.cat,A kynges sone in armes wel to do,RIVERSIDE,Infinitive must end in -en or -e
helpen,help,v%pr_3,Troilus and Criseyde; Book II 182,data/riverside_cats/TC2_riv.cat,God help me so I knowe nat swiche tweye,RIVERSIDE,Present 3rd sg must end in -th
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 190,data/riverside_cats/TC2_riv.cat,Ye sey right sooth ywys quod Pandarus,RIVERSIDE,Present plural must end in -en or -e
haven,han,v%inf,Troilus and Criseyde; Book II 192,data/riverside_cats/TC2_riv.cat,He myghte han wondred upon Troilus,RIVERSIDE,Infinitive must end in -en or -e
haven,have,v%pr_3,Troilus and Criseyde; Book II 242,data/riverside_cats/TC2_riv.cat,So muche as yow and have so litel quyt,RIVERSIDE,Present 3rd sg must end in -th
kissen,kiste,v%pr_3,Troilus and Criseyde; Book II 250,data/riverside_cats/TC2_riv.cat,And with that word hire uncle anoon hire kiste,RIVERSIDE,Present 3rd sg must end in -th
seien,sey,v%inf,Troilus and Criseyde; Book II 252,data/riverside_cats/TC2_riv.cat,Tak it for good that I shal sey yow here,RIVERSIDE,Infinitive must end in -en or -e
sen,sey,v%pt_pl,Troilus and Criseyde; Book II 277,data/riverside_cats/TC2_riv.cat,Sey ye me nevere er now What sey ye no,RIVERSIDE,Past plural must end in -en or -e
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 277,data/riverside_cats/TC2_riv.cat,Sey ye me nevere er now What sey ye no,RIVERSIDE,Present plural must end in -en or -e
slaken,slake,v%pr_3,Troilus and Criseyde; Book II 291,data/riverside_cats/TC2_riv.cat,Cache it anon lest aventure slake,RIVERSIDE,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book II 315,data/riverside_cats/TC2_riv.cat,So wol I doon now herkeneth I shall telle,RIVERSIDE,Infinitive must end in -en or -e
hongen,hanged,v%ppl,Troilus and Criseyde; Book II 353,data/riverside_cats/TC2_riv.cat,Were hanged than I sholde ben his baude,RIVERSIDE,Strong participle must end in -en or -e
shenden,shente,v%pr_3,Troilus and Criseyde; Book II 357,data/riverside_cats/TC2_riv.cat,Thorugh myn abet that he thyn honour shente,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 361,data/riverside_cats/TC2_riv.cat,Than ye han doon er this and moore feste,RIVERSIDE,Present plural must end in -en or -e
helpen,help,v%pr_3,Troilus and Criseyde; Book II 364,data/riverside_cats/TC2_riv.cat,God help me so I nevere other mente,RIVERSIDE,Present 3rd sg must end in -th
biholden,byhelde,v%pt_3,Troilus and Criseyde; Book II 378,data/riverside_cats/TC2_riv.cat,What fors were it though al the town byhelde,RIVERSIDE,Strong pt sg must not end in -en or -e
don,do,v%inf,Troilus and Criseyde; Book II 382,data/riverside_cats/TC2_riv.cat,As I have seyd youre beste is to do soo,RIVERSIDE,Infinitive must end in -en or -e
devouren,devoure,v%pr_3,Troilus and Criseyde; Book II 395,data/riverside_cats/TC2_riv.cat,And therfore er that age the devoure,RIVERSIDE,Present 3rd sg must end in -th
passen,paste,v%pt_3,Troilus and Criseyde; Book II 398,data/riverside_cats/TC2_riv.cat,To late ywar quod Beaute whan it paste,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
don,doon,v%inf,Troilus and Criseyde; Book II 411,data/riverside_cats/TC2_riv.cat,Allas what sholden straunge to me doon,RIVERSIDE,Infinitive must end in -en or -e
reden,ret,v%pr_3,Troilus and Criseyde; Book II 413,data/riverside_cats/TC2_riv.cat,Ret me to love and sholde it me defende,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%inf,Troilus and Criseyde; Book II 414,data/riverside_cats/TC2_riv.cat,Allas I wolde han trusted douteles,RIVERSIDE,Infinitive must end in -en or -e
haven,hadde,v%pt_3,Troilus and Criseyde; Book II 416,data/riverside_cats/TC2_riv.cat,Hadde loved outher hym or Achilles,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
purveien,purveye,v%pr_3,Troilus and Criseyde; Book II 426,data/riverside_cats/TC2_riv.cat,Thow in this dredful cas for me purveye,RIVERSIDE,Present 3rd sg must end in -th
slen,sle,v%pr_3,Troilus and Criseyde; Book II 459,data/riverside_cats/TC2_riv.cat,And if this man sle here hymself allas,RIVERSIDE,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book II 468,data/riverside_cats/TC2_riv.cat,I shal so doon myn honour shal I kepe,RIVERSIDE,Infinitive must end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book II 475,data/riverside_cats/TC2_riv.cat,Now wel quod she and I wol doon my peyne,RIVERSIDE,Infinitive must end in -en or -e
cesen,cesse,v%pr_3,Troilus and Criseyde; Book II 483,data/riverside_cats/TC2_riv.cat,But cesse cause ay cesseth maladie,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 492,data/riverside_cats/TC2_riv.cat,That of this thyng that ye han hight me here,RIVERSIDE,Present plural must end in -en or -e
haven,han,v%inf,Troilus and Criseyde; Book II 495,data/riverside_cats/TC2_riv.cat,Ne that I shal han cause in this matere,RIVERSIDE,Infinitive must end in -en or -e
wepen,wepte,v%pt_3,Troilus and Criseyde; Book II 562,data/riverside_cats/TC2_riv.cat,And ner I com and fond he wepte soore,RIVERSIDE,Strong pt sg must not end in -en or -e
helpen,helpe,v%pr_3,Troilus and Criseyde; Book II 590,data/riverside_cats/TC2_riv.cat,As helpe me God ye shenden every deel,RIVERSIDE,Present 3rd sg must end in -th
haven,hadde,v%pt_3,Troilus and Criseyde; Book II 642,data/riverside_cats/TC2_riv.cat,That thirled hadde horn and nerf and rynde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
passen,paste,v%pt_3,Troilus and Criseyde; Book II 658,data/riverside_cats/TC2_riv.cat,Whil he and alle the peple forby paste,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
forbeden,forbede,v%pr_3,Troilus and Criseyde; Book II 716,data/riverside_cats/TC2_riv.cat,For though a man forbede dronkenesse,RIVERSIDE,Present 3rd sg must end in -th
forbeden,forbet,v%pr_3,Troilus and Criseyde; Book II 717,data/riverside_cats/TC2_riv.cat,He naught forbet that every creature,RIVERSIDE,Present 3rd sg must end in -th
haven,have,v%pr_3,Troilus and Criseyde; Book II 749,data/riverside_cats/TC2_riv.cat,What wonder is though he of me have joye,RIVERSIDE,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book II 757,data/riverside_cats/TC2_riv.cat,What shal I doon To what fyn lyve I thus,RIVERSIDE,Infinitive must end in -en or -e
don,do,v%inf,Troilus and Criseyde; Book II 763,data/riverside_cats/TC2_riv.cat,By alle right it may do me no shame,RIVERSIDE,Infinitive must end in -en or -e
overspreden,oversprat,v%pr_3,Troilus and Criseyde; Book II 767,data/riverside_cats/TC2_riv.cat,Which oversprat the sonne as for a space,RIVERSIDE,Present 3rd sg must end in -th
reuen,rewe,v%pr_3,Troilus and Criseyde; Book II 789,data/riverside_cats/TC2_riv.cat,But harm ydoon is doon whoso it rewe,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 834,data/riverside_cats/TC2_riv.cat,Ye blisful god han me so wel byset,RIVERSIDE,Present plural must end in -en or -e
haven,have,v%pr_3,Troilus and Criseyde; Book II 847,data/riverside_cats/TC2_riv.cat,Now good thrift have he wherso that he be,RIVERSIDE,Present 3rd sg must end in -th
witen,woot,v%pr_pl,Troilus and Criseyde; Book II 893,data/riverside_cats/TC2_riv.cat,Do wey do wey they woot no thyng of this,RIVERSIDE,Present plural must end in -en or -e
wenden,went,v%pt_pl,Troilus and Criseyde; Book II 910,data/riverside_cats/TC2_riv.cat,That she and alle hire folk in went yfeere,RIVERSIDE,Past plural must end in -en or -e
dighten,dyghte,v%pt_3,Troilus and Criseyde; Book II 948,data/riverside_cats/TC2_riv.cat,And every wight out at the dore hym dyghte,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
don,do,v%inf,Troilus and Criseyde; Book II 957,data/riverside_cats/TC2_riv.cat,Sire my nece wol do wel by the,RIVERSIDE,Infinitive must end in -en or -e
haven,han,v%pr_pl,Troilus and Criseyde; Book II 966,data/riverside_cats/TC2_riv.cat,As ye han herd byfore al he hym tolde,RIVERSIDE,Present plural must end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book II 981,data/riverside_cats/TC2_riv.cat,But Lord how shal I doon How shal I lyven,RIVERSIDE,Infinitive must end in -en or -e
departen,departe,v%pr_3,Troilus and Criseyde; Book II 990,data/riverside_cats/TC2_riv.cat,So longe abid til that the nyght departe,RIVERSIDE,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 1004,data/riverside_cats/TC2_riv.cat,God help me so as I wolde outrely,RIVERSIDE,Present 3rd sg must end in -th
writen,write,v%pr_3,Troilus and Criseyde; Book II 1026,data/riverside_cats/TC2_riv.cat,Ne scryvenyssh or craftyly thow it write,RIVERSIDE,Present 3rd sg must end in -th
letten,lette,v%pt_3,Troilus and Criseyde; Book II 1089,data/riverside_cats/TC2_riv.cat,Therwith a thousand tymes er he lette,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
smerten,smerte,v%pr_3,Troilus and Criseyde; Book II 1097,data/riverside_cats/TC2_riv.cat,So fressh it is although it sore smerte,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1124,data/riverside_cats/TC2_riv.cat,Avyseth yow on it whan ye han space,RIVERSIDE,Present plural must end in -en or -e
helpen,helpe,v%pr_3,Troilus and Criseyde; Book II 1126,data/riverside_cats/TC2_riv.cat,Or helpe me God so pleynly for to seyne,RIVERSIDE,Present 3rd sg must end in -th
bicomen,bycome,v%pr_3,Troilus and Criseyde; Book II 1151,data/riverside_cats/TC2_riv.cat,Of hym ye recche leest wher he bycome,RIVERSIDE,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 1213,data/riverside_cats/TC2_riv.cat,God help me so this is the firste lettre,RIVERSIDE,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 1230,data/riverside_cats/TC2_riv.cat,And seyde As wisly help me God the grete,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1240,data/riverside_cats/TC2_riv.cat,But ye han played tirant neigh to longe,RIVERSIDE,Present plural must end in -en or -e
declamen,declamed,v%pt_pl,Troilus and Criseyde; Book II 1247,data/riverside_cats/TC2_riv.cat,And right as they declamed this matere,RIVERSIDE,Past plural must end in -en or -e
aspien,aspide,v%pt_3,Troilus and Criseyde; Book II 1252,data/riverside_cats/TC2_riv.cat,To paleisward and Pandare hym aspide,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
passen,paste,v%pt_3,Troilus and Criseyde; Book II 1260,data/riverside_cats/TC2_riv.cat,And bekked on Pandare and forth he paste,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
haven,hadde,v%pt_3,Troilus and Criseyde; Book II 1270,data/riverside_cats/TC2_riv.cat,Ne hadde she swych routh of his destresse,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
senden,sende,v%pr_3,Troilus and Criseyde; Book II 1274,data/riverside_cats/TC2_riv.cat,God sende mo swich thornes on to pike,RIVERSIDE,Present 3rd sg must end in -th
preien,pray,v%pr_3,Troilus and Criseyde; Book II 1277,data/riverside_cats/TC2_riv.cat,And seyde Nece I pray yow hertely,RIVERSIDE,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 1282,data/riverside_cats/TC2_riv.cat,God help me so quod he ye sey me soth,RIVERSIDE,Present 3rd sg must end in -th
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 1282,data/riverside_cats/TC2_riv.cat,God help me so quod he ye sey me soth,RIVERSIDE,Present plural must end in -en or -e
riden,rit,v%pr_3,Troilus and Criseyde; Book II 1284,data/riverside_cats/TC2_riv.cat,Lo yond he rit Quod she Ye so he doth,RIVERSIDE,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 1288,data/riverside_cats/TC2_riv.cat,Lat nycete nat do yow bothe smerte,RIVERSIDE,Infinitive must end in -en or -e
helpen,help,v%pr_3,Troilus and Criseyde; Book II 1312,data/riverside_cats/TC2_riv.cat,Who Troilus Nay help me so the moone,RIVERSIDE,Present 3rd sg must end in -th
haven,hadde,v%pt_3,Troilus and Criseyde; Book II 1350,data/riverside_cats/TC2_riv.cat,And after swiche answeres as he hadde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
benden,bende,v%pr_3,Troilus and Criseyde; Book II 1378,data/riverside_cats/TC2_riv.cat,That though she bende yeet she stant on roote,RIVERSIDE,Present 3rd sg must end in -th
cesen,cesse,v%pr_3,Troilus and Criseyde; Book II 1388,data/riverside_cats/TC2_riv.cat,Ful lightly cesse wynd it wol aryse,RIVERSIDE,Present 3rd sg must end in -th
stonden,stant,v%pr_3,Troilus and Criseyde; Book II 1392,data/riverside_cats/TC2_riv.cat,Acheved wel and stant withouten doute,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1393,data/riverside_cats/TC2_riv.cat,Al han men ben the lenger theraboute,RIVERSIDE,Present plural must end in -en or -e
haven,han,v%inf,Troilus and Criseyde; Book II 1438,data/riverside_cats/TC2_riv.cat,To han some of youre bretheren here with yow,RIVERSIDE,Infinitive must end in -en or -e
seien,seyn,v%inf,Troilus and Criseyde; Book II 1454,data/riverside_cats/TC2_riv.cat,May seyn no bet swich hap to hym hath she,RIVERSIDE,Infinitive must end in -en or -e
biginnen,bygynne,v%pr_3,Troilus and Criseyde; Book II 1484,data/riverside_cats/TC2_riv.cat,For aught he kan whan that so he bygynne,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1547,data/riverside_cats/TC2_riv.cat,That ye han herd Pandare er this devyse,RIVERSIDE,Present plural must end in -en or -e
don,don,v%inf,Troilus and Criseyde; Book II 1594,data/riverside_cats/TC2_riv.cat,To mowen swich a knyght don lyve or dye,RIVERSIDE,Infinitive must end in -en or -e
yeven,yeve,v%pr_3,Troilus and Criseyde; Book II 1609,data/riverside_cats/TC2_riv.cat,And yeve me sorwe but he shal it rewe,RIVERSIDE,Present 3rd sg must end in -th
stonden,stant,v%pr_3,Troilus and Criseyde; Book II 1613,data/riverside_cats/TC2_riv.cat,My lordes and my ladys it stant thus,RIVERSIDE,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 1614,data/riverside_cats/TC2_riv.cat,What sholde I lenger quod he do yow dwelle,RIVERSIDE,Infinitive must end in -en or -e
don,do,v%inf,Troilus and Criseyde; Book II 1635,data/riverside_cats/TC2_riv.cat,And do yow wyte and that anon iwys,RIVERSIDE,Infinitive must end in -en or -e
haven,have,v%pr_3,Troilus and Criseyde; Book II 1638,data/riverside_cats/TC2_riv.cat,God have thi soule ibrought have I thi beere,RIVERSIDE,Present 3rd sg must end in -th
witen,woot,v%pr_pl,Troilus and Criseyde; Book II 1646,data/riverside_cats/TC2_riv.cat,But wel ye woot the chaumbre is but lite,RIVERSIDE,Present plural must end in -en or -e
loken,loketh,v%pr_pl,Troilus and Criseyde; Book II 1648,data/riverside_cats/TC2_riv.cat,Now loketh ye for I wol have no wite,RIVERSIDE,Present plural must end in -en or -e
biden,bide,v%pr_3,Troilus and Criseyde; Book II 1651,data/riverside_cats/TC2_riv.cat,Wher it be bet she bide til eftsonys,RIVERSIDE,Present 3rd sg must end in -th
haven,have,v%pr_3,Troilus and Criseyde; Book II 1686,data/riverside_cats/TC2_riv.cat,Have God my trouthe hire cause to sustene,RIVERSIDE,Present 3rd sg must end in -th
gon,go,v%pr_3,Troilus and Criseyde; Book II 1689,data/riverside_cats/TC2_riv.cat,That she may take hire leve er that she go,RIVERSIDE,Present 3rd sg must end in -th
vouchen,vouche,v%pr_3,Troilus and Criseyde; Book II 1691,data/riverside_cats/TC2_riv.cat,If that she vouche sauf for to do so,RIVERSIDE,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 1691,data/riverside_cats/TC2_riv.cat,If that she vouche sauf for to do so,RIVERSIDE,Infinitive must end in -en or -e
defenden,defende,v%pr_3,Troilus and Criseyde; Book II 1733,data/riverside_cats/TC2_riv.cat,Nece I conjure and heighly yow defende,RIVERSIDE,Present 3rd sg must end in -th
senden,sende,v%pr_3,Troilus and Criseyde; Book II 1734,data/riverside_cats/TC2_riv.cat,On his half which that soule us alle sende,RIVERSIDE,Present 3rd sg must end in -th
seien,seyn,v%inf,Troilus and Criseyde; Book II 1740,data/riverside_cats/TC2_riv.cat,That wol ye bothe seyn whan ye ben oon,RIVERSIDE,Infinitive must end in -en or -e
durren,dar,v%pr_pl,Troilus and Criseyde; Book II 1747,data/riverside_cats/TC2_riv.cat,Than dar ye naught And whi For she and she,RIVERSIDE,Present plural must end in -en or -e
haven,hadde,v%pt_3,The Summoner's Tale 1714,data/riverside_cats/SumT_riv.cat,Hadde preched at a chirche in his manere,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
yeven,yaf,v%pt_pl,The Summoner's Tale 1756,data/riverside_cats/SumT_riv.cat,And what men yaf hem leyde it on his bak,RIVERSIDE,Past plural must end in -en or -e
haven,han,v%pr_pl,The Summoner's Tale 1782,data/riverside_cats/SumT_riv.cat,How han ye fare sith that March bigan,RIVERSIDE,Present plural must end in -en or -e
seien,seyn,v%pr_pl,The Summoner's Tale 1794,data/riverside_cats/SumT_riv.cat,For lettre sleeth so as we clerkes seyn,RIVERSIDE,Present plural must end in -en or -e
preien,prey,v%inf,The Summoner's Tale 1814,data/riverside_cats/SumT_riv.cat,I wolde prey yow that ye nat yow greve,RIVERSIDE,Infinitive must end in -en or -e
seien,seyn,v%inf,The Summoner's Tale 1856,data/riverside_cats/SumT_riv.cat,I dar wel seyn that er that half an hour,RIVERSIDE,Infinitive must end in -en or -e
wissen,wisse,v%pr_3,The Summoner's Tale 1858,data/riverside_cats/SumT_riv.cat,In myn avision so God me wisse,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,The Summoner's Tale 1860,data/riverside_cats/SumT_riv.cat,That han been trewe freres fifty yeer,RIVERSIDE,Present plural must end in -en or -e
haven,han,v%pr_pl,The Summoner's Tale 1876,data/riverside_cats/SumT_riv.cat,We han this worldes lust al in despit,RIVERSIDE,Present plural must end in -en or -e
haven,hadde,v%pt_3,The Summoner's Tale 1894,data/riverside_cats/SumT_riv.cat,Aaron that hadde the temple in governaunce,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
don,do,v%inf,The Summoner's Tale 1897,data/riverside_cats/SumT_riv.cat,To preye for the peple and do servyse,RIVERSIDE,Infinitive must end in -en or -e
seien,seyn,v%inf,The Summoner's Tale 1918,data/riverside_cats/SumT_riv.cat,But herkne now Thomas what I shal seyn,RIVERSIDE,Infinitive must end in -en or -e
senden,sende,v%pr_3,The Summoner's Tale 1946,data/riverside_cats/SumT_riv.cat,To Crist that he thee sende heele and myght,RIVERSIDE,Present 3rd sg must end in -th
helpen,help,v%pr_3,The Summoner's Tale 1949,data/riverside_cats/SumT_riv.cat,As help me Crist as I in fewe yeres,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,The Summoner's Tale 1962,data/riverside_cats/SumT_riv.cat,Youre maladye is for we han to lyte,RIVERSIDE,Present plural must end in -en or -e
haven,han,v%pr_pl,The Summoner's Tale 1997,data/riverside_cats/SumT_riv.cat,That twenty thousand men han lost hir lyves,RIVERSIDE,Present plural must end in -en or -e
slen,slayn,v%ppl,The Summoner's Tale 2023,data/riverside_cats/SumT_riv.cat,That seyde thus Thou hast thy felawe slayn,RIVERSIDE,Strong participle must end in -en or -e
chargen,charge,v%pr_3,The Summoner's Tale 2026,data/riverside_cats/SumT_riv.cat,Go lede hym to the deeth I charge thee,RIVERSIDE,Present 3rd sg must end in -th
slen,slayn,v%ppl,The Summoner's Tale 2032,data/riverside_cats/SumT_riv.cat,They seiden Lord the knyght ne hath nat slayn,RIVERSIDE,Strong participle must end in -en or -e
seien,seyn,v%inf,The Summoner's Tale 2035,data/riverside_cats/SumT_riv.cat,That is to seyn bothe oon and two and thre,RIVERSIDE,Infinitive must end in -en or -e
don,doon,v%inf,The Summoner's Tale 2042,data/riverside_cats/SumT_riv.cat,And thus he dide doon sleen hem alle thre,RIVERSIDE,Infinitive must end in -en or -e
haven,hadde,v%pt_3,The Summoner's Tale 2062,data/riverside_cats/SumT_riv.cat,An hondred part than he hadde don bifoore,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
slen,slayn,v%ppl,The Summoner's Tale 2073,data/riverside_cats/SumT_riv.cat,His sone was slayn ther is namoore to seye,RIVERSIDE,Strong participle must end in -en or -e
haven,han,v%pr_pl,The Summoner's Tale 2101,data/riverside_cats/SumT_riv.cat,Whan othere men han ben ful wel at eyse,RIVERSIDE,Present plural must end in -en or -e
haven,han,v%pr_pl,The Summoner's Tale 2117,data/riverside_cats/SumT_riv.cat,Han freres been that fynde I of record,RIVERSIDE,Present plural must end in -en or -e
seien,sey,v%pr_pl,The Summoner's Tale 2126,data/riverside_cats/SumT_riv.cat,Ye sey me thus how that I am youre brother,RIVERSIDE,Present plural must end in -en or -e
comen,cam,v%pt_pl,The Summoner's Tale 2157,data/riverside_cats/SumT_riv.cat,Cam lepynge in and chaced out the frere,RIVERSIDE,Past plural must end in -en or -e
sen,see,v%pr_3,The Summoner's Tale 2169,data/riverside_cats/SumT_riv.cat,Til atte laste he seyde God yow see,RIVERSIDE,Present 3rd sg must end in -th
witen,woot,v%pr_pl,The Summoner's Tale 2194,data/riverside_cats/SumT_riv.cat,Sire quod the lord ye woot what is to doone,RIVERSIDE,Present plural must end in -en or -e
haven,han,v%pr_pl,The Summoner's Tale 2199,data/riverside_cats/SumT_riv.cat,As ye han herd biforn ye woot wel what,RIVERSIDE,Present plural must end in -en or -e
witen,wel,v%pr_pl,The Summoner's Tale 2199,data/riverside_cats/SumT_riv.cat,As ye han herd biforn ye woot wel what,RIVERSIDE,Present plural must end in -en or -e
haven,hadde,v%pt_3,The Summoner's Tale 2218,data/riverside_cats/SumT_riv.cat,How hadde this cherl ymaginacioun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
haven,hadde,v%pt_3,The Summoner's Tale 2284,data/riverside_cats/SumT_riv.cat,He hadde the firste smel of fartes thre,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
don,doon,v%inf,The Clerk's Tale 105,data/riverside_cats/ClT_riv.cat,And ye my lord to doon right as yow leste,RIVERSIDE,Infinitive must end in -en or -e
haven,han,v%pr_pl,The Clerk's Tale 107,data/riverside_cats/ClT_riv.cat,And al youre werk and evere han doon that we,RIVERSIDE,Present plural must end in -en or -e
smiten,smyt,v%pr_3,The Clerk's Tale 122,data/riverside_cats/ClT_riv.cat,And deeth manaceth every age and smyt,RIVERSIDE,Present 3rd sg must end in -th
