OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,V1_SCANSION,V2_SCANSION,GREEN_SYLLABLES,V1_SYLLABLES,V2_SYLLABLES,V1_MATCHES_GREEN,V2_MATCHES_GREEN
And forthi if it happe in any wise,And forthi if it happe in any wise,u Su S u Sx u Su Sx,u Su S u Sx u Su Sx,u Su S u Sx u Su Sx,10,10,10,1,1
That here be any lovere in this place,That here be any lovere in this place,u Sx u Su Sux S u Sx,u Sx u Su Sux S u Sx,u Sx u Su Sux S u Sx,10,10,10,1,1
"That herkeneth, as the story wol devise",That herkeneth as the story wol devise,u Sux S u Su S uSx,u Sux S u Su S uSx,u SuS u S uS u Sux,10,10,11,1,0
How Troilus com to his lady grace,How Troilus com to his lady grace,u SuS u S u Su Sx,u SuS u S u Su Sx,u SuS u S u Su Sx,10,10,10,1,1
"And thenketh, so nolde I nat love purchace",And thenketh so nolde I nat love purchace,u Su S ux S u Sx uSx,u Su S ux S u Sx uSx,u Su S ux S u Sx uSx,10,10,10,1,1
Or wondreth on his speche and his doinge,Or wondreth on his speche and his doinge,u Su S u Su S u Sx,u Su S u Su S u Sx,u Su S u Su S u Sx,10,10,10,1,1
I noot; but it is me no wonderinge;,I noot but it is me no wonderinge,u S u S u S u SuSx,u S u S u S u SuSx,u S u S u S u SuSx,10,10,10,1,1
For every wight which that to Rome went,For every wight which that to Rome went,u Su S u S u Su S,u SuS u S u S ux S,u Su S u S u Su S,10,10,10,0,1
"Halt nat o path, or alwey o manere.",Halt nat o path or alwey o manere,u S u S u Su S uSx,u S u S u Su S uSx,u S u S u Su S uSx,10,10,10,1,1
Eek in some lond were al the gamen shent,Eek in some lond were al the gamen shent,u S ux S ux S u Su S,u S ux S ux S u Su S,u S ux S ux S u Su S,10,10,10,1,1
If that they ferde in love as men don here,If that they ferde in love as men don here,u S u Sx u Sx u S u Sx,u S u Sx u Sx u S u Sx,u S u Sx u Sx u S u Sx,10,10,10,1,1
"As thus, in open doing or in chere",As thus in open doing or in chere,u S u Su Su S u Sx,S u S uS u S u Sx,S u S uS u S u Sx,10,9,9,0,0
"In visitinge, in forme, or seide hir sawes;",In visitinge in forme or seide hir sawes,u SuSx u Sx u Sx u Sx,u SuSx u Sx u Sx u Sx,u SuSx u Sx u Sx u Su,10,10,11,1,0
"Forthi men seyn, ech contree hath his lawes.",Forthi men seyn ech contree hath his lawes,uS u S u Su S u Sx,uS u S u Su S u Sx,uS u S u Su S u Su,10,10,11,1,0
Eek scarsly been ther in this place three,Eek scarsly been ther in this place three,u Su S u S u Su S,u Su S u S u Su S,u Su S u S u Su S,10,10,10,1,1
That have in love seid lik and doon in al;,That have in love seid lik and doon in al,u Sx u Sx u S u S u S,u Sx u Sx u S u S u S,u Sx u Sx u S u S u S,10,10,10,1,1
For to thy purpos this may liken thee,For to thy purpos this may liken thee,u S u Su S u Su S,u S u Su S u Su S,u S u Su S u Su S,10,10,10,1,1
"And thee right nought, yet al is seid or shal;",And thee right nought yet al is seid or shal,u S u S u S u S u S,u S u S u S u S u S,u S u S u S u S u S,10,10,10,1,1
"Eek som men grave in tree, som in stoon wal",Eek som men grave in tree som in stoon wal,u S u Sx u S u S u S,u S u Sx u S u S u S,u S u Sx u S u S u S,10,10,10,1,1
As it bitit; but sin I have begonne,As it bitit but sin I have begonne,u S uS u S u Sx uSx,u S uS u S u Sx uSx,u S uS u S u Sx uSx,10,10,10,1,1
"Min auctor shal I folwen, if I conne.",Min auctor shal I folwen if I conne,u Su S u Su S u Sx,u Su S u Su S u Sx,u Su S u Su S u Sx,10,10,10,1,1
"In May, that moder is of monthes glade",In May that moder is of monthes glade,u S u Su S u Su Sx,u S u Su S u Su Sx,u S u Su S u Su Sx,10,10,10,1,1
"That fresshe floures, blewe, and white, and rede",That fresshe floures blewe and white and rede,u Su Su Sx u Sx u Sx,u Su Su Sx u Sx u Sx,u Su Su Sx u Sx u Sx,10,10,10,1,1
"Ben quike again, that winter dede made",Ben quike again that winter dede made,u Sx uS u Su Su Sx,u Sx uS u Su Su Sx,u Sx uS u Su Su Sx,10,10,10,1,1
And ful of bawme is fletinge every mede;,And ful of bawme is fletinge every mede,u S u Sx u Sux Su S,u S u Sx u Sux SuS xx,u S u Sx u Sux Su Sx,10,10,10,0,1
Whan Phebus doth his brighte bemes sprede,Whan Phebus doth his brighte bemes sprede,u Su S u Su Su Sx,u Su S u Su Su Sx,u Su S u Su Su Sx,10,10,10,1,1
"Right in the white Bole, it so bitidde",Right in the white Bole it so bitidde,u S u Su Sx u S uSx,u S u Su Sx u S uSx,u S u Su Sx u S uSx,10,10,10,1,1
"As I shal singe, on Mayes day the thridde",As I shal singe on Mayes day the thridde,u S u Sx u Su S u Sx,u S u Sx u Su S u Sx,u S u Sx u Su S u Sx,10,10,10,1,1
"That Pandarus, for al his wise speche",That Pandarus for al his wise speche,u SuS u S u Su Sx,u SuS u S u Su Sx,u SuS u S u Su Sx,10,10,10,1,1
Felte eek his part of loves shottes kene,Felte eek his part of loves shottes kene,ux S u S u Su Su Sx,ux S u S u Su Su Sx,ux S u S u Su Su Sx,10,10,10,1,1
"That, coude he never so wel of loving preche",That coude he never so wel of loving preche,u Sx u S u S u Su Sx,u Sx u S u S u Su Sx,u Sx u Su S u S uS ux,10,10,11,1,0
It made his hewe aday ful ofte grene;,It made his hewe aday ful ofte grene,u Sx u Sx uS u Su Sx,u Sx u Sx uS u Su Sx,u Sx u Sx uS u Su Sx,10,10,10,1,1
"So shoop it, that him fil that day a tene",So shoop it that him fil that day a tene,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
"In love, for which in wo to bedde he wente",In love for which in wo to bedde he wente,u Sx u S u S u Sx u Sx,u Sx u S u S u Sx u Sx,u Sx u S u S u Sx u Sx,10,10,10,1,1
"And made, er it was day, ful many a wente.",And made er it was day ful many a wente,u Sx u S u S u Sx u Sx,u Sx u S u S u Sx u Sx,u Sx u S u S u Su S ux,10,10,11,1,0
"The swalwe Proignè, with a sorwful lay",The swalwe Proign with a sorwful lay,u Su Su S u Su S,      ,u Su Su S u Su S,10,0,10,0,1
"Whan morwe com, gan make hir weimentinge",Whan morwe com gan make hir weimentinge,u Su S u Sx u SuSx,u Su S u Sx u SuSx,u Su S u Sx u SuSx,10,10,10,1,1
Why she forshapen was; and ever lay,Why she forshapen was and ever lay,u S uSu S u Su S,u S uSu S u Su S,u S uSu S u Su S,10,10,10,1,1
"Pandare abedde, half in a slomberinge",Pandare abedde half in a slomberinge,uSx uSx u S u SuSx,uSx uSx u S u SuSx,uSx uSx u S u SuSx,10,10,10,1,1
Til she so neigh him made hir chiteringe,Til she so neigh him made hir chiteringe,u S u S u Sx u SuSx,u S u S u Sx u SuSx,u S u S u Sx u SuSx,10,10,10,1,1
How Tereus gan forth hir suster take,How Tereus gan forth hir suster take,u SuS u S u Su Sx,u SuS u S u Su Sx,u SuS u S u Su Sx,10,10,10,1,1
That with the noise of hir he gan awake;,That with the noise of hir he gan awake,u S u Sx u S u S uSx,u S u Sx u S u S uSx,u S u Sx u S u S uSx,10,10,10,1,1
"And gan to calle, and dresse him up to rise",And gan to calle and dresse him up to rise,u S u Sx u Sx u S u Sx,u S u Sx u Sx u S u Sx,u S u Sx u Sx u S u Sx,10,10,10,1,1
Remembringe him his erand was to done,Remembringe him his erand was to done,uSux S u Su S u Sx,uSux S u Su S u Sx,uSux S u Su S u Sx,10,10,10,1,1
"From Troilus, and eek his greet emprise;",From Troilus and eek his greet emprise,u SuS u S u S uSx,u SuS u S u S uSx,u SuS u S u S uSx,10,10,10,1,1
And caste and knew in good plit was the mone,And caste and knew in good plit was the mone,u Sx u S u S u S u Sx,u Sx u S u S u S u Sx,u Sx u S u S u S u Sx,10,10,10,1,1
"To doon viage, and took his wey ful sone",To doon viage and took his wey ful sone,u S uSx u S u S u Sx,u S uSx u S u S u Sx,u S uSx u S u S u Sx,10,10,10,1,1
Unto his neces paleis ther biside.,Unto his neces paleis ther biside,uS u Su Su S uSx,uS u Su Su S uSx,uS u Su Su S uSx,10,10,10,1,1
"Now Janus, god of entree, thou him gide!",Now Janus god of entree thou him gide,u Su S u Su S u Sx,u Su S u Su S u Sx,u Su S u Su S u Sx,10,10,10,1,1
Whan he was come unto his neces place,Whan he was come unto his neces place,u S u Sx uS u Su Sx,u S u Sx uS u Su Sx,u S u Sx uS u Su Sx,10,10,10,1,1
“Wher is my lady?” to hir folk quod he;,Wher is my lady to hir folk quod he,u S u Su S u S u S,u S u Su S u S u S,u S u Su S u S u S,10,10,10,1,1
And they him tolde; and he forth in gan pace,And they him tolde and he forth in gan pace,u S u Sx u S u S u Sx,u S u Sx u S u S u Sx,u S u Sx u S u S u Sx,10,10,10,1,1
And fond two othere ladies sete and she,And fond two othere ladies sete and she,u S u Sux Su S u S,u S u Sux SuS ux S x,u S u Sux SuS ux S x,10,10,10,0,0
Withinne a paved parlour; and they three,Withinne a paved parlour and they three,uSx u Su Su S u S,uSx u Su Su S u S,uSx u Su Su S u S,10,10,10,1,1
Herden a maiden reden hem the geste,Herden a maiden reden hem the geste,uS u Su Su S u Sx,uS u Su Su S u Sx,uS u Su Su S u Sx,10,10,10,1,1
"Of the Sege of Thebes, whil hem leste.",Of the Sege of Thebes whil hem leste,S u Sx u Su S u Sx,S u Sx u Su S u Sx,S u Sx u Su S u Sx,9,9,9,1,1
"Quod Pandarus, “Ma dame, God yow see",Quod Pandarus ma dame God yow see,u SuS u Su S u S,u SuS u Su S u S,u SuS u Su S u S,10,10,10,1,1
With al your book and al the companie!”,With al your book and al the companie,u S u S u S u SuS,u S u S u S u SuS,u S u S u S u SuS,10,10,10,1,1
"“Ey, uncle min, welcome ywis,” quod she",Ey uncle min welcome ywis quod she,u Su S uSx uS u S,u Su S uSx uS u S,u Su S uSx uS u S,10,10,10,1,1
"And up she roos, and by the hond in hie",And up she roos and by the hond in hie,u S u S u S u S u S,u S u S u S u S u S,u S u S u S u S u S,10,10,10,1,1
"She took him faste, and seide, “This night thrie",She took him faste and seide This night thrie,u S u Sx u Su S u S,u S u Sx u Su S u S,u S u Sx u Su S u S,10,10,10,1,1
"To goode mote it turne, of yow I mette!”",To goode mote it turne of yow I mette,u Su Sx u Sx u S u Sx,u Su Sx u Sx u S u Sx,u Su Sx u Sx u S u Sx,10,10,10,1,1
And with that word she doun on bench him sette.,And with that word she doun on bench him sette,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
"“Ye, nece, ye shal fare wel the bet",Ye nece ye shal fare wel the bet,u Su S u Su S u S,u Su S u Su S u S,u Su S u Su S u S,10,10,10,1,1
"If God wole, al this yeer,” quod Pandarus;",If God wole al this yeer quod Pandarus,u S ux S u S u SuS,u S ux S u S u SuS,u S ux S u S u SuS,10,10,10,1,1
“But I am sory that I have yow let,But I am sory that I have yow let,u S u Su S u Sx u S,u S u Su S u Sx u S,u S u Su S u Sx u S,10,10,10,1,1
To herknen of your book ye preisen thus;,To herknen of your book ye preisen thus,u Su S u S u Su S,u Su S u S u Su S,u Su S u S u Su S,10,10,10,1,1
"For Goddes love, what seith it? tel it us.",For Goddes love what seith it tel it us,u Su Sx u S u S u S,u Su Sx u S u S u S,u Su Sx u S u S u S,10,10,10,1,1
"Is it of love? O, som good ye me lere!”",Is it of love O som good ye me lere,u S u Sx u S u S u Sx,u S u Sx u S u S u Sx,u S u Sx u S u S u Sx,10,10,10,1,1
"“Uncle,” quod she, “your maistresse is not here!”",Uncle quod she your maistresse is not here,uS u S u Su S u Sx,ux S u S uSu S u Sx,ux S u S uSu S u Sx,10,10,10,0,0
"With that they gonnen laughe, and tho she seide",With that they gonnen laughe and tho she seide,u S u Su Sx u S u Sx,u S u Su Sx u S u Sx,u S u Su Sx u S u Sx,10,10,10,1,1
"“This romaunce is of Thebes, that we rede;",This romaunce is of Thebes that we rede,u Sux S u Su S u Sx,u Sux S u Su S u Sx,u Sux S u Su S u Sx,10,10,10,1,1
And we han herd how that king Laius deide,And we han herd how that king Laius deide,u S u S u S u Su Sx,u S u S u S u Su Sx,u S u S u S u Su Sx,10,10,10,1,1
"Thurgh Edippus his sone, and al that dede;",Thurgh Edippus his sone and al that dede,u SuS u Sx u S u Sx,u SuS u Sx u S u Sx,u SuS u Sx u S u Sx,10,10,10,1,1
And here we stenten at these lettres rede,And here we stenten at these lettres rede,u Sx u Su S ux Su Sx,u Sx u Su S ux Su Sx,u Sx u Su S ux Su Sx,10,10,10,1,1
"How the bisshop, as the book can telle",How the bisshop as the book can telle,S u Su S u S u Sx,S u Su S u S u Sx,S u Su S u S u Sx,9,9,9,1,1
"Amphiorax, fil thurgh the ground to helle.”",Amphiorax fil thurgh the ground to helle,uSuS u S u S u Sx,uSuS u S u S u Sx,uSuS u S u S u Sx,10,10,10,1,1
"Quod Pandarus, “Al this knowe I myselve",Quod Pandarus Al this knowe I myselve,u SuS u S ux S uSx,u SuS u S ux S uSx,u SuS u S ux S uSx,10,10,10,1,1
And al th’assege of Thebes and the care;,And al th assege of Thebes and the care,u S  uSx u Su S u Sx,u S  uSx u Su S u Sx,u S  uSx u Su S u Sx,10,10,10,1,1
For herof been ther maked bokes twelve:—,For herof been ther maked bokes twelve,u Su S u Su Su Sx,u Su S u Su Su Sx,u Su S u Su Su Sx,10,10,10,1,1
"But lat be this, and tel me how ye fare;",But lat be this and tel me how ye fare,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
"Do wey your barbe, and shew your face bare;",Do wey your barbe and shew your face bare,u S u Sx u S u Su Sx,u S u Sx u S u Su Sx,u S u Sx u S u Su Sx,10,10,10,1,1
"Do wey your book, ris up, and lat us daunce",Do wey your book ris up and lat us daunce,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
And lat us don to May som observaunce.”,And lat us don to May som observaunce,u S u S u S u SuSx,u S u S u S u SuSx,u S u S u S u SuSx,10,10,10,1,1
"“I? God forbede!” quod she, “Be ye mad?”",I God forbede quod she Be ye mad,u S uSu S u S u S,u S uSu S u S u S,u S uSu S u S u S,10,10,10,1,1
"Is that a widewes lif, so God you save?",Is that a widewes lif so God you save,u S u Sux S u S u Sx,u S u Sux S u S u Sx,u S u SuS u S u S ux,10,10,11,1,0
"By God, ye maken me right sore adrad",By God ye maken me right sore adrad,u S u Su S u Sx uS,u S u Su S u Sx uS,u S u Su S u Sx uS,10,10,10,1,1
"Ye ben so wilde, it semeth as ye rave!",Ye ben so wilde it semeth as ye rave,u S u Sx u Su S u Sx,u S u Sx u Su S u Sx,u S u Sx u Su S u Sx,10,10,10,1,1
It satte me wel bet ay in a cave,It satte me wel bet ay in a cave,u Su S u S u S u Sx,u Su S u S u S u Sx,u Su S u S u S u Sx,10,10,10,1,1
"To bidde, and rede on holy seintes lives:",To bidde and rede on holy seintes lives,u Sx u Sx u Su Su Sx,u Sx u Sx u Su Su Sx,u Sx u Sx u Su Su Su,10,10,11,1,0
"Lat maidens gon to daunce, and yonge wives.”",Lat maidens gon to daunce and yonge wives,u Su S u Sx u Sx uS,u Su S u Sx u Sx uS,u Su S u Sx u Sx uS,10,10,10,1,1
"“As ever thrive I,” quod this Pandarus",As ever thrive I quod this Pandarus,u Su Sx u S u SuS,u Su Sx u S u SuS,u Su Sx u S u SuS,10,10,10,1,1
“Yet coude I telle a thing to doon you pleie.”,Yet coude I telle a thing to doon you pleie,u Sx u Sx u S u S u S,u Sx u Sx u S u S u S,u Sx u Sx u S u S u S,10,10,10,1,1
"“Now uncle dere,” quod she, “tel it us",Now uncle dere quod she tel it us,u Su Su S u S u S,u Su Su S u S u S,u Su Su S u S u S,10,10,10,1,1
For Goddes love; is than the assege aweye?,For Goddes love is than the assege aweye,u Su S u S x uS uS,       ,u Su Sx u S u Sux Su,10,0,11,0,0
I am of Grekes so fered that I deie.”,I am of Grekes so fered that I deie,u S u Su S ux S u S,u S u Su S ux S u S,u S u Su S uS u S u,10,10,11,1,0
"“Nay, nay,” quod he, “as ever mote I thrive!",Nay nay quod he as ever mote I thrive,u S u S u Su Sx u Sx,u S u S u Su Sx u Sx,u S u S u Su Sx u Sx,10,10,10,1,1
It is a thing wel bet than swiche five.”,It is a thing wel bet than swiche five,u S u S u S u Su Sx,u S u S u S u Su Sx,u S u S u S u Su Sx,10,10,10,1,1
"“Ye, holy God!” quod she, “What thing is that?",Ye holy God quod she What thing is that,u Su S u S u S u S,u Su S u S u S u S,u Su S u S u S u S,10,10,10,1,1
"What? bet than swiche five? Ey, nay, ywis!",What bet than swiche five Ey nay ywis,u S u Su Sx u S uS,u S u Su Sx u S uS,u S u Su Sx u S uS,10,10,10,1,1
For al this world ne can I reden what,For al this world ne can I reden what,u S u S u S u Su S,u S u S u S u Su S,u S u S u S u Su S,10,10,10,1,1
"It sholde been; som jape, I trowe, is this.",It sholde been som jape I trowe is this,u Su S u Sx u Sx u S,u Su S u Sx u Sx u S,u Su S u Sx u Sx u S,10,10,10,1,1
And but yourselven telle us what it is,And but yourselven telle us what it is,u S uSu Sx u S u S,u S uSu Sx u S u S,u S uSu Sx u S u S,10,10,10,1,1
My wit is for to arede it al to lene;,My wit is for to arede it al to lene,u S u S u xS u S u S,u S u S u Sux S u S xx,u S u S u Sux S u S ux,10,10,11,0,0
"As help me God, I noot nat what ye mene.”",As help me God I noot nat what ye mene,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
"“And I your borow, ne never shal, for me",And I your borow ne never shal for me,u S u Sx u Su S u S,u S u Su S uS u S x,u S u Su S uS u S u,10,10,11,0,0
"This thing be told to yow, as mote I thrive!”",This thing be told to yow as mote I thrive,u S u S u S u Sx u Sx,u S u S u S u Sx u Sx,u S u S u S u Sx u Sx,10,10,10,1,1
"“And why so, uncle min? why so?” quod she.",And why so uncle min why so quod she,u S u Su S u S u S,u S u Su S u S u S,u S u Su S u S u S,10,10,10,1,1
"“By God,” quod he, “that wole I telle as blive;",By God quod he that wole I telle as blive,u S u S u Sx u Sx u Sx,u S u S u Sx u Sx u Sx,u S u S u Sx u Sx u Sx,10,10,10,1,1
For prouder womman were ther noon on live,For prouder womman were ther noon on live,u Su Su Sx u S u Sx,u Su Su Sx u S u Sx,u Su Su Sx u S u Sx,10,10,10,1,1
"And ye it wiste, in al the toun of Troye;",And ye it wiste in al the toun of Troye,u S u Sx u S u S u S,         ,u S u Sx u S u S u Su,10,0,11,0,0
"I jape nought, as ever have I joye!”",I jape nought as ever have I joye,u Su S u Su S u S,u Sx u S uS ux S uS,u Sx u S uS ux S uS,10,10,10,0,0
Tho gan she wondren more than biforn,Tho gan she wondren more than biforn,u S u Su Su S uS,u S u Su Su S uS,u S u Su Su S uS,10,10,10,1,1
"A thousand fold, and doun hir eyen caste;",A thousand fold and doun hir eyen caste,u Su S u S u Su Sx,u Su S u S u Su Sx,u Su S u S u Su Sx,10,10,10,1,1
"For never, sith the time that she was born",For never sith the time that she was born,u Su S u Sx u S u S,u Su S u Sx u S u S,u Su S u Sx u S u S,10,10,10,1,1
To knowe thing desired she so faste;,To knowe thing desired she so faste,u Su S uSu S u Sx,u Su S uSu S u Sx,u Su S uSu S u Sx,10,10,10,1,1
And with a sik she seide him at the laste,And with a sik she seide him at the laste,u S u S u Sx u S u Sx,u S u S u Sx u S u Sx,u S u S u Sx u S u Sx,10,10,10,1,1
"“Now, uncle min, I nil yow nought displese",Now uncle min I nil yow nought displese,u Su S u S u S uSx,u Su S u S u S uSx,u Su S u S u S uSx,10,10,10,1,1
"Nor axen more, that may do yow disese.”",Nor axen more that may do yow disese,u Su Sx u S u S uSx,u Su Sx u S u S uSx,u Su Sx u S u S uSx,10,10,10,1,1
"So after this, with many wordes glade",So after this with many wordes glade,u Su S u Su Su Sx,u Su S u Su Su Sx,u Su S u Su Su Sx,10,10,10,1,1
"And freendly tales, and with mery chere",And freendly tales and with mery chere,u Su Su S u Su Sx,u Su Su S u Su Sx,u Su Su S u Su Sx,10,10,10,1,1
"Of this and that they pleide, and gunnen wade",Of this and that they pleide and gunnen wade,u S u S u Sx u Su Sx,u S u S u Sx u Su Sx,u S u S u Sx u Su Sx,10,10,10,1,1
In many an unkouth glad and deep matere,In many an unkouth glad and deep matere,u Sx u Su S u S uS,u Su S uS u S u Sxx,u Su S uS u S u Sux,10,10,11,0,0
"As freendes doon, whan they ben met yfere;",As freendes doon whan they ben met yfere,u Su S u S u S uSx,u Su S u S u S uSx,u Su S u S u S uSx,10,10,10,1,1
Til she gan axen him how Ector ferde,Til she gan axen him how Ector ferde,u S u Su S u Su Sx,u S u Su S u Su Sx,u S u Su S u Su Sx,10,10,10,1,1
That was the tounes wal and Grekes yerde.,That was the tounes wal and Grekes yerde,u S u Su S u Su S,u S u Su S u Sx uSx,u S u Su S u Su Sx,10,10,10,0,1
"“Ful wel, I thanke it God,” quod Pandarus",Ful wel I thanke it God quod Pandarus,u S u Sx u S u SuS,u S u Sx u S u SuS,u S u Sx u S u SuS,10,10,10,1,1
“Save in his arm he hath a litel wounde;,Save in his arm he hath a litel wounde,ux S u S u S u Su Sx,ux S u S u S u Su Sx,ux S u S u S u Su Sx,10,10,10,1,1
And eek his fresshe brother Troilus,And eek his fresshe brother Troilus,u S u Su Su SuS,u S u Su Su SuS,u S u Su Su SuS,10,10,10,1,1
The wise worthy Ector the secounde,The wise worthy Ector the secounde,u Su Su Su S uSx,u Su Su Su S uSx,u Su Su Su S uSx,10,10,10,1,1
In whom that every vertu list abounde,In whom that every vertu list abounde,u S u Sxu Su S uSx,u S u Sxu Su S uSx,u S u Su Su S uSx,10,10,10,1,1
As alle trouthe and alle gentillesse,As alle trouthe and alle gentillesse,u Su Sx u Su SuSx,u Su Sx u Su SuSx,u Su Sx u Su SuSx,10,10,10,1,1
"Wisdom, honour, fredom, and worthinesse.”",Wisdom honour fredom and worthinesse,uS uS uS u SuSx,uS uS uS u SuSx,uS uS uS u SuSx,10,10,10,1,1
"“In good feith, eem,” quod she, “that liketh me;",In good feith eem quod she that liketh me,u S u S u S u Su S,u S u S u S u Su S,u S u S u S u Su S,10,10,10,1,1
"They faren wel, God save hem bothe two!",They faren wel God save hem bothe two,u Su S u Sx u Su S,u Su S u Sx u Su S,u Su S u Sx u Su S,10,10,10,1,1
For trewelich I holde it greet deintee,For trewelich I holde it greet deintee,u SuS u Sx u S uS,u SuS u Sx u S uS,u SuS u Sx u S uS,10,10,10,1,1
A kinges sone in armes wel to do,A kinges sone in armes wel to do,u Su Sx u Su S u S,u Su Sx u Su S u S,u Su Sx u Su S u S,10,10,10,1,1
And been of good condiciouns therto;,And been of good condiciouns therto,u S u S uSuS uS,u S u S uSuS uS,u S u S uSuS uS,10,10,10,1,1
