folder,file,line_number,oxford_text,green_scansion,v1_scansion,v2_scansion
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 187,And bereth him her at hoom so gentilly,u Sx u S u S u SuS,u Sx u S u S u SuS,u Su S u S u S uSu
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 205,Of grete estat that ever I saw my live,u Sx uS u S u S u Sx,u Sx uS u S u S u Sx,u Sx uS u Su S u S ux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 244,As in my gilt I shal you nevere offende,u S u S u S u Sxx uSx,u S u S u S u Sxx uSx,u S u S u S u Sux Sux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 257,With subtil art hir tales for to endite,u Su S u Su S x uSx,u Su S u Su S x uSx,u Su S u Su S u Sux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 357,Thorugh min abet that he thin honour shente,u S uS u S u Su Sx,u S uS u S u Su Sx,uS u Su S u S uS ux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 375,Governe himself that he no thing foryeteth,uSx uS u S u S uSx,uSx uS u S u S uSx,uSx uS u S u S uSux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 376,That wher he cometh he pris and thank him geteth,u S u Sx u S u S u Sx,u S u Sx u S u S u Sx,u S u Su S u S u S ux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 421,What is this al the joye and al the feste,u S u S u Su S u S xx,u S u S u Su S u S xx,u S u S u Su S u S ux
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 7,Yheried be thy might and thy goodnesse,uSu S u S u S uSx,uxSu S u S u S uSx,uSuS u S u S u Sux
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 37,And this knowe I by hem that loveres be,u S ux S u S u Sux S,u S ux S u S u Sux S,u S ux S u S u SuS u
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 42,Som joye of that is felt in thy servise,u S u S u S u S uSx,u S u S u S u S uSx,u Su S u S u S u Sux
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 55,This nil I not foryeten in no wise,u S u S uSu S u Sx,u S u S uSu S u Sx,u S u S uSuS u S ux
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 119,Or slee us bothe at ones er that ye wende,u S u Sx u Sx u S u Sx,u S u Sx u Sx u S u Sx,u S u Sx u Su S u S ux
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 158,With never a word but seide him softely,u S u S u Sx u SuS,u S u S u Sx u SuS,u Su S u S ux S uSu
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 181,For every wo ye shal recovere a blisse,u Sxu S u S uSxx u Sx,u Sxu S u S uSxx u Sx,u Su S u S uSux S ux
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 205,Tho comen upward right at the steires ende,u Su Su S u S ux Sx,u Su Su S u S ux Sx,u Su Su S u S uS ux
gold,GP_gold.csv,31,So hadde I spoken with hem everichon,u S u Su S u SuS,u Sx u Su S u SxuS,u Sx u Su S u SuSu
gold,GP_gold.csv,231,Therfore in stede of wepinge and preyeres,uS u S u Su S uS,uSx u Sx u Sux S uSx,uSx u Sx u Sux S uSu
gold,GP_gold.csv,260,In lovedayes ther coude he muchel helpe,u SuS u S u Su S,u SxuS u Sx u Su Sx,u SuSu S ux S uS ux
gold,GP_gold.csv,273,In mottelee and hye on horse he sat,u SuS u S u S u S,u SuS u S u Sx u S,u SuS u Su S ux S u
gold,GP_gold.csv,370,Hir girdles and hir pouches everydel,u Su S u Su SuS,u Su S u Su SxuS,u Su S u Su SuSu
gold,GP_gold.csv,385,He coude roste and sethe and broille and frye,u Su S u S u S u S,u Su Sx u Sx u Sx u S,u Sx ux S ux S ux S uS
gold,GP_gold.csv,745,Also I prey yow to foryeve it me,uS u S u S uS u S,uS u S u S uSx u S,uS u S u S uSux S x
