folder,file,line_number,oxford_text,green_scansion,v1_scansion,v2_scansion
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 134,And I your borow ne never shal for me,u S u Sx u Su S u S,u S u Su S uS u S x,u S u Su S uS u S x
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 139,And ye it wiste in al the toun of Troye,u S u Sx u S u S u S,         ,u S u Sx u S u S u Su
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 140,I jape nought as ever have I joye,u Su S u Su S u S,u Sx u S uS ux S uS,u Sx u S uS ux S uS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 151,In many an unkouth glad and deep matere,u Sx u Su S u S uS,u Su S uS u S u Sxx,u Su S uS u S u Sux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 168,Is selde yseye in o persone yfere,u Sx uS u S uS uS,u Su Su S u Sux Sxx,u Su Su S u Sux Sux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 174,As any men that liveth under the sonne,u Su S u Sx uS u Sx,u Su S u Su Sx u Sx,u Su S u Su Su S ux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 184,Of Troilus the same thing trowe I,u SuS u Su S u S,u SuS u Sx u Su S,u SuS u Sx u Su S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 192,He might han wondred upon Troilus,u S u Su uS SuS,u S u Su Su SuS,u S u Su Su SuS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 195,And thorugh the feld in every wightes ere,u Su S u S uS Su S,u Su S u S uSu Sx xx,u Su S u S uS uS ux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 207,To suche as him thinketh able for to thrive,u S u S ux Su S u Sx,u Sx u S uS ux S u Sx,u Sx u S uS ux S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 232,For nece by the goddesse Minerve,u Su S u Su SuS,     ,     
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 233,And Jupiter that maketh the thondre ringe,u SuS u Sx S ux Sx,u SuS u Su S ux Sx,u SuS u Su S ux Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 260,And sithen th ende is every tales strengthe,u Su ux S u Su Su Sx,u Su  Sx u SuS ux Sx,u Su  Sx u Su Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 276,And seide Lord so faste ye m avise,u Su S u Su S u Sx,u Su S u Su S  uSx,u Su S u Su S  uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 277,Sey ye me never er now what sey ye no,u S x Sx u S u S u S,u S x uS u S u S u S,u S x uS u S u S u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 281,For to every wight som goodly aventure,u S ux S u Su SuS,u S uxS u S ux SuSx,u S uS u S uS uSux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 284,Whan that it cometh but wilfully it weiven,u S u Sx u SuS u Su,u S u Su S uSu S ux,u S u Su S uSu S ux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 288,Good aventure O bele nece have ye,u SuSx u Su S u S,u SuSx u Sx ux Su S,u SuSx u Sx ux Su S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 293,Yif me youre hond for in this world is noon,u x ux S u S u S u S,u x Su S u S u S u S,u x Su S u S u S u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 307,And were it thing that me thoughte unsittinge,u Sx u S u S u SuSx,u Sx u S u x Su SuSx,u Sx u S u x Su SuSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 323,But if ye lete him deye I wol sterve,u S u S u Su S u Sx,u S u Su S u S u Sx,u S u Su S u S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 324,Have here my trouthe nece I nil not lien,ux Sx u Su S Su u S uS,ux Sx u Sx ux S u S uS,ux Sx u Sx ux S u S uS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 327,And seide If that ye doon us bothe dyen,u Sx u S u S u Su Sx,u Sx u S u S u Sx uS,u Sx u S u S u Sx uS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 333,I see him deye ther he goth upright,u S u Su S u S uS,S u S u S u S uS,S u S u S u S uS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 342,To make amendes of so cruel a dede,u Sx uSu S u S u Sx,u Sx uSu S u Su S xx,u Sx uSu S u Su S ux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 352,For me were lever thou and I and he,u S u Su S u S u S,u x Su Su S u S u S,u x Su Su S u S u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 369,Ther ayeins answere I thus anoon,S uSu Sxx u S uS,S uS uSx u S uS,S uS uSx u S uS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 373,To temple go that he th images eteth,u Su S u S ux Su Sx,u Su S u S  uSu Sx,u Su S u S  uSu Su
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 387,Thoughte I shal fele what he meneth ywis,ux S u Su S u Sx uS,ux S u Sx u S uS uS,ux S u Sx u S uS uS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 393,Thenk eek how elde wasteth every houre,u S u Su Su Su Sx,u S u Sx uS uSu Sx,u S u Sx uS uSu Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 401,Whan that him thinketh a womman bereth hir hi,u S u Sx u Su S u S,u S u Su S uS xx u S,u S u Su S uS ux S u
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 406,Nece I bidde wish yow no more sorwe,Sx u Su S u S u Su,Sx u Sx u S u Su Sx,Sx u Sx u S u Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 427,For so astonied am I that I deie,u S uSu S u S u S,u x SuSu S u S u S,u S uSuS u S u S u
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 5,In gentil hertes ay redy to repaire,u Su Sx u Su S uSx,u Su Su S xu S uSx,u Su Su S uS u Sux
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 8,In hevene and helle in erthe and salte see,u Sxx u Sx u Sx u Su S,u Sux S ux S ux S ux S,u Sux S ux S ux S ux S
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 16,Thorugh which that thinges liven alle and be,ux S u Su Su Sx u S,uS u S uS ux Sx u S,uS u S uS uS ux S u
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 31,Ye knowe al thilke covered qualitee,u Sx u Su Sux SuS,u Sx u Sx uSu SuS,u Sx u Sx uSu SuS
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 45,Caliope thy vois be now present,uSuS u S u S uS,SuSx u S u S uS,SuSx u S u S uS
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 77,Continuaunce I wolde yow biseke,uSuS u Su S uSx,SuSx u Su S uSx,SuSx u Su S uSx
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 86,For she was wis and lovede him never the lasse,u S u S u Sxx u Sx u Sx,u x S u S uSx u S u Sx,u x S u S uSx u Su S ux
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 130,Ye wolde somtime freendly on me see,u Su Sux Su S u S,u Sx uSu Su S u S,u Sx uSu Su S u S
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 131,And thanne agren that I may ben he,u Sx uSu S u S u S,u Su Su S u S u S,u Su Su S u S u S
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 185,Immortal god quod he that mayst nought dyen,uSu S u S u S u Sx,uSu S u S u S u Su,uSu S u S u S u Su
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 223,Delivered been and seide that him leste,uSux S u Su S u Sx,uSuS u S ux S u Sx,uSuS u S ux S u Sx
gold,GP_gold.csv,15,And specially from every shires ende,u SuS u Su Su S,u SuSu S uxS ux Sx,u SuSu S uS uS ux
gold,GP_gold.csv,53,Aboven alle naciouns in Pruce,uSu S uSuS u S,uSu Su SuS u Sx,uSu Su SuS u Sx
gold,GP_gold.csv,58,At Lieys was he and at Satalie,u S u S u S uSu,u Su S u S u SuS,u Su S u S u SuS
gold,GP_gold.csv,59,Whan they were wonne and in the Grete See,u S uS u S u S u S,u S ux Sx u S u Su S,u S ux Sx u S u Su S
gold,GP_gold.csv,60,At many a noble arive hadde he be,u Su S u Su S u S,u Sx u Su Sux Sx u S,u Sx u Su Sux Sx u S
gold,GP_gold.csv,63,In listes thries and ay had slain his foo,u Su S u S u S u S,u Sx uS u S u S u S,u Su Su S u S u S u
gold,GP_gold.csv,74,His hors were goode but he was nat gay,u S uS u S u S u S,u S ux Su S u S u S,u S ux Su S u S u S
gold,GP_gold.csv,75,Of fustian he wered a gipoun,u Su S uS u Su,u SuS u Su S uS,u SuS u Su S uS
gold,GP_gold.csv,76,And al bismotered with his habergeoun,u S uSuS u S uSu,u S uSxx u S uSuS,u S uSux S u SuSu
gold,GP_gold.csv,77,For he was late ycome from his viage,u S u Su Su S u S,u S u Sx uSx u S uSx,u S u Sx uSx u S uSx
gold,GP_gold.csv,79,With him ther was his sone a yong Squyer,u S u S u Su S u S,u S u S u Sx u S uS,u S u S u Sx u S uS
gold,GP_gold.csv,94,Wel coude he sitte on hors and faire ride,u Su S u S u S u S,u Sx u Sx u S u Su Sx,u Sx u Sx u S u Su Sx
gold,GP_gold.csv,96,Juste and daunce and wel purtreye and write,uS u S u S uS u S,       ,Sx u Su S u Su S ux
gold,GP_gold.csv,102,At that time for him liste ride so,u S uS u S uS u S,u S ux S u Su Su S,u S ux S u Su Su S
gold,GP_gold.csv,104,A sheef of pecok arwes bright and kene,u S u SuSu S u S,u S u Su Su S u Sx,u S u Su Su S u Sx
gold,GP_gold.csv,109,A not heed hadde he with a broun visage,u Su S u S u S uS,u S u Sx u S u S uSx,u S u Sx u S u S uSx
gold,GP_gold.csv,118,Ther was also a nonne a Prioresse,u S uS u Su S uS,u S uS u Sx u SuSx,u S uS u Sx u SuSx
gold,GP_gold.csv,120,Hir gretteste ooth was but by Seinte Loy,u SuS u S u S u S,u Sux S u S u Su S,u Sux S u S u Su S
gold,GP_gold.csv,121,And she was cleped madame Eglentine,u S u Su Su SuS,u x S uS uSu SuSx,u x S uS uSu SuSx
gold,GP_gold.csv,125,After the scole of Stratford atte Bowe,uS u Su S uS u S,uS u Sx u Su Su Sx,uS u Sx u Su Su Sx
gold,GP_gold.csv,129,Ne wette hir fingres in hir sauce depe,u Su S uS u S u S,u Sx u Su S u Su Sx,u Sx u Su S u Su Sx
gold,GP_gold.csv,130,Wel coud she carie a morsel and wel kepe,u S u Su S uS u S u,u S x uS u Su S u Sx,u S x uS u Su S u Sx
gold,GP_gold.csv,131,That no drope ne fille upon hir brest,u S uS u S uS u S,S u Sx u Sx uS u S,S u Sx u Sx uS u S
gold,GP_gold.csv,148,But sore weep she if oon of hem were deed,u S u S u S u S u S,u Sx u x S u S u Su S,u Sx u x S u S u Su S
gold,GP_gold.csv,152,Hir nose tretis hir eyen greye as glas,u Su Su S u S u S,u Sx uS u Su S u S,u Sx uS u Su S u S
gold,GP_gold.csv,162,And after Amor vincit omnia,u Su Su Su Su,u Su Su Su SuS,u Su Su Su SuS
gold,GP_gold.csv,163,Another Nonne with hire hadde she,uSu Su S uS u S,uSu Sx u Su Su S,uSu Sx u Su Su S
gold,GP_gold.csv,170,Ginglen in a whistling wind as clere,uS u S uS u S uS,Su S u Su S u Sx,Su S u Su S u Sx
gold,GP_gold.csv,196,He hadde of gold ywroght a curious pin,u S u S uS u Su S,       ,u Sx u S uS u SuS u
gold,GP_gold.csv,201,Hise eyen stepe and rollinge in his heed,uS u S u Su S u S,ux Su Sx u Sux S u S,ux Su Sx u Sux S u S
gold,GP_gold.csv,211,So muche of daliaunce and fair langage,u Su S uS u S uS,u Sx u SuSx u S uSx,u Sx u SuSx u S uSx
gold,GP_gold.csv,212,He hadde maad ful many a mariage,u Su S u Su S uS,u Sx u S uS u SuSx,u Sx u S uS u SuSx
gold,GP_gold.csv,214,Unto his ordre he was a noble post,uS u Su S u S u S,uS u Sx u S u Su S,uS u Sx u S u Su S
gold,GP_gold.csv,215,Ful wel biloved and famulier was he,u S uSu S uSu S u,      ,u S uSx u SuSu S u
gold,GP_gold.csv,220,For of his ordre he was licenciat,u S u Su S u SuS,u S u Sx u S uSuS,u S u Sx u S uSuS
gold,GP_gold.csv,225,For unto a poure ordre for to yive,u Su S uS u S u S,u Su S ux Su S u Sx,u Su S ux Su S u Sx
gold,GP_gold.csv,230,He may nat wepe althogh him sore smerte,u S u Su Su S u S,u S u Sx uS u Su Sx,u S u Sx uS u Su Sx
gold,GP_gold.csv,236,Wel coude he singe and pleyen on a rote,u Su S u S u S u S,u Sx u Sx u Su S u Sx,u Sx u Sx u Su S u Sx
gold,GP_gold.csv,247,For to delen with no swich poraille,u S uS u S u SuS,S u Su S u S uSx,S u Su S u S uSx
gold,GP_gold.csv,251,Ther was no man nowher so vertuous,u S u S uS u Su,u S u S uS u SuS,u S u S uS u SuS
gold,GP_gold.csv,252,He was the beste beggere in his hous,u S u Su Su S u S,u S u Sx uSu S u S,u S u Sx uSu S u S
gold,GP_gold.csv,256,So plesaunt was his In principio,u Su S u S uSu,u Su S u S uSuS,u Su S u S uSuS
gold,GP_gold.csv,269,His eyen twinkled in his heed aright,u S uS u S u Su,u Su Su S u S uS,u Su Su S u S uS
gold,GP_gold.csv,280,Wel coude he in eschaunge sheeldes selle,u Su S u Su Su S,u Sx u S uSu Su Sx,u Sx u S uSu Su Sx
gold,GP_gold.csv,296,Twenty bokes clad in blak or reed,uS uS u S u S u,Su Su S u S u S,Su Su S u S u S
gold,GP_gold.csv,304,Of hem that yaf him wherwith to scoleye,u S u S u Su S uS,       ,S u S u S uS u Su
gold,GP_gold.csv,324,And yet he semed bisier than he was,u S u Su Su S u S,u S u Sx uSu S u S,u S u Su SuS u S u
gold,GP_gold.csv,326,That from the time of king William were falle,u S u S u S uS u S,u S u Sx u S uSu xx Sx,u S u Sx u S uSu Sx ux
gold,GP_gold.csv,334,Whit was his berd as is the dayesie,u S u S u S u Su,u S u S u S u SuS,u S u S u S u SuS
gold,GP_gold.csv,342,Seint Julian he was in his contree,u Su S u S u Su,u SuS u S u S uS,u SuS u S u S uS
gold,GP_gold.csv,345,Withoute bake mete was nevere his hous,uSu S u S uS u S,uSx ux Su S uSx u S,uSx ux Su S uSx u S
gold,GP_gold.csv,346,Of fish and flesh and that so plenteous,u S u S u S u Su,u S u S u S u SuS,u S u S u S u SuS
gold,GP_gold.csv,352,And many a breem and many a luce in stuwe,u Su S u S uS u S u S,u Sx u S u Sx u Sx u Sx,u Su S u S ux S ux S ux
gold,GP_gold.csv,357,At sessiouns ther was he lord and sire,u SuSu S u S u S u,u SuS u S u S u Sx,u SuS u S u S u Sx
gold,GP_gold.csv,364,A Webbe a Dyere and a Tapicer,u Su S u S u SuS,u Sx u Sux S u SuS,u Sx u Sux S u SuS
gold,GP_gold.csv,379,And goon to vigilys al bifore,u S u SuS u SuS,S u S uSu S uSx,S u S uSu S uSx
gold,GP_gold.csv,380,And have a mantel royalliche ybore,u Su S uS uS uS,u Sx u Su SuSx uSx,u Sx u Su SuSx uSx
gold,GP_gold.csv,386,Maken mortreux and wel bake a pye,uS uS u S uS u S,Su Su S u Sx u S,uS uS u S ux S uS
gold,GP_gold.csv,388,That on his shine a mormal hadde he,u S u Su S uS u S,u S u Sx u Su Su S,u S u Sx u Su Su S
gold,GP_gold.csv,393,In a gowne of falding to the knee,u S uS u Su S u S,S u Sx u Su S u S,S u Sx u Su S u S
gold,GP_gold.csv,401,If that he faught and had the hyer hond,u S u S u S u S u,u S u S u S u Su S,u S u S u S u Su S
gold,GP_gold.csv,417,He kepte his pacient a ful greet del,u Su S uS u S u S,u Sx u SuS u S u S,u Sx u SuS u S u S
gold,GP_gold.csv,420,Of hise images for his pacient,u Su SuS u S uS,u Sx uSu S u SuS,u Sx uSu S u SuS
gold,GP_gold.csv,427,Ful redy hadde he hise apothecaries,u Su S u S uSuSu,u xx Sx u Sx uSuSuS,u Sx ux S ux SuSuSu
gold,GP_gold.csv,428,To sende him drogges and his letuaries,u S u Su S u SuS,      ,u Sx u Sx u S uSuSu
gold,GP_gold.csv,430,Hir frendshipe nas nat newe to biginne,u SuS u S u S uS,u Sux S u Su S uSx,u Sux S u Su S uSx
gold,GP_gold.csv,431,Wel knew he the olde Esculapius,u S u S uS uSuS,u S u S ux SuSuS,u S u S ux SuSuS
gold,GP_gold.csv,432,And Deiscorides and eek Rufus,u SuSu S u Su,S uSuS u S uS,S uSuS u S uS
gold,GP_gold.csv,433,Olde Ypocras Haly and Galien,uS uSu Su S uS,ux SuS uS u SuS,ux SuS uS u SuS
gold,GP_gold.csv,434,Serapion Razis and Avicen,uSu Su S uSu,uSuS uS u SuS,uSuS uS u SuS
gold,GP_gold.csv,435,Averrois Damascien and Constantin,uSu SuS u SuS,   ,uSu SuSu S uSu
gold,GP_gold.csv,437,Of his diet mesurable was he,u S u SuSu S u,     ,     
gold,GP_gold.csv,438,For it was of no superfluitee,u S u S u SuSu,S u S u S uSuS,S u S u S uSuS
gold,GP_gold.csv,445,For gold in phisik is a cordial,u S u Su S u Su,u S u Su S u SuS,u S u Su S u SuS
gold,GP_gold.csv,446,Therfore he loved gold in special,uSu S uS u S uS,uSx u Su S u SuS,uSx u Su S u SuS
gold,GP_gold.csv,456,I dorste swere they weyeden ten pound,u Su Su S uS u S,u Su Sx u SuS u S,u Su Sx u SuS u S
gold,GP_gold.csv,462,Housbondes at chirchedore she hadde five,uSu S uSu S u S,uSu S uSux x Su Sx,uSu S uSux x Su Sx
gold,GP_gold.csv,465,And thries had she been at Jerusalem,u S u S u S uSuS,u Su S x u S uSuS,u Su S x u S uSuS
gold,GP_gold.csv,466,She hadde passed many a straunge strem,u Su Su Su S u S,u Sx uS uS u Su S,u Sx uS uS u Su S
gold,GP_gold.csv,467,At Rome she hadde been and at Boloigne,u Su S u S u S uS,u Sx u Su S u S uSx,u Sx u Su S u S uSx
gold,GP_gold.csv,477,Of remedies of love she knew perchaunce,u SuS u S u S uS,u SuSu S ux x S uSx,u SuSu S ux x S uSx
gold,GP_gold.csv,478,For she coude of that art the olde daunce,u S uS u S u S u S,u x Su S u S u Su Sx,u x Su S u S u Su Sx
gold,GP_gold.csv,486,And in adversitee ful pacient,u S uSuS u Su,u S uSuS u SuS,u S uSuS u SuS
gold,GP_gold.csv,493,Wid was his parisshe and houses fer asonder,u S u Su S uS u SuS,u S u Sux S ux S uSx,u S u Sux S uS u Sux
gold,GP_gold.csv,506,A shiten shepherde and a clene sheep,u Su SuS u S u S,u Su Sux S u Su S,u Su Sux S u Su S
gold,GP_gold.csv,514,But dwelte at hoom and kepte wel his folde,u Su S u S u S u S,u Sx u S u Su S u Sx,u Sx u S u Su S u Sx
gold,GP_gold.csv,517,And though he holy were and vertuous,u S u Su Su S uS,u S u Su Sx u SuS,u S u Su Sx u SuS
gold,GP_gold.csv,519,Ne of his spech daungerous ne digne,u S u S uSu S uS,S u S u SuS u Sx,S u S u SuS u Sx
gold,GP_gold.csv,532,That hadde ylad of dong ful many a fother,u S uS u S u Su S uS,u Sx uS u S u Sx u Sx,u Sx uS u S u Su S ux
gold,GP_gold.csv,533,A trewe swinkere and a good was he,u Su Su S u S u S,u Sx uSu S u S u S,u Sx uSu S u S u S
gold,GP_gold.csv,539,For Cristes sake for every povre wight,u Su Su S uS u S,u Su Sx u SuS ux S,u Su Sx u Su Su S
gold,GP_gold.csv,541,His tithes payed he ful faire and wel,u Su S u S uS u S,u Su Su S u Sx u S,u Su Su S u Sx u S
gold,GP_gold.csv,542,Bothe of his propre swink and his catel,uS u S u S u S uS,ux S u Su S u S uS,ux S u Su S u S uS
gold,GP_gold.csv,546,A Maunciple myself ther were namo,u SuS uS u S uS,S uSx uS u Sx uS,S uSx uS u Sx uS
gold,GP_gold.csv,562,He was a janglere and a goliardeis,u S u Su S u SuS,u S u Sxx u S uSuS,u S u Sux S u SuSu
gold,GP_gold.csv,563,And that was most of sinne and harlotries,u S u S u S u SuS,       ,u S u S u Sx u SuSu
gold,GP_gold.csv,564,Wel coude he stelen corn and tollen thries,u S u Su S u Su S,u Sx u Su S u Sx uS,u Sx u Su S u Su Su
gold,GP_gold.csv,569,A gentil Maunciple was ther of a Temple,u Su Su S u S u S,       ,u Su Sux S u S u Su
gold,GP_gold.csv,571,For to be wise in byinge of vitaille,u S u Su S u S uS,u S u Sx u Sux S uSx,u S u Sx u Sux S uSx
gold,GP_gold.csv,578,Of maistres hadde he mo than thryes ten,u Su Su S u S u S,u Su Sx u S u Su S,u Su Sx u S u Su S
gold,GP_gold.csv,579,That were of lawe expert and curious,u Su S u Su S uS,u Sx u Sx uS u SuS,u Sx u Sx uS u SuS
gold,GP_gold.csv,583,To make him live by his propre good,u Su S uS u S u S,u Sx u Su S u Su S,u Sx u Su S u Su S
gold,GP_gold.csv,599,His lordes sheepe his neet his dayerie,u Su Su S u S uS,u Su Sx u S u SuS,u Su Sx u S u SuS
gold,GP_gold.csv,602,And by his covenaunt he yaf the rekening,u S u SuS u S u SuS,u S u Sxu S u S uxS,u S u SuS u S u Sxu
gold,GP_gold.csv,609,With grene tres shadwed was his place,u Su S uS u S uS,      ,      
gold,GP_gold.csv,613,To yeve and lene him of his owne good,u Su S u S u S u S,u Sx u Sx u S u Su S,u Sx u Sx u S u Su S
gold,GP_gold.csv,627,For sawcefleem he was with eyen narwe,u SuS u S u S uS,u SuS u S u Su Sx,u SuS u S u Su Sx
gold,GP_gold.csv,632,Boras ceruce ne oille of tartre noon,uS uSu S u S u S,uS uSx u Sx u Su S,uS uSx u Sx u Su S
gold,GP_gold.csv,636,Wel loved he garleek oinons and eke lekes,u Su S uS uS u S uS,u Sx u Su Su S ux Sx,u Su S uS uS u Sx ux
gold,GP_gold.csv,640,Than wolde he speke no word but Latin,u Su S u S u S uS,u Sx u Su S u S uS,u Sx u Su S u S uS
gold,GP_gold.csv,648,Ay Questio quid iuris wolde he crie,u Su S uS uS u S,u SuS u Su Sx u S,u SuS u Su Sx u S
gold,GP_gold.csv,650,A bettre felawe sholde men noght finde,u Su SuS u S u S,u Sx uSu Su S u Sx,u Sx uSu Su S u Sx
gold,GP_gold.csv,653,A twelfmonth and excuse him atte fulle,u Su S uSu S u S,u Su S uSx u Su Sx,u Su S uSx u Su Sx
gold,GP_gold.csv,664,And also war him of a significavit,u Su S u S u SuSuS,      ,      
gold,GP_gold.csv,665,In daunger hadde he at his owne gise,u Su Su S u S u S,u Su Sx u S u Su Sx,u Su Sx u S u Su Sx
gold,GP_gold.csv,684,Him thoughte he rood al of the newe jet,u Su S u S u S u S,u Sx u S u S u Su S,u Sx u S u S u Su S
gold,GP_gold.csv,686,Swich glaringe eyen hadde he as an hare,u SuS u S u S u S,u Sux Su Sx u S u Sx,u Sux Su Sx u S u Sx
gold,GP_gold.csv,691,No berd hadde he ne never sholde have,u S uS u S uS u S,u S ux S u Su Su Sx,u S ux S u Su Su Sx
gold,GP_gold.csv,710,He was in chirche a noble ecclesiaste,u S u Su S u SuS,u S u Sx u Su SxuSx,u S u Sx u Su SuSux
gold,GP_gold.csv,725,And after wol I telle of our viage,u Su S u Su S u S,u Su S u Sx u S uSx,u Su S u Sx u S uSx
gold,GP_gold.csv,747,Here in this tale as that they sholde stonde,uS u S u S u S u S,ux S u Sx u S u Su Sx,ux S u Sx u S u Su Sx
gold,GP_gold.csv,749,Greet cheere made our host us everichon,u Su S u S u SuS,u Sx ux S u S uSuS,u Sx ux S u S uSuS
gold,GP_gold.csv,755,A large man he was with eyen stepe,u Su S u S u S uS,u Su S u S u Su Sx,u Su S u S u Su Sx
gold,GP_gold.csv,758,And of manhod him lakkede right naught,u S uS u SuS u S,S u Su S uSx u S,S u Su S uSx u S
gold,GP_gold.csv,760,And after soper pleyen he bigan,u Su Su S u Su,u Su Su Su S uS,u Su Su Su S uS
gold,GP_gold.csv,766,I ne saugh this yeer so mery a companye,u S u S u S uS u SuS,        ,u S u S u S xx u SuSu
gold,GP_gold.csv,768,Fain wolde I doon yow mirthe wiste I how,u Su S u S u S u S,u Sx u S u Su Sx u S,u Sx u S u Su Sx u S
gold,GP_gold.csv,770,To doon yow ese and it shal coste noght,u S u Su S u S u S,u S u Sx u S u Su S,u S u Sx u S u Su S
gold,GP_gold.csv,802,Here in this place sitting by this post,uS u S u Su S u S,ux S u Su Su S u S,ux S u Su Su S u S
gold,GP_gold.csv,807,And whoso wol my jugement withseye,u Su S u SuS uS,     ,S uS u S uSu Su
gold,GP_gold.csv,826,And gadrede us togidre in a flok,u SuS u Su S u S,u Sux S uSu S u S,u Sux S uSu S u S
gold,GP_gold.csv,834,As ever mote I drinke win or ale,u Su Su S u S u S,u Su Sx u Su S u Sx,u Su Sx u Su S u Sx
gold,GP_gold.csv,843,Ne studieth noght ley hond to every man,u Su S u S u Su S,u SuS u S u x Sxu S,u SuS u S u S uS u
gold,GP_gold.csv,853,As he that wis was and obedient,u S u S u S uSu,u S u S u S uSuS,u S u S u S uSuS
