"""Namoore of this, for Goddes dignitee,""",||,"¶“No moore of this, for Goddes dignitee,”"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 922,,,10,That,also,wisly,God,my,soule,blesse
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 922,,,10,u,Su,Su,S,u,Su,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 922,,,10,that@conj,as@conj,wisli@adv,god@n1#propn,min@pron%gen,soule@n,blessen@v%pr_3
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 922,,,10,That,also,wisly,God,my,soule,blesse
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 922,,,10,u,Su,Su,S,u,Su,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 922,,,10,that@conj,as@conj,wisli@adv,god@n1#propn,min@pron%gen,soule@n,blessen@v%pr_3

Myne eres aken of thy drasty speche.,||,Min eres° aken° of thy drasty° speche;
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 923,,,10,Myne,eres,aken,of,thy,drasty,speche
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 923,,,10,ux,Su,Su,S,u,Su,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 923,,,10,min@pron%gen,ere@n1%pl,aken@v%pr_pl,of@prep,thin@pron%gen,drasti@adj,speche@n
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 923,,,10,Min,eres,aken,of,thy,drasty,speche
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 923,,,10,u,Su,Su,S,u,Su,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 923,,,10,min@pron%gen,ere@n1%pl,aken@v%pr_pl,of@prep,thin@pron%gen,drasti@adj,speche@n

Now swich a rym the devel I biteche!,||,Now swich a rim° the devel I biteche!°
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 924,,,10,Now,swich,a,rym,the,devel,I,biteche
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 924,,,10,u,S,u,S,u,Su,S,uSx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 924,,,10,nou@adv,swich@gram_adj,a@indef_art,rime@n3,the@def_art,devel@n,ich@pron%nom,bitechen@v%pr_1
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 924,,,10,Now,swich,a,rim,the,devel,I,biteche
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 924,,,10,u,S,u,S,u,Su,S,uSx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 924,,,10,nou@adv,swich@gram_adj,a@indef_art,rime@n3,the@def_art,devel@n,ich@pron%nom,bitechen@v%pr_1

"This may wel be rym dogerel,"" quod he.",||,"This may wel be rim dogerel,” quod he."
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 925,,,10,This,may,wel,be,rym,dogerel,quod,he
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 925,,,10,u,S,u,S,u,SuS,u,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 925,,,10,this@pron,mouen@v3%pr_3,wel@adv,ben@v%inf,rime@n3,doggerel@adj,quethen@v%pt_3,he@pron1%nom
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 925,,,10,This,may,wel,be,rim,dogerel,quod,he
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 925,,,10,u,S,u,S,u,SuS,u,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 925,,,10,this@pron,mouen@v3%pr_3,wel@adv,ben@v%inf,rime@n3,doggerel@adj,quethen@v%pt_3,he@pron1%nom

"""Why so?"" quod I, ""why wiltow lette me",||,"¶“Why so?” quod I, “Why wiltow lette me°"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 926,,,10,Why,so,quod,I,why,wiltow,lette,me
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 926,,,10,u,S,u,S,u,Su,Su,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 926,,,10,whi@adv,so@adv,quethen@v%pt_1,ich@pron%nom,whi@adv,willen@v%pr_2_pron,letten@v%inf,me@pron2%obj
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 926,,,10,Why,so,quod,I,Why,wiltow,lette,me
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 926,,,10,u,S,u,S,u,Su,Su,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 926,,,10,whi@adv,so@adv,quethen@v%pt_1,ich@pron%nom,whi@adv,willen@v%pr_2_pron,letten@v%inf,me@pron2%obj

"Moore of my tale than another man,",||,"More of my tale than another man,"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 927,,,10,Moore,of,my,tale,than,another,man
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 927,,,10,ux,S,u,Su,S,uSu,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 927,,,10,more@n3,of@prep,min@pron%gen,tale@n,than@conj,another@gram_adj,man@n
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 927,,,10,More,of,my,tale,than,another,man
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 927,,,10,ux,S,u,Su,S,uSu,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 927,,,10,more@n3,of@prep,min@pron%gen,tale@n,than@conj,another@gram_adj,man@n

"Syn that it is the beste rym I kan?""",||,Sin that it is the beste rim I can?”
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 928,,,10,Syn,that,it,is,the,beste,rym,I,kan
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 928,,,10,u,S,u,S,u,Su,S,u,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 928,,,10,sin@conj,that@part,hit@pron,ben@v%pr_3,the@def_art,best@adj%sup,rime@n3,ich@pron%nom,connen@v%pr_1
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 928,,,10,Sin,that,it,is,the,beste,rim,I,can
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 928,,,10,u,S,u,S,u,Su,S,u,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 928,,,10,sin@conj,that@part,hit@pron,ben@v%pr_3,the@def_art,best@adj%sup,rime@n3,ich@pron%nom,connen@v%pr_1

"""By God,"" quod he, ""for pleynly, at a word,",||,"¶“By God,” quod he, “for pleinly, at a word,"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 929,,,10,By,God,quod,he,for,pleynly,at,a,word
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 929,,,10,u,S,u,S,u,Su,S,u,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 929,,,10,bi@prep,god@n1#propn,quethen@v%pt_3,he@pron1%nom,for@conj,plainlie@adv,at@prep,a@indef_art,word@n
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 929,,,10,By,God,quod,he,for,pleinly,at,a,word
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 929,,,10,u,S,u,S,u,Su,S,u,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 929,,,10,bi@prep,god@n1#propn,quethen@v%pt_3,he@pron1%nom,for@conj,plainlie@adv,at@prep,a@indef_art,word@n

Thy drasty rymyng is nat worth a toord!,||,Thy drasty riming is nat worth a tord;
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 930,,,10,Thy,drasty,rymyng,is,nat,worth,a,toord
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 930,,,10,u,Su,Su,S,u,S,u,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 930,,,10,thin@pron%gen,drasti@adj,riming@ger,ben@v%pr_3,not@adv,worth@adj,a@indef_art,torde@n
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 930,,,10,Thy,drasty,riming,is,nat,worth,a,tord
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 930,,,10,u,Su,Su,S,u,S,u,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 930,,,10,thin@pron%gen,drasti@adj,riming@ger,ben@v%pr_3,not@adv,worth@adj,a@indef_art,torde@n

Thou doost noght elles but despendest tyme.,||,"Thou doost nought elles but despendest° time,"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 931,,,10,Thou,doost,noght,elles,but,despendest,tyme
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 931,,,10,u,S,u,Su,S,uSu,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 931,,,10,thou@pron%nom,don@v1%pr_2,nought@pron,elles@adj,but@conj,dispenden@v%pr_2,time@n
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 931,,,10,Thou,doost,nought,elles,but,despendest,time
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 931,,,10,u,S,u,Su,S,uSu,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 931,,,10,thou@pron%nom,don@v1%pr_2,nought@pron,elles@adj,but@conj,dispenden@v%pr_2,time@n

"Sire, at o word, thou shalt no lenger ryme.",||,"Sire, at o word, thou shalt no lenger rime."
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 932,,,10,Sire,at,o,word,thou,shalt,no,lenger,ryme
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 932,,,10,ux,S,u,S,u,S,u,Su,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 932,,,10,sire@n,at@prep,o@num_adj,word@n,thou@pron%nom,shulen@v1%pr_2,no@adv,lengere@adv%comp,rimen@v1%inf
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 932,,,10,Sire,at,o,word,thou,shalt,no,lenger,rime
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 932,,,10,ux,S,u,S,u,S,u,Su,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 932,,,10,sire@n,at@prep,o@num_adj,word@n,thou@pron%nom,shulen@v1%pr_2,no@adv,lengere@adv%comp,rimen@v1%inf

"Lat se wher thou kanst tellen aught in geeste,",||,"Lat see wher thou canst tellen aught in geste,°"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 933,,,10,Lat,se,wher,thou,kanst,tellen,aught,in,geeste
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 933,,,10,u,S,u,S,u,Su,S,u,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 933,,,10,leten@v%imp,sen@v1%inf,whether@conj,thou@pron%nom,connen@v%pr_2,tellen@v%inf,ought@pron,in@prep,geste@n1
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 933,,,10,Lat,see,wher,thou,canst,tellen,aught,in,geste
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 933,,,10,u,S,u,S,u,Su,S,u,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 933,,,10,leten@v%imp,sen@v1%inf,whether@conj,thou@pron%nom,connen@v%pr_2,tellen@v%inf,ought@pron,in@prep,geste@n1

"Or telle in prose somwhat, at the leeste,",||,Or telle in prose somwhat at the leste
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 934,,,10,Or,telle,in,prose,somwhat,at,the,leeste
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 934,,,10,u,Sx,u,Su,Su,S,u,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 934,,,10,or@conj,tellen@v%inf,in@prep,prose@n,som-what@pron,at@prep,the@def_art,leste@adj1#n%sup
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 934,,,10,Or,telle,in,prose,somwhat,at,the,leste
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 934,,,10,u,Sx,u,Su,Su,S,u,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 934,,,10,or@conj,tellen@v%inf,in@prep,prose@n,som-what@pron,at@prep,the@def_art,leste@adj1#n%sup

"In which ther be som murthe or som doctryne.""",||,In which ther be som mirthe or som doctrine.&apos;
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 935,DIFF,,10,In,which,ther,be,som,murthe,or,som,doctryne
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 935,DIFF,,10,u,S,u,S,u,Sx,u,S,uSx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 935,DIFF,,10,in@prep,which@pron,ther@adv,ben@v%pr_3,som@gram_adj,mirthe@n,or@conj,som@gram_adj,doctrine@n
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 935,DIFF,,0,In,which,ther,be,som,mirthe,or,som,doctrineapos
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 935,DIFF,,0,,,,,,,,,
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 935,DIFF,,0,in@prep,which@pron,ther@adv,ben@v%pr_3,som@gram_adj,mirthe@n,or@conj,som@gram_adj,

"""Gladly,"" quod I, ""by Goddes sweete pyne!",||,"¶“Gladly,” quod I, “by Goddes swete pine,°"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 936,,,10,Gladly,quod,I,by,Goddes,sweete,pyne
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 936,,,10,uS,u,S,u,Su,Su,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 936,,,10,gladli@adv,quethen@v%pt_1,ich@pron%nom,bi@prep,god@n1#propn%gen,swete@adj,pine@n1
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 936,,,10,Gladly,quod,I,by,Goddes,swete,pine
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 936,,,10,uS,u,S,u,Su,Su,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 936,,,10,gladli@adv,quethen@v%pt_1,ich@pron%nom,bi@prep,god@n1#propn%gen,swete@adj,pine@n1

I wol yow telle a litel thyng in prose,||,"I wol yow telle a litel thing in prose,"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 937,,,10,I,wol,yow,telle,a,litel,thyng,in,prose
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 937,,,10,u,S,u,Sx,u,Su,S,u,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 937,,,10,ich@pron%nom,willen@v%pr_1,you@pron%pl_obj,tellen@v%inf,a@indef_art,litel@adj,thing@n,in@prep,prose@n
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 937,,,10,I,wol,yow,telle,a,litel,thing,in,prose
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 937,,,10,u,S,u,Sx,u,Su,S,u,Sx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 937,,,10,ich@pron%nom,willen@v%pr_1,you@pron%pl_obj,tellen@v%inf,a@indef_art,litel@adj,thing@n,in@prep,prose@n

"That oghte liken yow, as I suppose,",||,"That oghte like yow,° as I suppose,"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 938,DIFF,,10,That,oghte,liken,yow,as,I,suppose
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 938,DIFF,,10,u,Su,Su,S,u,S,uSx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 938,DIFF,,10,that@pron,ouen@v%pt_3,liken@v1%inf,you@pron%pl_obj,as@conj,ich@pron%nom,supposen@v%pr_1
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 938,DIFF,,10,That,oghte,like,yow,as,I,suppose
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 938,DIFF,,10,u,Su,Su,S,u,S,uSx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 938,DIFF,,10,that@pron,ouen@v%pt_3,,you@pron%pl_obj,as@conj,you@pron%pl_obj,supposen@v%pr_1

"Or elles, certes, ye been to daungerous.",||,"Or elles, certes, ye been to daungerous.°"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 939,,,10,Or,elles,certes,ye,been,to,daungerous
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 939,,,10,u,Su,Su,S,u,S,uxS
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 939,,,10,or@conj,elles@adv,certes@adv,ye@pron%pl_nom,ben@v%pr_pl,to@adv2,daungerous@adj
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 939,,,10,Or,elles,certes,ye,been,to,daungerous
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 939,,,10,u,Su,Su,S,u,S,uxS
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 939,,,10,or@conj,elles@adv,certes@adv,ye@pron%pl_nom,ben@v%pr_pl,to@adv2,daungerous@adj

"It is a moral tale vertuous,",||,"It is a moral tale vertuous,"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 940,,,10,It,is,a,moral,tale,vertuous
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 940,,,10,u,S,u,Su,Su,SuS
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 940,,,10,hit@pron,ben@v%pr_3,a@indef_art,moral@adj,tale@n,vertuous@adj
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 940,,,10,It,is,a,moral,tale,vertuous
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 940,,,10,u,S,u,Su,Su,SuS
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 940,,,10,hit@pron,ben@v%pr_3,a@indef_art,moral@adj,tale@n,vertuous@adj

Al be it told somtyme in sondry wyse,||,Al be it° told somtime in sondry wise°
