headword,word,tag,line_number,filename,context,text_type,source_file
ben,be,v%pr_3,The Shipman's Tale 147,data/riverside_cats/ShipT_riv.cat,With myn housbonde al be he youre cosyn,RIVERSIDE,ShipT_gui_complete.csv
ben,were,v%pt_3,The Shipman's Tale 159,data/riverside_cats/ShipT_riv.cat,Ful lief were me this conseil for to hyde,RIVERSIDE,ShipT_gui_complete.csv
hiden,hyde,v%inf,The Shipman's Tale 159,data/riverside_cats/ShipT_riv.cat,Ful lief were me this conseil for to hyde,RIVERSIDE,ShipT_gui_complete.csv
mouen,may,v%pr_1,The Shipman's Tale 160,data/riverside_cats/ShipT_riv.cat,But out it moot I may namoore abyde,RIVERSIDE,ShipT_gui_complete.csv
abiden,abyde,v%inf,The Shipman's Tale 160,data/riverside_cats/ShipT_riv.cat,But out it moot I may namoore abyde,RIVERSIDE,ShipT_gui_complete.csv
understonden,understonde,v%inf,The Shipman's Tale 168,data/riverside_cats/ShipT_riv.cat,But al honour as I kan understonde,RIVERSIDE,ShipT_gui_complete.csv
helpen,helpe,v%pr_3,The Shipman's Tale 170,data/riverside_cats/ShipT_riv.cat,As helpe me God he is noght worth at al,RIVERSIDE,ShipT_gui_complete.csv
witen,woot,v%pr_pl,The Shipman's Tale 173,data/riverside_cats/ShipT_riv.cat,And wel ye woot that wommen naturelly,RIVERSIDE,ShipT_gui_complete.csv
willen,wolde,v%pt_pl,The Shipman's Tale 175,data/riverside_cats/ShipT_riv.cat,They wolde that hir housbondes sholde be,RIVERSIDE,ShipT_gui_complete.csv
shulen,sholde,v%pt_pl,The Shipman's Tale 175,data/riverside_cats/ShipT_riv.cat,They wolde that hir housbondes sholde be,RIVERSIDE,ShipT_gui_complete.csv
ben,am,v%pr_1,The Shipman's Tale 181,data/riverside_cats/ShipT_riv.cat,An hundred frankes or ellis I am lorn,RIVERSIDE,ShipT_gui_complete.csv
lesen,lorn,v%ppl,The Shipman's Tale 181,data/riverside_cats/ShipT_riv.cat,An hundred frankes or ellis I am lorn,RIVERSIDE,ShipT_gui_complete.csv
ben,were,v%pt_3,The Shipman's Tale 182,data/riverside_cats/ShipT_riv.cat,Yet were me levere that I were unborn,RIVERSIDE,ShipT_gui_complete.csv
ben,were,v%pt_3,The Shipman's Tale 183,data/riverside_cats/ShipT_riv.cat,Than me were doon a sclaundre or vileynye,RIVERSIDE,ShipT_gui_complete.csv
lenen,lene,v%imp,The Shipman's Tale 186,data/riverside_cats/ShipT_riv.cat,Lene me this somme or ellis moot I deye,RIVERSIDE,ShipT_gui_complete.csv
lenen,lene,v%imp,The Shipman's Tale 187,data/riverside_cats/ShipT_riv.cat,Daun John I seye lene me thise hundred frankes,RIVERSIDE,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 188,data/riverside_cats/ShipT_riv.cat,Pardee I wol nat faille yow my thankes,RIVERSIDE,ShipT_gui_complete.csv
don,doon,v%inf,The Shipman's Tale 189,data/riverside_cats/ShipT_riv.cat,If that yow list to doon that I yow praye,RIVERSIDE,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 190,data/riverside_cats/ShipT_riv.cat,For at a certeyn day I wol yow paye,RIVERSIDE,ShipT_gui_complete.csv
don,doon,v%inf,The Shipman's Tale 191,data/riverside_cats/ShipT_riv.cat,And doon to yow what plesance and service,RIVERSIDE,ShipT_gui_complete.csv
mouen,may,v%pr_1,The Shipman's Tale 192,data/riverside_cats/ShipT_riv.cat,That I may doon right as yow list devise,RIVERSIDE,ShipT_gui_complete.csv
don,doon,v%inf,The Shipman's Tale 192,data/riverside_cats/ShipT_riv.cat,That I may doon right as yow list devise,RIVERSIDE,ShipT_gui_complete.csv
don,do,v%pr_1,The Shipman's Tale 193,data/riverside_cats/ShipT_riv.cat,And but I do God take on me vengeance,RIVERSIDE,ShipT_gui_complete.csv
plighten,plighte,v%pr_1,The Shipman's Tale 198,data/riverside_cats/ShipT_riv.cat,That I yow swere and plighte yow my trouthe,RIVERSIDE,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 200,data/riverside_cats/ShipT_riv.cat,I wol delyvere yow out of this care,RIVERSIDE,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 201,data/riverside_cats/ShipT_riv.cat,For I wol brynge yow an hundred frankes,RIVERSIDE,ShipT_gui_complete.csv
mouen,may,v%pr_pl,The Shipman's Tale 205,data/riverside_cats/ShipT_riv.cat,And lat us dyne as soone as that ye may,RIVERSIDE,ShipT_gui_complete.csv
shulen,shal,v%pr_1,The Shipman's Tale 207,data/riverside_cats/ShipT_riv.cat,Gooth now and beeth as trewe as I shal be,RIVERSIDE,ShipT_gui_complete.csv
forbeden,forbede,v%pr_3,The Shipman's Tale 208,data/riverside_cats/ShipT_riv.cat,Now elles God forbede sire quod she,RIVERSIDE,ShipT_gui_complete.csv
shulen,sholde,v%pt_pl,The Shipman's Tale 210,data/riverside_cats/ShipT_riv.cat,And bad the cookes that they sholde hem hye,RIVERSIDE,ShipT_gui_complete.csv
mouen,myghte,v%pt_pl,The Shipman's Tale 211,data/riverside_cats/ShipT_riv.cat,So that men myghte dyne and that anon,RIVERSIDE,ShipT_gui_complete.csv
willen,wol,v%pr_pl,The Shipman's Tale 215,data/riverside_cats/ShipT_riv.cat,Quod she What sire how longe wol ye faste,RIVERSIDE,ShipT_gui_complete.csv
fasten,faste,v%inf,The Shipman's Tale 215,data/riverside_cats/ShipT_riv.cat,Quod she What sire how longe wol ye faste,RIVERSIDE,ShipT_gui_complete.csv
willen,wol,v%pr_pl,The Shipman's Tale 216,data/riverside_cats/ShipT_riv.cat,How longe tyme wol ye rekene and caste,RIVERSIDE,ShipT_gui_complete.csv
casten,caste,v%inf,The Shipman's Tale 216,data/riverside_cats/ShipT_riv.cat,How longe tyme wol ye rekene and caste,RIVERSIDE,ShipT_gui_complete.csv
haven,have,v%pr_3,The Shipman's Tale 218,data/riverside_cats/ShipT_riv.cat,The devel have part on alle swiche rekenynges,RIVERSIDE,ShipT_gui_complete.csv
stonden,stonde,v%inf,The Shipman's Tale 220,data/riverside_cats/ShipT_riv.cat,Com doun today and lat youre bagges stonde,RIVERSIDE,ShipT_gui_complete.csv
gon,goon,v%inf,The Shipman's Tale 222,data/riverside_cats/ShipT_riv.cat,Shal fasting al this day alenge goon,RIVERSIDE,ShipT_gui_complete.csv
gon,go,v%pr_pl,The Shipman's Tale 223,data/riverside_cats/ShipT_riv.cat,What lat us heere a messe and go we dyne,RIVERSIDE,ShipT_gui_complete.csv
saven,save,v%pr_3,The Shipman's Tale 226,data/riverside_cats/ShipT_riv.cat,For of us chapmen also God me save,RIVERSIDE,ShipT_gui_complete.csv
shulen,shul,v%pr_pl,The Shipman's Tale 228,data/riverside_cats/ShipT_riv.cat,Scarsly amonges twelve tweye shul thryve,RIVERSIDE,ShipT_gui_complete.csv
mouen,may,v%pr_pl,The Shipman's Tale 230,data/riverside_cats/ShipT_riv.cat,We may wel make chiere and good visage,RIVERSIDE,ShipT_gui_complete.csv
moten,moote,v%pr_pl,The Shipman's Tale 237,data/riverside_cats/ShipT_riv.cat,For everemoore we moote stonde in drede,RIVERSIDE,ShipT_gui_complete.csv
mouen,may,v%pr_1,The Shipman's Tale 240,data/riverside_cats/ShipT_riv.cat,And come agayn as soone as evere I may,RIVERSIDE,ShipT_gui_complete.csv
ben,be,v%imp,The Shipman's Tale 242,data/riverside_cats/ShipT_riv.cat,As be to every wight buxom and meke,RIVERSIDE,ShipT_gui_complete.csv
ben,be,v%imp,The Shipman's Tale 243,data/riverside_cats/ShipT_riv.cat,And for to kepe oure good be curious,RIVERSIDE,ShipT_gui_complete.csv
governen,governe,v%imp,The Shipman's Tale 244,data/riverside_cats/ShipT_riv.cat,And honestly governe wel oure hous,RIVERSIDE,ShipT_gui_complete.csv
letten,lette,v%inf,The Shipman's Tale 250,data/riverside_cats/ShipT_riv.cat,And doun he gooth no lenger wolde he lette,RIVERSIDE,ShipT_gui_complete.csv
speden,spedde,v%pt_pl,The Shipman's Tale 253,data/riverside_cats/ShipT_riv.cat,And to the dyner faste they hem spedde,RIVERSIDE,ShipT_gui_complete.csv
willen,wol,v%pr_pl,The Shipman's Tale 258,data/riverside_cats/ShipT_riv.cat,That wel I se to Brugges wol ye go,RIVERSIDE,ShipT_gui_complete.csv
speden,spede,v%pr_3,The Shipman's Tale 259,data/riverside_cats/ShipT_riv.cat,God and Seint Austyn spede yow and gyde,RIVERSIDE,ShipT_gui_complete.csv
giden,gyde,v%pr_3,The Shipman's Tale 259,data/riverside_cats/ShipT_riv.cat,God and Seint Austyn spede yow and gyde,RIVERSIDE,ShipT_gui_complete.csv
preien,prey,v%pr_1,The Shipman's Tale 260,data/riverside_cats/ShipT_riv.cat,I prey yow cosyn wisely that ye ryde,RIVERSIDE,ShipT_gui_complete.csv
riden,ryde,v%pr_pl,The Shipman's Tale 260,data/riverside_cats/ShipT_riv.cat,I prey yow cosyn wisely that ye ryde,RIVERSIDE,ShipT_gui_complete.csv
shelden,shilde,v%pr_3,The Shipman's Tale 264,data/riverside_cats/ShipT_riv.cat,Farewel cosyn God shilde yow fro care,RIVERSIDE,ShipT_gui_complete.csv
willen,wol,v%pr_pl,The Shipman's Tale 267,data/riverside_cats/ShipT_riv.cat,That ye me wol comande in any wyse,RIVERSIDE,ShipT_gui_complete.csv
don,doon,v%ppl,The Shipman's Tale 268,data/riverside_cats/ShipT_riv.cat,It shal be doon right as ye wol devyse,RIVERSIDE,ShipT_gui_complete.csv
willen,wol,v%pr_pl,The Shipman's Tale 268,data/riverside_cats/ShipT_riv.cat,It shal be doon right as ye wol devyse,RIVERSIDE,ShipT_gui_complete.csv
preien,prey,v%inf,The Shipman's Tale 270,data/riverside_cats/ShipT_riv.cat,I wolde prey yow for to lene me,RIVERSIDE,ShipT_gui_complete.csv
helpen,helpe,v%pr_3,The Shipman's Tale 274,data/riverside_cats/ShipT_riv.cat,God helpe me so I wolde it were youres,RIVERSIDE,ShipT_gui_complete.csv
ben,were,v%pt_3,The Shipman's Tale 274,data/riverside_cats/ShipT_riv.cat,God helpe me so I wolde it were youres,RIVERSIDE,ShipT_gui_complete.csv
shulen,shal,v%pr_1,The Shipman's Tale 275,data/riverside_cats/ShipT_riv.cat,I shal nat faille surely of my day,RIVERSIDE,ShipT_gui_complete.csv
faren,fare,v%imp,The Shipman's Tale 279,data/riverside_cats/ShipT_riv.cat,And fare now wel myn owene cosyn deere,RIVERSIDE,ShipT_gui_complete.csv
taken,take,v%imp,The Shipman's Tale 286,data/riverside_cats/ShipT_riv.cat,Take what yow list God shilde that ye spare,RIVERSIDE,ShipT_gui_complete.csv
shelden,shilde,v%pr_3,The Shipman's Tale 286,data/riverside_cats/ShipT_riv.cat,Take what yow list God shilde that ye spare,RIVERSIDE,ShipT_gui_complete.csv
mouen,may,v%pr_pl,The Shipman's Tale 289,data/riverside_cats/ShipT_riv.cat,We may creaunce whil we have a name,RIVERSIDE,ShipT_gui_complete.csv
leten,lete,v%pr_1,The Shipman's Tale 306,data/riverside_cats/ShipT_riv.cat,He let his lyf and there I lete hym dwelle,RIVERSIDE,ShipT_gui_complete.csv
gon,gon,v%inf,The Shipman's Tale 313,data/riverside_cats/ShipT_riv.cat,And shortly to the point right for to gon,RIVERSIDE,ShipT_gui_complete.csv
leden,lede,v%pr_pl,The Shipman's Tale 318,data/riverside_cats/ShipT_riv.cat,In myrthe al nyght a bisy lyf they lede,RIVERSIDE,ShipT_gui_complete.csv
haven,have,v%imp,The Shipman's Tale 320,data/riverside_cats/ShipT_riv.cat,And bad the meynee Farewel have good day,RIVERSIDE,ShipT_gui_complete.csv
gon,gon,v%ppl,The Shipman's Tale 332,data/riverside_cats/ShipT_riv.cat,For which this marchant is to Parys gon,RIVERSIDE,ShipT_gui_complete.csv
don,doon,v%pr_pl,The Shipman's Tale 341,data/riverside_cats/ShipT_riv.cat,As freendes doon whan they been met yfeere,RIVERSIDE,ShipT_gui_complete.csv
ben,be,v%pr_3,The Shipman's Tale 345,data/riverside_cats/ShipT_riv.cat,Thanked be God al hool his marchandise,RIVERSIDE,ShipT_gui_complete.csv
ben,am,v%pr_1,The Shipman's Tale 349,data/riverside_cats/ShipT_riv.cat,Daun John answerde Certes I am fayn,RIVERSIDE,ShipT_gui_complete.csv
ben,ar,v%pr_pl,The Shipman's Tale 350,data/riverside_cats/ShipT_riv.cat,That ye in heele ar comen hom agayn,RIVERSIDE,ShipT_gui_complete.csv
ben,were,v%pt_1,The Shipman's Tale 351,data/riverside_cats/ShipT_riv.cat,And if that I were riche as have I blisse,RIVERSIDE,ShipT_gui_complete.csv
shulen,sholde,v%pt_pl,The Shipman's Tale 352,data/riverside_cats/ShipT_riv.cat,Of twenty thousand sheeld sholde ye nat mysse,RIVERSIDE,ShipT_gui_complete.csv
lenen,lente,v%pt_pl,The Shipman's Tale 354,data/riverside_cats/ShipT_riv.cat,Lente me gold and as I kan and may,RIVERSIDE,ShipT_gui_complete.csv
mouen,may,v%pr_1,The Shipman's Tale 354,data/riverside_cats/ShipT_riv.cat,Lente me gold and as I kan and may,RIVERSIDE,ShipT_gui_complete.csv
mouen,may,v%pr_1,The Shipman's Tale 360,data/riverside_cats/ShipT_riv.cat,Now by youre leve I may no lenger dwelle,RIVERSIDE,ShipT_gui_complete.csv
gon,goon,v%inf,The Shipman's Tale 362,data/riverside_cats/ShipT_riv.cat,And in his compaignye moot I goon,RIVERSIDE,ShipT_gui_complete.csv
greten,grete,v%imp,The Shipman's Tale 363,data/riverside_cats/ShipT_riv.cat,Grete wel oure dame myn owene nece sweete,RIVERSIDE,ShipT_gui_complete.csv
faren,fare,v%imp,The Shipman's Tale 364,data/riverside_cats/ShipT_riv.cat,And fare wel deere cosyn til we meete,RIVERSIDE,ShipT_gui_complete.csv
meten,meete,v%pr_pl,The Shipman's Tale 364,data/riverside_cats/ShipT_riv.cat,And fare wel deere cosyn til we meete,RIVERSIDE,ShipT_gui_complete.csv
bisetten,bisette,v%pt_pl,The Shipman's Tale 375,data/riverside_cats/ShipT_riv.cat,And al that nyght in myrthe they bisette,RIVERSIDE,ShipT_gui_complete.csv
ben,be,v%pr_3,The Shipman's Tale 384,data/riverside_cats/ShipT_riv.cat,With yow my wyf although it be me looth,RIVERSIDE,ShipT_gui_complete.csv
witen,woot,v%pr_pl,The Shipman's Tale 385,data/riverside_cats/ShipT_riv.cat,And woot ye why By God as that I gesse,RIVERSIDE,ShipT_gui_complete.csv
haven,han,v%pr_pl,The Shipman's Tale 386,data/riverside_cats/ShipT_riv.cat,That ye han maad a manere straungenesse,RIVERSIDE,ShipT_gui_complete.csv
haven,han,v%inf,The Shipman's Tale 388,data/riverside_cats/ShipT_riv.cat,Ye sholde han warned me er I had gon,RIVERSIDE,ShipT_gui_complete.csv
gon,gon,v%ppl,The Shipman's Tale 388,data/riverside_cats/ShipT_riv.cat,Ye sholde han warned me er I had gon,RIVERSIDE,ShipT_gui_complete.csv
preien,prey,v%pr_1,The Shipman's Tale 395,data/riverside_cats/ShipT_riv.cat,I prey thee wyf ne do namoore so,RIVERSIDE,ShipT_gui_complete.csv
tellen,telle,v%imp,The Shipman's Tale 396,data/riverside_cats/ShipT_riv.cat,Telle me alwey er that I fro thee go,RIVERSIDE,ShipT_gui_complete.csv
gon,go,v%pr_1,The Shipman's Tale 396,data/riverside_cats/ShipT_riv.cat,Telle me alwey er that I fro thee go,RIVERSIDE,ShipT_gui_complete.csv
don,doon,v%inf,The Shipman's Tale 408,data/riverside_cats/ShipT_riv.cat,To doon therwith myn honour and my prow,RIVERSIDE,ShipT_gui_complete.csv
haven,han,v%pr_pl,The Shipman's Tale 413,data/riverside_cats/ShipT_riv.cat,Ye han mo slakkere dettours than am I,RIVERSIDE,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 414,data/riverside_cats/ShipT_riv.cat,For I wol paye yow wel and redily,RIVERSIDE,ShipT_gui_complete.csv
ben,am,v%pr_1,The Shipman's Tale 416,data/riverside_cats/ShipT_riv.cat,I am youre wyf score it upon my taille,RIVERSIDE,ShipT_gui_complete.csv
shulen,shal,v%pr_1,The Shipman's Tale 417,data/riverside_cats/ShipT_riv.cat,And I shal paye as soone as ever I may,RIVERSIDE,ShipT_gui_complete.csv
mouen,may,v%pr_1,The Shipman's Tale 417,data/riverside_cats/ShipT_riv.cat,And I shal paye as soone as ever I may,RIVERSIDE,ShipT_gui_complete.csv
ben,be,v%imp,The Shipman's Tale 422,data/riverside_cats/ShipT_riv.cat,As be nat wrooth but lat us laughe and pleye,RIVERSIDE,ShipT_gui_complete.csv
shulen,shal,v%pr_pl,The Shipman's Tale 423,data/riverside_cats/ShipT_riv.cat,Ye shal my joly body have to wedde,RIVERSIDE,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 424,data/riverside_cats/ShipT_riv.cat,By God I wol nat paye yow but abedde,RIVERSIDE,ShipT_gui_complete.csv
turnen,turne,v%imp,The Shipman's Tale 426,data/riverside_cats/ShipT_riv.cat,Turne hiderward and maketh bettre cheere,RIVERSIDE,ShipT_gui_complete.csv
ben,be,v%imp,The Shipman's Tale 431,data/riverside_cats/ShipT_riv.cat,But by thy lyf ne be namoore so large,RIVERSIDE,ShipT_gui_complete.csv
senden,sende,v%pr_3,The Shipman's Tale 433,data/riverside_cats/ShipT_riv.cat,Thus endeth my tale and God us sende,RIVERSIDE,ShipT_gui_complete.csv
reden,rede,v%pr_1,The Wife of Bath's Tale 862,data/riverside_cats/WBT_riv.cat,This was the olde opinion as I rede,RIVERSIDE,WBT_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Tale 878,data/riverside_cats/WBT_riv.cat,Wommen may go saufly up and doun,RIVERSIDE,WBT_gui_complete.csv
don,doon,v%inf,The Wife of Bath's Tale 881,data/riverside_cats/WBT_riv.cat,And he ne wol doon hem but dishonour,RIVERSIDE,WBT_gui_complete.csv
beren,born,v%ppl,The Wife of Bath's Tale 885,data/riverside_cats/WBT_riv.cat,And happed that allone as he was born,RIVERSIDE,WBT_gui_complete.csv
haven,han,v%inf,The Wife of Bath's Tale 892,data/riverside_cats/WBT_riv.cat,By cours of lawe and sholde han lost his heed,RIVERSIDE,WBT_gui_complete.csv
graunten,grante,v%pr_1,The Wife of Bath's Tale 904,data/riverside_cats/WBT_riv.cat,I grante thee lyf if thou kanst tellen me,RIVERSIDE,WBT_gui_complete.csv
ben,be,v%imp,The Wife of Bath's Tale 906,data/riverside_cats/WBT_riv.cat,Be war and keep thy nekkeboon from iren,RIVERSIDE,WBT_gui_complete.csv
gon,gon,v%inf,The Wife of Bath's Tale 908,data/riverside_cats/WBT_riv.cat,Yet wol I yeve thee leve for to gon,RIVERSIDE,WBT_gui_complete.csv
passen,pace,v%pr_2,The Wife of Bath's Tale 911,data/riverside_cats/WBT_riv.cat,And suretee wol I han er that thou pace,RIVERSIDE,WBT_gui_complete.csv
wenden,wende,v%inf,The Wife of Bath's Tale 915,data/riverside_cats/WBT_riv.cat,And at the laste he chees hym for to wende,RIVERSIDE,WBT_gui_complete.csv
finden,fynde,v%inf,The Wife of Bath's Tale 920,data/riverside_cats/WBT_riv.cat,Where as he hopeth for to fynde grace,RIVERSIDE,WBT_gui_complete.csv
seien,seyde,v%pt_pl,The Wife of Bath's Tale 925,data/riverside_cats/WBT_riv.cat,Somme seyde wommen loven best richesse,RIVERSIDE,WBT_gui_complete.csv
seien,seyde,v%pt_pl,The Wife of Bath's Tale 926,data/riverside_cats/WBT_riv.cat,Somme seyde honour somme seyde jolynesse,RIVERSIDE,WBT_gui_complete.csv
seien,seyde,v%pt_pl,The Wife of Bath's Tale 926,data/riverside_cats/WBT_riv.cat,Somme seyde honour somme seyde jolynesse,RIVERSIDE,WBT_gui_complete.csv
wedden,wedde,v%ppl,The Wife of Bath's Tale 928,data/riverside_cats/WBT_riv.cat,And oftetyme to be wydwe and wedde,RIVERSIDE,WBT_gui_complete.csv
seien,seyde,v%pt_pl,The Wife of Bath's Tale 929,data/riverside_cats/WBT_riv.cat,Somme seyde that oure hertes been moost esed,RIVERSIDE,WBT_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Tale 931,data/riverside_cats/WBT_riv.cat,He gooth ful ny the sothe I wol nat lye,RIVERSIDE,WBT_gui_complete.csv
shulen,shal,v%pr_1,The Wife of Bath's Tale 932,data/riverside_cats/WBT_riv.cat,A man shal wynne us best with flaterye,RIVERSIDE,WBT_gui_complete.csv
seien,seye,v%pr_3,The Wife of Bath's Tale 938,data/riverside_cats/WBT_riv.cat,But seye that we be wise and no thyng nyce,RIVERSIDE,WBT_gui_complete.csv
willen,wol,v%pr_pl,The Wife of Bath's Tale 944,data/riverside_cats/WBT_riv.cat,We wol been holden wise and clene of synne,RIVERSIDE,WBT_gui_complete.csv
seien,seyn,v%pr_pl,The Wife of Bath's Tale 945,data/riverside_cats/WBT_riv.cat,And somme seyn that greet delit han we,RIVERSIDE,WBT_gui_complete.csv
haven,han,v%pr_pl,The Wife of Bath's Tale 945,data/riverside_cats/WBT_riv.cat,And somme seyn that greet delit han we,RIVERSIDE,WBT_gui_complete.csv
haven,han,v%inf,The Wife of Bath's Tale 963,data/riverside_cats/WBT_riv.cat,To make hir housbonde han so foul a name,RIVERSIDE,WBT_gui_complete.csv
hiden,hyde,v%inf,The Wife of Bath's Tale 966,data/riverside_cats/WBT_riv.cat,That she so longe sholde a conseil hyde,RIVERSIDE,WBT_gui_complete.csv
asterten,asterte,v%inf,The Wife of Bath's Tale 968,data/riverside_cats/WBT_riv.cat,That nedely som word hire moste asterte,RIVERSIDE,WBT_gui_complete.csv
biwreien,biwreye,v%imp,The Wife of Bath's Tale 974,data/riverside_cats/WBT_riv.cat,Biwreye me nat thou water with thy soun,RIVERSIDE,WBT_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Tale 979,data/riverside_cats/WBT_riv.cat,Heere may ye se thogh we a tyme abyde,RIVERSIDE,WBT_gui_complete.csv
abiden,abyde,v%pr_pl,The Wife of Bath's Tale 979,data/riverside_cats/WBT_riv.cat,Heere may ye se thogh we a tyme abyde,RIVERSIDE,WBT_gui_complete.csv
connen,kan,v%pr_pl,The Wife of Bath's Tale 980,data/riverside_cats/WBT_riv.cat,Yet out it moot we kan no conseil hyde,RIVERSIDE,WBT_gui_complete.csv
hiden,hyde,v%inf,The Wife of Bath's Tale 980,data/riverside_cats/WBT_riv.cat,Yet out it moot we kan no conseil hyde,RIVERSIDE,WBT_gui_complete.csv
willen,wol,v%pr_pl,The Wife of Bath's Tale 981,data/riverside_cats/WBT_riv.cat,The remenant of the tale if ye wol heere,RIVERSIDE,WBT_gui_complete.csv
riden,ryde,v%inf,The Wife of Bath's Tale 989,data/riverside_cats/WBT_riv.cat,And in his wey it happed hym to ryde,RIVERSIDE,WBT_gui_complete.csv
connen,kan,v%pr_1,The Wife of Bath's Tale 1006,data/riverside_cats/WBT_riv.cat,I nam but deed but if that I kan seyn,RIVERSIDE,WBT_gui_complete.csv
seien,seyn,v%inf,The Wife of Bath's Tale 1006,data/riverside_cats/WBT_riv.cat,I nam but deed but if that I kan seyn,RIVERSIDE,WBT_gui_complete.csv
connen,koude,v%pt_pl,The Wife of Bath's Tale 1008,data/riverside_cats/WBT_riv.cat,Koude ye me wisse I wolde wel quite youre hire,RIVERSIDE,WBT_gui_complete.csv
quiten,quite,v%inf,The Wife of Bath's Tale 1008,data/riverside_cats/WBT_riv.cat,Koude ye me wisse I wolde wel quite youre hire,RIVERSIDE,WBT_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Tale 1012,data/riverside_cats/WBT_riv.cat,And I wol telle it yow er it be nyght,RIVERSIDE,WBT_gui_complete.csv
ben,be,v%pr_3,The Wife of Bath's Tale 1012,data/riverside_cats/WBT_riv.cat,And I wol telle it yow er it be nyght,RIVERSIDE,WBT_gui_complete.csv
haven,have,v%imp,The Wife of Bath's Tale 1013,data/riverside_cats/WBT_riv.cat,Have heer my trouthe quod the knyght I grante,RIVERSIDE,WBT_gui_complete.csv
graunten,grante,v%pr_1,The Wife of Bath's Tale 1013,data/riverside_cats/WBT_riv.cat,Have heer my trouthe quod the knyght I grante,RIVERSIDE,WBT_gui_complete.csv
durren,dar,v%pr_1,The Wife of Bath's Tale 1014,data/riverside_cats/WBT_riv.cat,Thanne quod she I dar me wel avante,RIVERSIDE,WBT_gui_complete.csv
avaunten,avante,v%inf,The Wife of Bath's Tale 1014,data/riverside_cats/WBT_riv.cat,Thanne quod she I dar me wel avante,RIVERSIDE,WBT_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Tale 1015,data/riverside_cats/WBT_riv.cat,Thy lyf is sauf for I wol stonde therby,RIVERSIDE,WBT_gui_complete.csv
stonden,stonde,v%inf,The Wife of Bath's Tale 1015,data/riverside_cats/WBT_riv.cat,Thy lyf is sauf for I wol stonde therby,RIVERSIDE,WBT_gui_complete.csv
shulen,shal,v%pr_1,The Wife of Bath's Tale 1019,data/riverside_cats/WBT_riv.cat,That dar seye nay of that I shal thee teche,RIVERSIDE,WBT_gui_complete.csv
ben,am,v%pr_1,The Wife of Bath's Tale 1042,data/riverside_cats/WBT_riv.cat,Dooth as yow list I am heer at youre wille,RIVERSIDE,WBT_gui_complete.csv
contrarien,contraried,v%pt_pl,The Wife of Bath's Tale 1044,data/riverside_cats/WBT_riv.cat,Ne wydwe that contraried that he sayde,RIVERSIDE,WBT_gui_complete.csv
