source_file,exception_count,headword,word,tag,line_number,filename,context,text_type
ShipT_gui_complete.csv,59,willen,wol,v%pr_pl,The Shipman's Tale 258,data/riverside_cats/ShipT_riv.cat,That wel I se to Brugges wol ye go,RIVERSIDE
ShipT_gui_complete.csv,59,preien,prey,v%pr_1,The Shipman's Tale 260,data/riverside_cats/ShipT_riv.cat,I prey yow cosyn wisely that ye ryde,RIVERSIDE
ShipT_gui_complete.csv,59,willen,wol,v%pr_pl,The Shipman's Tale 267,data/riverside_cats/ShipT_riv.cat,That ye me wol comande in any wyse,RIVERSIDE
ShipT_gui_complete.csv,59,willen,wol,v%pr_pl,The Shipman's Tale 268,data/riverside_cats/ShipT_riv.cat,It shal be doon right as ye wol devyse,RIVERSIDE
ShipT_gui_complete.csv,59,preien,prey,v%inf,The Shipman's Tale 270,data/riverside_cats/ShipT_riv.cat,I wolde prey yow for to lene me,RIVERSIDE
ShipT_gui_complete.csv,59,shulen,shal,v%pr_1,The Shipman's Tale 275,data/riverside_cats/ShipT_riv.cat,I shal nat faille surely of my day,RIVERSIDE
ShipT_gui_complete.csv,59,faren,fare,v%imp,The Shipman's Tale 279,data/riverside_cats/ShipT_riv.cat,And fare now wel myn owene cosyn deere,RIVERSIDE
ShipT_gui_complete.csv,59,taken,take,v%imp,The Shipman's Tale 286,data/riverside_cats/ShipT_riv.cat,Take what yow list God shilde that ye spare,RIVERSIDE
ShipT_gui_complete.csv,59,mouen,may,v%pr_pl,The Shipman's Tale 289,data/riverside_cats/ShipT_riv.cat,We may creaunce whil we have a name,RIVERSIDE
ShipT_gui_complete.csv,59,haven,have,v%imp,The Shipman's Tale 320,data/riverside_cats/ShipT_riv.cat,And bad the meynee Farewel have good day,RIVERSIDE
ShipT_gui_complete.csv,59,don,doon,v%pr_pl,The Shipman's Tale 341,data/riverside_cats/ShipT_riv.cat,As freendes doon whan they been met yfeere,RIVERSIDE
ShipT_gui_complete.csv,59,ben,am,v%pr_1,The Shipman's Tale 349,data/riverside_cats/ShipT_riv.cat,Daun John answerde Certes I am fayn,RIVERSIDE
ShipT_gui_complete.csv,59,ben,ar,v%pr_pl,The Shipman's Tale 350,data/riverside_cats/ShipT_riv.cat,That ye in heele ar comen hom agayn,RIVERSIDE
ShipT_gui_complete.csv,59,mouen,may,v%pr_1,The Shipman's Tale 360,data/riverside_cats/ShipT_riv.cat,Now by youre leve I may no lenger dwelle,RIVERSIDE
ShipT_gui_complete.csv,59,greten,grete,v%imp,The Shipman's Tale 363,data/riverside_cats/ShipT_riv.cat,Grete wel oure dame myn owene nece sweete,RIVERSIDE
ShipT_gui_complete.csv,59,faren,fare,v%imp,The Shipman's Tale 364,data/riverside_cats/ShipT_riv.cat,And fare wel deere cosyn til we meete,RIVERSIDE
ShipT_gui_complete.csv,59,witen,woot,v%pr_pl,The Shipman's Tale 385,data/riverside_cats/ShipT_riv.cat,And woot ye why By God as that I gesse,RIVERSIDE
ShipT_gui_complete.csv,59,haven,han,v%pr_pl,The Shipman's Tale 386,data/riverside_cats/ShipT_riv.cat,That ye han maad a manere straungenesse,RIVERSIDE
ShipT_gui_complete.csv,59,haven,han,v%inf,The Shipman's Tale 388,data/riverside_cats/ShipT_riv.cat,Ye sholde han warned me er I had gon,RIVERSIDE
ShipT_gui_complete.csv,59,preien,prey,v%pr_1,The Shipman's Tale 395,data/riverside_cats/ShipT_riv.cat,I prey thee wyf ne do namoore so,RIVERSIDE
ShipT_gui_complete.csv,59,tellen,telle,v%imp,The Shipman's Tale 396,data/riverside_cats/ShipT_riv.cat,Telle me alwey er that I fro thee go,RIVERSIDE
ShipT_gui_complete.csv,59,don,doon,v%inf,The Shipman's Tale 408,data/riverside_cats/ShipT_riv.cat,To doon therwith myn honour and my prow,RIVERSIDE
ShipT_gui_complete.csv,59,haven,han,v%pr_pl,The Shipman's Tale 413,data/riverside_cats/ShipT_riv.cat,Ye han mo slakkere dettours than am I,RIVERSIDE
ShipT_gui_complete.csv,59,willen,wol,v%pr_1,The Shipman's Tale 414,data/riverside_cats/ShipT_riv.cat,For I wol paye yow wel and redily,RIVERSIDE
ShipT_gui_complete.csv,59,ben,am,v%pr_1,The Shipman's Tale 416,data/riverside_cats/ShipT_riv.cat,I am youre wyf score it upon my taille,RIVERSIDE
ShipT_gui_complete.csv,59,shulen,shal,v%pr_1,The Shipman's Tale 417,data/riverside_cats/ShipT_riv.cat,And I shal paye as soone as ever I may,RIVERSIDE
ShipT_gui_complete.csv,59,ben,be,v%imp,The Shipman's Tale 422,data/riverside_cats/ShipT_riv.cat,As be nat wrooth but lat us laughe and pleye,RIVERSIDE
ShipT_gui_complete.csv,59,shulen,shal,v%pr_pl,The Shipman's Tale 423,data/riverside_cats/ShipT_riv.cat,Ye shal my joly body have to wedde,RIVERSIDE
ShipT_gui_complete.csv,59,willen,wol,v%pr_1,The Shipman's Tale 424,data/riverside_cats/ShipT_riv.cat,By God I wol nat paye yow but abedde,RIVERSIDE
ShipT_gui_complete.csv,59,turnen,turne,v%imp,The Shipman's Tale 426,data/riverside_cats/ShipT_riv.cat,Turne hiderward and maketh bettre cheere,RIVERSIDE
ShipT_gui_complete.csv,59,ben,be,v%imp,The Shipman's Tale 431,data/riverside_cats/ShipT_riv.cat,But by thy lyf ne be namoore so large,RIVERSIDE
WBT_gui_complete.csv,53,mouen,may,v%pr_pl,The Wife of Bath's Tale 878,data/riverside_cats/WBT_riv.cat,Wommen may go saufly up and doun,RIVERSIDE
WBT_gui_complete.csv,53,don,doon,v%inf,The Wife of Bath's Tale 881,data/riverside_cats/WBT_riv.cat,And he ne wol doon hem but dishonour,RIVERSIDE
WBT_gui_complete.csv,53,haven,han,v%inf,The Wife of Bath's Tale 892,data/riverside_cats/WBT_riv.cat,By cours of lawe and sholde han lost his heed,RIVERSIDE
WBT_gui_complete.csv,53,ben,be,v%imp,The Wife of Bath's Tale 906,data/riverside_cats/WBT_riv.cat,Be war and keep thy nekkeboon from iren,RIVERSIDE
WBT_gui_complete.csv,53,willen,wol,v%pr_1,The Wife of Bath's Tale 931,data/riverside_cats/WBT_riv.cat,He gooth ful ny the sothe I wol nat lye,RIVERSIDE
WBT_gui_complete.csv,53,shulen,shal,v%pr_1,The Wife of Bath's Tale 932,data/riverside_cats/WBT_riv.cat,A man shal wynne us best with flaterye,RIVERSIDE
WBT_gui_complete.csv,53,willen,wol,v%pr_pl,The Wife of Bath's Tale 944,data/riverside_cats/WBT_riv.cat,We wol been holden wise and clene of synne,RIVERSIDE
WBT_gui_complete.csv,53,seien,seyn,v%pr_pl,The Wife of Bath's Tale 945,data/riverside_cats/WBT_riv.cat,And somme seyn that greet delit han we,RIVERSIDE
WBT_gui_complete.csv,53,haven,han,v%pr_pl,The Wife of Bath's Tale 945,data/riverside_cats/WBT_riv.cat,And somme seyn that greet delit han we,RIVERSIDE
WBT_gui_complete.csv,53,haven,han,v%inf,The Wife of Bath's Tale 963,data/riverside_cats/WBT_riv.cat,To make hir housbonde han so foul a name,RIVERSIDE
WBT_gui_complete.csv,53,biwreien,biwreye,v%imp,The Wife of Bath's Tale 974,data/riverside_cats/WBT_riv.cat,Biwreye me nat thou water with thy soun,RIVERSIDE
WBT_gui_complete.csv,53,mouen,may,v%pr_pl,The Wife of Bath's Tale 979,data/riverside_cats/WBT_riv.cat,Heere may ye se thogh we a tyme abyde,RIVERSIDE
WBT_gui_complete.csv,53,connen,kan,v%pr_pl,The Wife of Bath's Tale 980,data/riverside_cats/WBT_riv.cat,Yet out it moot we kan no conseil hyde,RIVERSIDE
WBT_gui_complete.csv,53,willen,wol,v%pr_pl,The Wife of Bath's Tale 981,data/riverside_cats/WBT_riv.cat,The remenant of the tale if ye wol heere,RIVERSIDE
WBT_gui_complete.csv,53,connen,kan,v%pr_1,The Wife of Bath's Tale 1006,data/riverside_cats/WBT_riv.cat,I nam but deed but if that I kan seyn,RIVERSIDE
WBT_gui_complete.csv,53,willen,wol,v%pr_1,The Wife of Bath's Tale 1012,data/riverside_cats/WBT_riv.cat,And I wol telle it yow er it be nyght,RIVERSIDE
WBT_gui_complete.csv,53,haven,have,v%imp,The Wife of Bath's Tale 1013,data/riverside_cats/WBT_riv.cat,Have heer my trouthe quod the knyght I grante,RIVERSIDE
WBT_gui_complete.csv,53,durren,dar,v%pr_1,The Wife of Bath's Tale 1014,data/riverside_cats/WBT_riv.cat,Thanne quod she I dar me wel avante,RIVERSIDE
WBT_gui_complete.csv,53,willen,wol,v%pr_1,The Wife of Bath's Tale 1015,data/riverside_cats/WBT_riv.cat,Thy lyf is sauf for I wol stonde therby,RIVERSIDE
WBT_gui_complete.csv,53,shulen,shal,v%pr_1,The Wife of Bath's Tale 1019,data/riverside_cats/WBT_riv.cat,That dar seye nay of that I shal thee teche,RIVERSIDE
WBT_gui_complete.csv,53,ben,am,v%pr_1,The Wife of Bath's Tale 1042,data/riverside_cats/WBT_riv.cat,Dooth as yow list I am heer at youre wille,RIVERSIDE
WBT_gui_complete.csv,53,contrarien,contraried,v%pt_pl,The Wife of Bath's Tale 1044,data/riverside_cats/WBT_riv.cat,Ne wydwe that contraried that he sayde,RIVERSIDE
WBT_gui_complete.csv,53,witen,woot,v%pr_1,The Wife of Bath's Tale 1059,data/riverside_cats/WBT_riv.cat,I woot right wel that swich was my biheste,RIVERSIDE
WBT_gui_complete.csv,53,don,do,v%pr_1,The Wife of Bath's Tale 1074,data/riverside_cats/WBT_riv.cat,That for my necligence I do no cure,RIVERSIDE
WBT_gui_complete.csv,53,ben,am,v%pr_1,The Wife of Bath's Tale 1091,data/riverside_cats/WBT_riv.cat,I am youre owene love and youre wyf,RIVERSIDE
WBT_gui_complete.csv,53,ben,am,v%pr_1,The Wife of Bath's Tale 1092,data/riverside_cats/WBT_riv.cat,I am she which that saved hath youre lyf,RIVERSIDE
WBT_gui_complete.csv,53,loken,looke,v%imp,The Wife of Bath's Tale 1113,data/riverside_cats/WBT_riv.cat,Looke who that is moost vertuous alway,RIVERSIDE
WBT_gui_complete.csv,53,mouen,may,v%pr_pl,The Wife of Bath's Tale 1121,data/riverside_cats/WBT_riv.cat,Yet may they nat biquethe for no thyng,RIVERSIDE
WBT_gui_complete.csv,53,hoten,highte,v%pt_3,The Wife of Bath's Tale 1126,data/riverside_cats/WBT_riv.cat,That highte Dant speken in this sentence,RIVERSIDE
WBT_gui_complete.csv,53,mouen,may,v%pr_pl,The Wife of Bath's Tale 1131,data/riverside_cats/WBT_riv.cat,For of oure eldres may we no thyng clayme,RIVERSIDE
WBT_gui_complete.csv,53,mouen,may,v%pr_pl,The Wife of Bath's Tale 1146,data/riverside_cats/WBT_riv.cat,Heere may ye se wel how that genterye,RIVERSIDE
WBT_gui_complete.csv,53,mouen,may,v%pr_pl,The Wife of Bath's Tale 1150,data/riverside_cats/WBT_riv.cat,For God it woot men may wel often fynde,RIVERSIDE
WBT_gui_complete.csv,53,haven,han,v%inf,The Wife of Bath's Tale 1152,data/riverside_cats/WBT_riv.cat,And he that wole han pris of his gentrye,RIVERSIDE
WBT_gui_complete.csv,53,shulen,shul,v%pr_pl,The Wife of Bath's Tale 1169,data/riverside_cats/WBT_riv.cat,Ther shul ye seen expres that it no drede is,RIVERSIDE
WBT_gui_complete.csv,53,haven,han,v%inf,The Wife of Bath's Tale 1188,data/riverside_cats/WBT_riv.cat,For he wolde han that is nat in his myght,RIVERSIDE
WBT_gui_complete.csv,53,seien,seyn,v%pr_pl,The Wife of Bath's Tale 1210,data/riverside_cats/WBT_riv.cat,Seyn that men sholde an oold wight doon favour,RIVERSIDE
WBT_gui_complete.csv,53,don,doon,v%inf,The Wife of Bath's Tale 1210,data/riverside_cats/WBT_riv.cat,Seyn that men sholde an oold wight doon favour,RIVERSIDE
WBT_gui_complete.csv,53,ben,am,v%pr_1,The Wife of Bath's Tale 1213,data/riverside_cats/WBT_riv.cat,Now ther ye seye that I am foul and old,RIVERSIDE
WBT_gui_complete.csv,53,dreden,drede,v%imp,The Wife of Bath's Tale 1214,data/riverside_cats/WBT_riv.cat,Than drede you noght to been a cokewold,RIVERSIDE
WBT_gui_complete.csv,53,shulen,shal,v%pr_1,The Wife of Bath's Tale 1218,data/riverside_cats/WBT_riv.cat,I shal fulfille youre worldly appetit,RIVERSIDE
WBT_gui_complete.csv,53,chesen,chese,v%imp,The Wife of Bath's Tale 1219,data/riverside_cats/WBT_riv.cat,Chese now quod she oon of thise thynges tweye,RIVERSIDE
WBT_gui_complete.csv,53,haven,han,v%inf,The Wife of Bath's Tale 1220,data/riverside_cats/WBT_riv.cat,To han me foul and old til that I deye,RIVERSIDE
WBT_gui_complete.csv,53,haven,han,v%inf,The Wife of Bath's Tale 1223,data/riverside_cats/WBT_riv.cat,Or elles ye wol han me yong and fair,RIVERSIDE
WBT_gui_complete.csv,53,chesen,chese,v%imp,The Wife of Bath's Tale 1227,data/riverside_cats/WBT_riv.cat,Now chese yourselven wheither that yow liketh,RIVERSIDE
WBT_gui_complete.csv,53,putten,put,v%pr_1,The Wife of Bath's Tale 1231,data/riverside_cats/WBT_riv.cat,I put me in youre wise governance,RIVERSIDE
WBT_gui_complete.csv,53,don,do,v%pr_1,The Wife of Bath's Tale 1234,data/riverside_cats/WBT_riv.cat,I do no fors the wheither of the two,RIVERSIDE
WBT_gui_complete.csv,53,mouen,may,v%pr_1,The Wife of Bath's Tale 1237,data/riverside_cats/WBT_riv.cat,Syn I may chese and governe as me lest,RIVERSIDE
WBT_gui_complete.csv,53,willen,wol,v%pr_1,The Wife of Bath's Tale 1240,data/riverside_cats/WBT_riv.cat,For by my trouthe I wol be to yow bothe,RIVERSIDE
WBT_gui_complete.csv,53,seien,seyn,v%inf,The Wife of Bath's Tale 1241,data/riverside_cats/WBT_riv.cat,This is to seyn ye bothe fair and good,RIVERSIDE
WBT_gui_complete.csv,53,preien,prey,v%pr_1,The Wife of Bath's Tale 1242,data/riverside_cats/WBT_riv.cat,I prey to God that I moote sterven wood,RIVERSIDE
WBT_gui_complete.csv,53,loken,looke,v%imp,The Wife of Bath's Tale 1249,data/riverside_cats/WBT_riv.cat,Cast up the curtyn looke how that it is,RIVERSIDE
WBT_gui_complete.csv,53,don,doon,v%inf,The Wife of Bath's Tale 1256,data/riverside_cats/WBT_riv.cat,That myghte doon hym plesance or likyng,RIVERSIDE
WBT_gui_complete.csv,53,willen,wol,v%pr_pl,The Wife of Bath's Tale 1262,data/riverside_cats/WBT_riv.cat,That noght wol be governed by hir wyves,RIVERSIDE
MerPro_gui_complete.csv,3,durren,dar,v%pr_1,The Merchant's Prologue 1220,data/riverside_cats/MerPro_riv.cat,She wolde hym overmacche I dar wel swere,RIVERSIDE
MerPro_gui_complete.csv,3,assaien,assaye,v%imp,The Merchant's Prologue 1229,data/riverside_cats/MerPro_riv.cat,Assaye whoso wole and he shal fynde,RIVERSIDE
MerPro_gui_complete.csv,3,preien,pray,v%pr_1,The Merchant's Prologue 1242,data/riverside_cats/MerPro_riv.cat,Ful hertely I pray yow telle us part,RIVERSIDE
LGW_gui_complete.csv,142,haven,han,v%inf,100-ch 587,data/riverside_cats/LGW_riverside_reordered.cat,To han the world at hire obesaunce,RIVERSIDE
LGW_gui_complete.csv,142,willen,wol,v%pr_1,100-ch 623,data/riverside_cats/LGW_riverside_reordered.cat,And al the remenaunt I wol lete it slippe,RIVERSIDE
LGW_gui_complete.csv,142,leten,lat,v%pr_1,100-ch 628,data/riverside_cats/LGW_riverside_reordered.cat,To ship they wente and thus I lat hem sayle,RIVERSIDE
LGW_gui_complete.csv,142,willen,wol,v%pr_1,100-ch 629,data/riverside_cats/LGW_riverside_reordered.cat,Antonius was war and wol nat fayle,RIVERSIDE
LGW_gui_complete.csv,142,gon,gon,v%pr_pl,100-ch 649,data/riverside_cats/LGW_riverside_reordered.cat,With pottes ful of lyme they gon togidere,RIVERSIDE
LGW_gui_complete.csv,142,willen,wol,v%pr_pl,100-ch 667,data/riverside_cats/LGW_riverside_reordered.cat,That ye wol deye if that youre love be wroth,RIVERSIDE
LGW_gui_complete.csv,142,mouen,may,v%pr_pl,100-ch 668,data/riverside_cats/LGW_riverside_reordered.cat,Here may ye sen of wemen which a trouthe,RIVERSIDE
LGW_gui_complete.csv,142,willen,wol,v%pr_1,100-ch 694,data/riverside_cats/LGW_riverside_reordered.cat,I wol fulfille and that shal ben wel sene,RIVERSIDE
LGW_gui_complete.csv,142,shulen,shal,v%pr_1,100-ch 743,data/riverside_cats/LGW_riverside_reordered.cat,Ye loveres two if that I shal nat lye,RIVERSIDE
LGW_gui_complete.csv,142,ben,am,v%pr_1,100-ch 836,data/riverside_cats/LGW_riverside_reordered.cat,Whan I am he that have yow slayn allas,RIVERSIDE
LGW_gui_complete.csv,142,gon,gon,v%inf,100-ch 838,data/riverside_cats/LGW_riverside_reordered.cat,Allas to bidde a woman gon by nyghte,RIVERSIDE
LGW_gui_complete.csv,142,willen,wol,v%pr_1,100-ch 860,data/riverside_cats/LGW_riverside_reordered.cat,And thoughte I wol hym tellen of my drede,RIVERSIDE
LGW_gui_complete.csv,142,ben,am,v%pr_1,100-ch 881,data/riverside_cats/LGW_riverside_reordered.cat,I am thy Tisbe that the calleth thus,RIVERSIDE
LGW_gui_complete.csv,142,willen,wol,v%pr_1,100-ch 894,data/riverside_cats/LGW_riverside_reordered.cat,I wol thee folwe ded and I wol be,RIVERSIDE
LGW_gui_complete.csv,142,willen,wol,v%pr_1,100-ch 894,data/riverside_cats/LGW_riverside_reordered.cat,I wol thee folwe ded and I wol be,RIVERSIDE
LGW_gui_complete.csv,142,willen,wol,v%pr_1,100-ch 899,data/riverside_cats/LGW_riverside_reordered.cat,Than fro the deth for I wol go with thee,RIVERSIDE
LGW_gui_complete.csv,142,gon,gon,v%inf,100-ch 966,data/riverside_cats/LGW_riverside_reordered.cat,To gon with hym the cuntre for t espie,RIVERSIDE
LGW_gui_complete.csv,142,sen,saw,v%pt_pl,100-ch 978,data/riverside_cats/LGW_riverside_reordered.cat,Saw ye quod she as ye han walked wyde,RIVERSIDE
LGW_gui_complete.csv,142,haven,han,v%pr_pl,100-ch 978,data/riverside_cats/LGW_riverside_reordered.cat,Saw ye quod she as ye han walked wyde,RIVERSIDE
LGW_gui_complete.csv,142,walken,walked,v%ppl,100-ch 978,data/riverside_cats/LGW_riverside_reordered.cat,Saw ye quod she as ye han walked wyde,RIVERSIDE
LGW_gui_complete.csv,142,haven,han,v%pr_pl,100-ch 981,data/riverside_cats/LGW_riverside_reordered.cat,That they han hunted to in this forest,RIVERSIDE
LGW_gui_complete.csv,142,haven,have,v%imp,100-ch 988,data/riverside_cats/LGW_riverside_reordered.cat,Have mercy on oure labour and oure wo,RIVERSIDE
LGW_gui_complete.csv,142,ben,am,v%pr_1,100-ch 989,data/riverside_cats/LGW_riverside_reordered.cat,I n am no goddesse sothly quod she tho,RIVERSIDE
LGW_gui_complete.csv,142,connen,can,v%pr_1,100-ch 1020,data/riverside_cats/LGW_riverside_reordered.cat,I can nat seyn if that it be possible,RIVERSIDE
LGW_gui_complete.csv,142,beren,born,v%ppl,100-ch 1027,data/riverside_cats/LGW_riverside_reordered.cat,Allas that I was born quod Eneas,RIVERSIDE
LGW_gui_complete.csv,142,haven,han,v%inf,100-ch 1048,data/riverside_cats/LGW_riverside_reordered.cat,Which that he wende han loren in the se,RIVERSIDE
LGW_gui_complete.csv,142,mouen,may,v%pr_pl,100-ch 1085,data/riverside_cats/LGW_riverside_reordered.cat,She to hym spak and seyde as ye may here,RIVERSIDE
LGW_gui_complete.csv,142,mouen,may,v%pr_1,100-ch 1088,data/riverside_cats/LGW_riverside_reordered.cat,That I may goodly don yow ye shal have,RIVERSIDE
LGW_gui_complete.csv,142,don,don,v%inf,100-ch 1088,data/riverside_cats/LGW_riverside_reordered.cat,That I may goodly don yow ye shal have,RIVERSIDE
LGW_gui_complete.csv,142,don,don,v%inf,100-ch 1113,data/riverside_cats/LGW_riverside_reordered.cat,With al his folk to don what so hem leste,RIVERSIDE
LGW_gui_complete.csv,142,shinen,shynede,v%pt_3,100-ch 1119,data/riverside_cats/LGW_riverside_reordered.cat,Ne ruby non that shynede by nyghte,RIVERSIDE
LGW_gui_complete.csv,142,don,don,v%pr_pl,100-ch 1167,data/riverside_cats/LGW_riverside_reordered.cat,As don these lovers as I have herd seyd,RIVERSIDE
LGW_gui_complete.csv,142,gon,gon,v%inf,100-ch 1213,data/riverside_cats/LGW_riverside_reordered.cat,With Hay Go bet Pryke thow Lat gon lat gon,RIVERSIDE
LGW_gui_complete.csv,142,seien,seyn,v%pr_pl,100-ch 1216,data/riverside_cats/LGW_riverside_reordered.cat,Thus seyn these yonge folk and up they kylle,RIVERSIDE
LGW_gui_complete.csv,142,haven,han,v%pr_pl,100-ch 1217,data/riverside_cats/LGW_riverside_reordered.cat,These bestes wilde and han hem at here wille,RIVERSIDE
LGW_gui_complete.csv,142,haven,han,v%pr_pl,100-ch 1258,data/riverside_cats/LGW_riverside_reordered.cat,And han swich olde ensaumples yow beforn,RIVERSIDE
LGW_gui_complete.csv,142,mouen,may,v%pr_pl,100-ch 1263,data/riverside_cats/LGW_riverside_reordered.cat,Ye may as wel it sen as ye may rede,RIVERSIDE
LGW_gui_complete.csv,142,sweren,sworn,v%ppl,100-ch 1304,data/riverside_cats/LGW_riverside_reordered.cat,Have ye nat sworn to wyve me to take,RIVERSIDE
LGW_gui_complete.csv,142,haven,have,v%imp,100-ch 1316,data/riverside_cats/LGW_riverside_reordered.cat,And seyth Have mercy let me with yow ryde,RIVERSIDE
LGW_gui_complete.csv,142,haven,han,v%pr_pl,100-ch 1320,data/riverside_cats/LGW_riverside_reordered.cat,As ye han sworn thanne wol I yeve yow leve,RIVERSIDE
LGW_gui_complete.csv,142,sweren,sworn,v%ppl,100-ch 1320,data/riverside_cats/LGW_riverside_reordered.cat,As ye han sworn thanne wol I yeve yow leve,RIVERSIDE
LGW_gui_complete.csv,142,ben,am,v%pr_1,100-ch 1323,data/riverside_cats/LGW_riverside_reordered.cat,I am with childe and yeve my child his lyf,RIVERSIDE
LGW_gui_complete.csv,142,yeven,yeve,v%imp,100-ch 1323,data/riverside_cats/LGW_riverside_reordered.cat,I am with childe and yeve my child his lyf,RIVERSIDE
LGW_gui_complete.csv,142,haven,have,v%imp,100-ch 1324,data/riverside_cats/LGW_riverside_reordered.cat,Mercy lord Have pite in youre thought,RIVERSIDE
LGW_gui_complete.csv,142,hoten,hyghte,v%pt_3,100-ch 1331,data/riverside_cats/LGW_riverside_reordered.cat,And wedded ther a lady hyghte Lavyne,RIVERSIDE
LGW_gui_complete.csv,142,mouen,nat,v%pr_1,100-ch 1344,data/riverside_cats/LGW_riverside_reordered.cat,Compleyned hadde of which I may nat wryte,RIVERSIDE
LGW_gui_complete.csv,142,witen,wot,v%pr_1,100-ch 1359,data/riverside_cats/LGW_riverside_reordered.cat,For wel I wot that it is al in veyn,RIVERSIDE
