rank,folder,file,line_number,oxford_text,current_confidence,current_scansion,gain,needed_words
44,to_complete,NPT_gui.csv,The Nun's Priest's Tale 3383,Ran Colle our dogge and Talbot and Gerland,22.60,u Sx u Sx u Su S uS,48,"colle(0), dogge(0), talbot(0), gerland(1), ran(1)"
45,to_complete,PF_gui.csv,Parliament of Fowls 342,The jalous swan ayens hir deth that singeth,42.56,u Su S uS u S u Sx,48,"ayens(0), jalous(0), singeth(0), deth(1), swan(1)"
46,to_complete,NPPro_gui.csv,Prologue to the Nun's Priest's Tale 2792,Wherfor sir Monk or dan Piers by your name,0.00,        ,48,"dan(0), piers(0), wherfor(1), name(2), sir(4), monk(4)"
47,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 1159,This fals chanoun the foule feend him fecche,26.84,u S uS u Su S u Sx,48,"chanoun(0), fecche(0), feend(0), fals(1), foule(0)"
48,to_complete,PF_gui.csv,Parliament of Fowls 346,The scorning jay the eles foo heroune,55.00,u Su S u Su S uSx,48,"eles(0), heroune(0), scorning(0), foo(1), jay(1)"
49,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 919,Nis ther moor wo ne moor rancour ne ire,40.24,u S u S u S uS u Sx,48,"moor(0), rancour(0), ire(1), nis(1)"
50,to_complete,MLT_gui.csv,The Man of Law's Tale 642,Bifore whos child aungeles singe Osanne,27.78,uSx u S uSu Sx uSx,48,"aungeles(0), child(0), osanne(0), whos(2), bifore(4), singe(6)"
51,to_complete,PF_gui.csv,Parliament of Fowls 195,The dredful roo the buk the hert and hinde,51.94,u Su S u S u S u Sx,48,"buk(0), hert(0), hinde(0), roo(0), dredful(2)"
52,to_complete,LGW_gui.csv,100-ch 646,He rent the sail with hokes like a sithe,46.01,u S u S u Su Sx u Sx,48,"rent(0), sail(0), sithe(0), hokes(0), like(1)"
53,to_complete,PardT_gui.csv,The Pardoner's Tale 518,Maketh that est and west and north and south,59.35,uS u S u S u S u S,47,"north(0), south(0), est(1), maketh(1), west(1)"
54,to_complete,SumT_gui.csv,The Summoner's Tale 1820,I walke and fisshe Cristen mennes soules,37.22,u Sx u Su Su Su Sx,47,"fisshe(0), mennes(0), walke(0), cristen(1), soules(2)"
55,to_complete,PF_gui.csv,Parliament of Fowls 380,That hoot cold hevy light and moist and dreie,49.35,u S u Su S u S u S,47,"dreie(0), hevy(0), moist(0), cold(3), light(3), hoot(7)"
56,to_complete,MancT_gui.csv,The Manciple's Tale 323,Walled a tong with teeth and lippes eke,55.59,uS u S u S u Su Sx,47,"teeth(0), tong(0), walled(0), lippes(1), eke(2)"
57,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 806,Unslekked lim chalk and gleire of an ey,27.56,uSx u S u Su S u S,47,"chalk(0), gleire(0), lim(0), unslekked(0), ey(3)"
58,to_complete,KnT_gui.csv,The Knight's Tale 2003,Contek with blody knif and sharp manace,64.71,uS u Su S u S uSx,47,"contek(0), manace(0), blody(1), knif(1), sharp(1)"
59,to_complete,MkT_gui.csv,The Monk's Tale 2160,Sixty cubites long and seven in brede,9.75,uS uSx u S uS u Sx,47,"brede(0), cubites(0), seven(0), sixty(0), long(3)"
60,to_complete,PardT_gui.csv,The Pardoner's Tale 552,Sour is thy breeth foul artow to embrace,31.44,u S u S u Su S uSx,47,"artow(0), embrace(0), sour(0), breeth(1), foul(2)"
61,to_complete,LGW_gui.csv,100-ch 1886,Juge infernal Minos of Crete king,22.70,ux SuS uS u Su S,46,"crete(0), infernal(0), minos(0), juge(1), king(3)"
62,to_complete,MLT_gui.csv,The Man of Law's Tale 946,Forth goth hir ship thurghout the narwe mouth,50.35,u S u S uS u Su S,46,"ship(0), thurghout(0), goth(1), narwe(1), mouth(2)"
63,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 385,Yelt bittre fruit though swete seed be sowe,56.47,u Su S u Su S u Sx,46,"fruit(0), yelt(0), bittre(1), seed(1), sowe(3), swete(9)"
64,to_complete,SumT_gui.csv,The Summoner's Tale 1746,Yif us a busshel whete malt or reye,39.10,u S u Su Su S u S,46,"busshel(0), malt(0), reye(0), whete(0), yif(4)"
65,to_complete,ClT_gui.csv,The Clerk's Tale 1199,Beth egre as is a tigre yond in Inde,48.82,u Sx u S u Su S u Sx,46,"egre(0), inde(0), tigre(0), yond(1), beth(3)"
66,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 276,With wilde thonder dint and firy levene,31.84,u Sx uS u S uS uSx,46,"dint(0), firy(0), levene(0), thonder(2), wilde(1)"
67,to_complete,MilT_gui.csv,The Miller's Tale 3761,Until a smith men cleped daun Gerveis,36.23,uS u S u Su S uS,46,"gerveis(0), smith(0), until(0), cleped(2), daun(0)"
68,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 759,Of orpiment brent bones iren squames,36.59,u SuS u Su Su Sx,46,"brent(0), orpiment(0), squames(0), bones(2), iren(2)"
69,to_complete,KnT_gui.csv,The Knight's Tale 1985,And therout cam a rage and such a vese,62.61,u Su S u Sx u S u Sx,46,"therout(0), vese(0), rage(1), such(1), cam(2)"
70,to_complete,MkT_gui.csv,The Monk's Tale 2371,And wan by force tounes stronge and toures,53.21,u S u Su Su Sx u Sx,46,"force(0), stronge(0), tounes(1), toures(0), wan(2)"
71,to_complete,MLT_gui.csv,The Man of Law's Tale 848,Thou sawe thy child yslain bifor thin yn,47.90,u Sx u S uS uS u S,46,"bifor(0), yslain(0), child(0), sawe(1), yn(5), thin(7)"
72,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 661,Was thorughout Troye yfled with preste winges,14.63,u SuS u Sx u Sx uS,46,"preste(0), thorughout(0), winges(0), yfled(0), troye(4)"
73,to_complete,ClT_gui.csv,The Clerk's Tale 1000,Your doom is fals your constance ivel preveth,40.02,u S u S u Sux Su Sx,46,"constance(0), doom(0), preveth(0), fals(1), ivel(2)"
74,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 810,Sal tartre alkaly and sal preparat,1.66,u Sx uSu S u SuS,46,"alkaly(0), preparat(0), sal(0), tartre(1)"
75,to_complete,RvT_gui.csv,The Reeve's Tale 4134,With empty hand men may na haukes tulle,36.20,u Su S u S u Su Sx,46,"empty(0), haukes(0), tulle(0), hand(2), na(0)"
76,to_complete,HF_gui.csv,House of Fame 335,We wrecched wimmen con non arte,45.31,u Su Su S u Sx,46,"arte(0), con(0), wimmen(0), wrecched(1), non(3)"
77,to_complete,GP_gui.csv,104,A sheef of pecok arwes bright and kene,68.92,u S u Su Su S u Sx,46,"pecok(0), sheef(0), arwes(1), kene(1), bright(2)"
78,to_complete,PardPro_gui.csv,The Pardoner's Prologue 354,If cow or calf or sheep or oxe swelle,57.19,u S u S u S u Su Sx,45,"cow(0), oxe(0), swelle(0), calf(1), sheep(4)"
79,to_complete,PrPro_gui.csv,The Prioress' Prologue 468,O bush unbrent brenninge in Moises sighte,25.39,u S uS uSx u Su Sx,45,"brenninge(0), bush(0), moises(0), unbrent(0), sighte(5)"
80,to_complete,MLT_gui.csv,The Man of Law's Tale 561,In name of Criste cride this blinde Britoun,42.25,u Sx u Su Sx u Sx uS,45,"blinde(0), britoun(0), criste(0), cride(2), name(2)"
81,to_complete,MLPro_gui.csv,02-1-ch 12,Degrees was five and fourty clombe on highte,33.99,uS u Sx u Su Sx u Sx,45,"clombe(0), degrees(0), fourty(0), highte(1), five(4)"
82,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1519,Whan Tideus slough fifty knightes stoute,9.82,u SuS u Su Su Sx,45,"fifty(0), knightes(0), slough(0), stoute(0), tideus(0)"
83,to_complete,ClT_gui.csv,The Clerk's Tale 223,A fewe sheepe spinning on feeld she kepte,43.67,u Su Su Su S u x Sx,45,"feeld(0), spinning(0), fewe(1), sheepe(1), kepte(3)"
84,to_complete,KnT_gui.csv,The Knight's Tale 2142,He hadde a beres skin col blak for old,48.55,u Sx u Su S u S u S,45,"beres(0), skin(0), col(1), blak(2), old(2)"
85,to_complete,MLT_gui.csv,The Man of Law's Tale 797,Custance inwith his regne for t abide,45.51,uSx uS u Su S  uSx,45,"custance(0), abide(1), inwith(1), regne(1), t(1)"
86,to_complete,ShipT_gui.csv,07-0-ch 228,Scarsly amonges twelve twein shul thrive,33.33,uS uSu Su S u Sx,45,"twein(0), amonges(2), scarsly(2), shul(1), twelve(3), thrive(5)"
87,to_complete,LGW_FPro_gui.csv,The Legend of Good Women; Prologue F 74,Of making ropen and lad awey the corne,10.78,u Su Su S u Su S ux,45,"corne(0), lad(0), making(0), ropen(0), awey(5)"
88,to_complete,MilT_gui.csv,The Miller's Tale 3262,Or hord of apples leid in hey or heeth,55.76,u S u Su S u S u S,45,"apples(0), hey(0), hord(0), heeth(2), leid(3)"
89,to_complete,RvT_gui.csv,The Reeve's Tale 4065,Toward the fen ther wilde mares renne,39.90,uS u S u Su Su Sx,45,"fen(0), mares(0), renne(1), toward(1), wilde(1)"
90,to_complete,MkT_gui.csv,The Monk's Tale 2100,He Arpies slow the cruel briddes felle,10.53,u SuS u S uS ux Sx,45,"arpies(0), felle(0), slow(0), briddes(1), cruel(4)"
91,to_complete,PF_gui.csv,Parliament of Fowls 379,Nature the vicarie of th almighty lorde,0.00,      ,45,"almighty(0), lorde(0), vicarie(0), nature(1), th(4)"
92,to_complete,LGW_gui.csv,100-ch 1131,Both ceptre clothes broches and eek ringes,36.17,u Su Su Sx u S uS,45,"ceptre(0), broches(0), clothes(1), ringes(0), both(0)"
93,to_complete,MancT_gui.csv,The Manciple's Tale 339,Wostow wherof a rakel tonge serveth,28.62,uS uS u Su Sx uS,45,"rakel(0), serveth(0), wherof(0), wostow(0), tonge(5)"
94,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1819,Virgile Ovide Omer Lucan and Stace,15.01,uSx uSx uS uS u Sx,45,"lucan(0), omer(0), ovide(0), stace(0), virgile(0)"
95,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 787,Whos stomak foules tiren evermo,30.00,u Su Su Su SuS,45,"foules(0), stomak(0), tiren(0), evermo(2), whos(2)"
96,to_complete,KnT_gui.csv,The Knight's Tale 3024,The brode river somtime wexeth dreie,37.64,u Sx uS uSu Su S,45,"river(0), wexeth(0), brode(1), dreie(0), somtime(3)"
97,to_complete,NPT_gui.csv,The Nun's Priest's Tale 3398,Of bras thay broghten bemes and of box,43.63,u S u Su Su S u S,45,"broghten(0), box(0), bras(1), thay(0), bemes(2)"
98,to_complete,MkT_gui.csv,The Monk's Tale 2561,Of kinges princes erles dukes bolde,28.26,u Su Su Su Su Sx,45,"bolde(0), dukes(0), erles(0), princes(0), kinges(5)"
99,to_complete,LGW_gui.csv,100-ch 1654,To Tessaly with Duk Jasoun her leef,34.91,u SuS u S uS u S,44,"duk(0), jasoun(0), tessaly(0), leef(1), her(1)"
100,to_complete,MilT_gui.csv,The Miller's Tale 3429,I saugh today a cors yborn to chirche,55.46,u S uS u S uS u Sx,44,"cors(0), chirche(1), today(1), yborn(1), saugh(2)"
101,to_complete,PF_gui.csv,Parliament of Fowls 283,Of maidens suche as gunne hir times waste,61.52,u Su Sx u Sx u Su Sx,44,"gunne(0), waste(0), maidens(1), suche(2), times(3)"
102,to_complete,SumT_gui.csv,The Summoner's Tale 1737,With scrippe and tipped staf ytukked hie,50.42,u Sx u Su S uSu S,44,"scrippe(0), tipped(0), ytukked(0), staf(2), hie(3)"
103,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 382,As ravenes qualm or shriking of thise oules,36.18,u Sux S u Su S ux Sx,44,"oules(0), qualm(0), ravenes(0), shriking(0), thise(3)"
104,to_complete,NPT_gui.csv,The Nun's Priest's Tale 3133,Loke of Egipt the kinge daun Pharao,22.32,ux S uS u Sx u SuS,44,"egipt(0), kinge(0), pharao(0), daun(0), loke(3)"
105,to_complete,KnT_gui.csv,The Knight's Tale 2178,An egle tame as eny lilie whit,36.00,u Su Sx u Su Su S,44,"eny(0), lilie(0), tame(0), egle(1), whit(5)"
106,to_complete,RvPro_gui.csv,The Reeve's Prologue 3869,This white top writeth mine olde yeres,36.97,u Su S uS ux Sx uS,44,"writeth(0), top(1), yeres(1), mine(2), olde(5), white(7)"
107,to_complete,MLT_gui.csv,The Man of Law's Tale 993,In heigh and low and Jesu Crist bisoghte,48.54,u S u S u Su S uSx,44,"bisoghte(0), jesu(0), low(0), crist(2), heigh(4)"
108,to_complete,SqT_gui.csv,The Squire's Tale 316,Ye moten trille a pin stant in his ere,53.03,u Su Sx u S u S u Sx,44,"moten(0), trille(0), pin(1), ere(2), stant(3)"
109,to_complete,RvT_gui.csv,The Reeve's Tale 4010,The miller shold nat stele hem half a pekke,50.69,u Su S u Sx u S u Sx,44,"pekke(0), stele(0), miller(1), shold(2), half(3)"
110,to_complete,PardT_gui.csv,The Pardoner's Tale 687,Henne over a mile within a greet village,32.83,ux Sx u Sx uS u S uSx,44,"mile(0), village(0), within(0), henne(1), over(5)"
111,to_complete,Thop_gui.csv,Sir Thopas 724,Sir Thopas wax a doghty swain,0.00,     ,44,"doghty(0), thopas(0), wax(0), swain(0), sir(4)"
112,to_complete,LGW_FPro_gui.csv,The Legend of Good Women; Prologue F 249,Hide Absolon thy gilte tresses clere,27.71,ux SuS u Su Su Sx,44,"absolon(0), gilte(0), hide(0), tresses(0), clere(6)"
113,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 432,How mekly looketh Wilkin oure sheep,30.07,u Su Su Su Su S,44,"looketh(0), mekly(0), wilkin(0), oure(1), sheep(4)"
114,to_complete,SqT_gui.csv,The Squire's Tale 142,Wherfor agein this lusty someres tide,60.04,uS uS u Su Su Sx,44,"someres(0), tide(0), agein(1), wherfor(1), lusty(3)"
115,to_complete,KnT_gui.csv,The Knight's Tale 990,And rente adoun both wal and sparre and rafter,61.12,u Sx uS u S u Sx u Sx,44,"rafter(0), sparre(0), both(0), wal(3), adoun(5), rente(5)"
116,to_complete,MerT_gui.csv,The Merchant's Tale 1471,Somme blamed it somme preised it certein,31.43,ux Sx u Su Su S uS,44,"blamed(0), somme(0), preised(1), certein(5)"
117,to_complete,NPT_gui.csv,The Nun's Priest's Tale 2966,Of erbe ive growing in our yerd that mery is,0.00,         ,44,"erbe(0), growing(0), ive(0), yerd(1), mery(5)"
118,to_complete,PardT_gui.csv,The Pardoner's Tale 538,Thise cokes how they stampe and streine and grinde,39.06,ux Su S u Sx u Sx u Sx,43,"cokes(0), grinde(0), stampe(0), streine(0), thise(3)"
119,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 809,And divers fires maad of wode and cole,47.45,u Su Su S u Sx u Sx,43,"cole(0), divers(0), fires(0), wode(2), maad(5)"
120,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 726,O Phebus thenk whan Dane hirselven shette,55.49,u Su S u Sx uSu Sx,43,"dane(0), hirselven(1), phebus(1), shette(2), thenk(3)"
121,in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 1739,Think al swich taried tid but lost it nis,0.00,        ,43,"lost(0), taried(0), nis(1), think(2), tid(3)"
122,to_complete,RvT_gui.csv,The Reeve's Tale 4079,The wif cam leping inward with a ren,61.00,u S u Su Su S u S,43,"inward(0), ren(0), leping(1), cam(2), wif(3)"
123,to_complete,FranT_gui.csv,The Franklin's Tale 873,For by this werk south north ne west ne eest,54.72,u S u S u S u S u S,43,"eest(0), north(0), south(0), west(1), werk(3)"
124,to_complete,ShipT_gui.csv,07-0-ch 1,A marchant whilom dwelled at Seint Denis,43.27,u Su Su Sx u S uS,43,"denis(0), dwelled(0), marchant(1), whilom(1), seint(5)"
125,to_complete,ClT_gui.csv,The Clerk's Tale 870,Inwith your chambre dar I saufly sayn,58.00,uS u Su S u Su S,43,"saufly(0), sayn(0), chambre(2), inwith(1), dar(3)"
126,to_complete,LGW_gui.csv,100-ch 1862,And Brutus by her chaste blode hath swore,36.43,u Su S u Su Sx u Sx,43,"blode(0), brutus(0), chaste(0), swore(1), her(1)"
127,to_complete,SNT_gui.csv,The Second Nun's Tale 218,Valerian goth hoom and fint Cecilie,24.99,uxSu S u S u SuS,43,"cecilie(0), fint(0), valerian(0), goth(1), hoom(5)"
128,to_complete,MkT_gui.csv,The Monk's Tale 2232,Wroot mane techel phares truste me,13.45,u Su Su Su Su S,43,"mane(0), phares(0), techel(0), truste(3), wroot(4)"
129,to_complete,LGW_gui.csv,100-ch 1190,The nettes dresse and speres brode and kene,71.57,u Su Sx u Su Sx u Sx,43,"nettes(0), speres(0), brode(1), kene(1), dresse(3)"
130,to_complete,LGW_gui.csv,100-ch 2612,Th encens out of the fire reketh sote,32.76, uS u S u Su Su Sx,43,"encens(0), reketh(0), fire(0), sote(1), th(4)"
131,to_complete,MerT_gui.csv,The Merchant's Tale 1808,Of spices hote t encresen his corage,33.91,u Su Sx  uSu S uSx,43,"spices(0), corage(1), encresen(1), hote(2), t(1)"
132,to_complete,Anelida_gui.csv,Anelida and Arcite 212,The swerd of sorowe ywhet with fals plesaunce,49.89,u S u Sux Su S u xSx,43,"sorowe(0), ywhet(0), plesaunce(1), fals(1), swerd(3)"
133,to_complete,KnT_gui.csv,The Knight's Tale 1977,With knotty knarry barein tres olde,30.49,u Su Su Su S ux,43,"barein(0), knarry(0), knotty(0), tres(1), olde(5)"
134,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 949,The rose waxeth swote and smothe and softe,59.07,u Su Su Sx u Sx u Sx,43,"swote(0), waxeth(0), rose(1), smothe(2), softe(4)"
135,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 44,With arwes dartes swerdes maces felle,52.15,u Su Su Su Su Sx,43,"dartes(1), felle(0), maces(1), arwes(1), swerdes(2)"
136,to_complete,FranT_gui.csv,The Franklin's Tale 1369,Had slain Phidoun in Athens atte feste,42.59,u S uS u Su Su Sx,43,"athens(0), phidoun(0), feste(2), slain(2), atte(3)"
137,to_complete,SNT_gui.csv,The Second Nun's Tale 476,We haten deedly thilke vice of pride,44.01,u Su Su Su Sx u Sx,43,"deedly(0), haten(0), pride(0), thilke(3), vice(4)"
138,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1791,And kis the steppes wheras thou seest pace,41.71,u S u Su Su S u Sx,43,"kis(0), seest(0), steppes(0), wheras(0), pace(6)"
139,to_complete,LGW_gui.csv,100-ch 654,Fleeth eek the queen with al her purpre sail,31.59,u S u S u S u Su S,42,"fleeth(0), purpre(0), queen(0), sail(0), her(1)"
140,to_complete,MkT_gui.csv,The Monk's Tale 2526,When he leest weneth sonest shal he falle,44.83,u S u Su Su S u Sx,42,"sonest(0), weneth(0), when(1), leest(2), falle(4)"
141,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 662,Heren noise of reines nor of thondre,37.02,xu Sx u Su S u Su,42,"reines(0), heren(1), noise(1), thondre(1), nor(5)"
142,to_complete,KnT_gui.csv,The Knight's Tale 2170,Betwixen yelow and somdel blak ymeind,32.22,uSu Su S uS u Su,42,"betwixen(0), ymeind(0), yelow(1), blak(2), somdel(3)"
143,to_complete,Anelida_gui.csv,Anelida and Arcite 50,Mars which through his furious course of ire,37.75,u S u S uSu Sx u Sx,42,"course(0), furious(0), ire(1), mars(3), through(3)"
