headword,word,tag,line_number,filename,context,text_type,reason
mouen,may,v%pr_3,The Prioress' Tale 575,data/riverside_cats/PrT_riv.cat,What may youre yvel entente yow availle,RIVERSIDE,Present 3rd sg must end in -th
willen,wol,v%pr_3,The Prioress' Tale 576,data/riverside_cats/PrT_riv.cat,Mordre wol out certeyn it wol nat faille,RIVERSIDE,Present 3rd sg must end in -th
gon,goon,v%pr_pl,The Prioress' Tale 583,data/riverside_cats/PrT_riv.cat,In Pathmos wroot which seith that they that goon,RIVERSIDE,Present plural must end in -en or -e
werken,wroghte,v%pt_3,The Prioress' Tale 598,data/riverside_cats/PrT_riv.cat,She cride and atte laste thus she wroghte,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
crien,cryde,v%pt_3,The Prioress' Tale 605,data/riverside_cats/PrT_riv.cat,That in that place after hir sone she cryde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
wenden,wente,v%pt_3,The Prioress' Tale 614,data/riverside_cats/PrT_riv.cat,The Cristene folk that thurgh the strete wente,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
willen,wol,v%pr_3,The Prioress' Tale 632,data/riverside_cats/PrT_riv.cat,Yvele shal have that yvele wol deserve,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 647,data/riverside_cats/PrT_riv.cat,Tel me what is thy cause for to synge,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 648,data/riverside_cats/PrT_riv.cat,Sith that thy throte is kut to my semynge,RIVERSIDE,Present 3rd sg must end in -th
willen,wil,v%pr_3,The Prioress' Tale 653,data/riverside_cats/PrT_riv.cat,Wil that his glorie laste and be in mynde,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,The Prioress' Tale 661,data/riverside_cats/PrT_riv.cat,As ye han herd and whan that I hadde songe,RIVERSIDE,Present plural must end in -en or -e
haven,hadde,v%pt_1,The Prioress' Tale 661,data/riverside_cats/PrT_riv.cat,As ye han herd and whan that I hadde songe,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,The Prioress' Tale 668,data/riverside_cats/PrT_riv.cat,Whan that the greyn is fro thy tonge ytake,RIVERSIDE,Present 3rd sg must end in -th
haven,hadde,v%pt_3,The Prioress' Tale 673,data/riverside_cats/PrT_riv.cat,And whan this abbot hadde this wonder seyn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
triklen,trikled,v%pt_pl,The Prioress' Tale 674,data/riverside_cats/PrT_riv.cat,His salte teeris trikled doun as reyn,RIVERSIDE,Past plural must end in -en or -e
ben,is,v%pr_3,The Prioress' Tale 683,data/riverside_cats/PrT_riv.cat,Ther he is now God leve us for to meete,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 685,data/riverside_cats/PrT_riv.cat,With cursed Jewes as it is notable,RIVERSIDE,Present 3rd sg must end in -th
multiplien,multiplie,v%pr_3,The Prioress' Tale 689,data/riverside_cats/PrT_riv.cat,On us his grete mercy multiplie,RIVERSIDE,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 17,data/riverside_cats/TC2_riv.cat,Disblameth me if any word be lame,RIVERSIDE,Present 3rd sg must end in -th
connen,kan,v%pr_3,Troilus and Criseyde; Book II 21,data/riverside_cats/TC2_riv.cat,A blynd man kan nat juggen wel in hewis,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 22,data/riverside_cats/TC2_riv.cat,Ye knowe ek that in forme of speche is chaunge,RIVERSIDE,Present 3rd sg must end in -th
don,do,v%pr_pl,Troilus and Criseyde; Book II 26,data/riverside_cats/TC2_riv.cat,And spedde as wel in love as men now do,RIVERSIDE,Present plural must end in -en or -e
willen,wol,v%pr_3,Troilus and Criseyde; Book II 31,data/riverside_cats/TC2_riv.cat,That herkneth as the storie wol devise,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 35,data/riverside_cats/TC2_riv.cat,I noot but it is me no wonderynge,RIVERSIDE,Present 3rd sg must end in -th
wenden,went,v%pr_3,Troilus and Criseyde; Book II 36,data/riverside_cats/TC2_riv.cat,For every wight which that to Rome went,RIVERSIDE,Present 3rd sg must end in -th
holden,halt,v%pr_3,Troilus and Criseyde; Book II 37,data/riverside_cats/TC2_riv.cat,Halt nat o path or alwey o manere,RIVERSIDE,Present 3rd sg must end in -th
don,don,v%pr_pl,Troilus and Criseyde; Book II 39,data/riverside_cats/TC2_riv.cat,If that they ferde in love as men don here,RIVERSIDE,Present plural must end in -en or -e
mouen,may,v%pr_3,Troilus and Criseyde; Book II 45,data/riverside_cats/TC2_riv.cat,For to thi purpos this may liken the,RIVERSIDE,Present 3rd sg must end in -th
bitiden,bitit,v%pr_3,Troilus and Criseyde; Book II 48,data/riverside_cats/TC2_riv.cat,As it bitit But syn I have bigonne,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 53,data/riverside_cats/TC2_riv.cat,And ful of bawme is fletyng every mede,RIVERSIDE,Present 3rd sg must end in -th
bitiden,bitidde,v%pt_3,Troilus and Criseyde; Book II 55,data/riverside_cats/TC2_riv.cat,Right in the white Bole it so bitidde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 62,data/riverside_cats/TC2_riv.cat,In love for which in wo to bedde he wente,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
don,doon,v%inf,Troilus and Criseyde; Book II 75,data/riverside_cats/TC2_riv.cat,To doon viage and took his way ful soone,RIVERSIDE,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 79,data/riverside_cats/TC2_riv.cat,Wher is my lady to hire folk quod he,RIVERSIDE,Present 3rd sg must end in -th
setten,sette,v%pt_3,Troilus and Criseyde; Book II 91,data/riverside_cats/TC2_riv.cat,And with that word she doun on bench hym sette,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,Troilus and Criseyde; Book II 98,data/riverside_cats/TC2_riv.cat,Uncle quod she youre maistresse is nat here,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 101,data/riverside_cats/TC2_riv.cat,And we han herd how that kyng Layus deyde,RIVERSIDE,Present plural must end in -en or -e
dien,deyde,v%pt_3,Troilus and Criseyde; Book II 101,data/riverside_cats/TC2_riv.cat,And we han herd how that kyng Layus deyde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
connen,kan,v%pr_3,Troilus and Criseyde; Book II 104,data/riverside_cats/TC2_riv.cat,How the bisshop as the book kan telle,RIVERSIDE,Present 3rd sg must end in -th
don,don,v%inf,Troilus and Criseyde; Book II 112,data/riverside_cats/TC2_riv.cat,And lat us don to May som observaunce,RIVERSIDE,Infinitive must end in -en or -e
forbeden,forbede,v%pr_3,Troilus and Criseyde; Book II 113,data/riverside_cats/TC2_riv.cat,I God forbede quod she Be ye mad,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 114,data/riverside_cats/TC2_riv.cat,Is that a widewes lif so God yow save,RIVERSIDE,Present 3rd sg must end in -th
saven,save,v%pr_3,Troilus and Criseyde; Book II 114,data/riverside_cats/TC2_riv.cat,Is that a widewes lif so God yow save,RIVERSIDE,Present 3rd sg must end in -th
sitten,satte,v%pt_3,Troilus and Criseyde; Book II 117,data/riverside_cats/TC2_riv.cat,It satte me wel bet ay in a cave,RIVERSIDE,Strong pt sg must not end in -en or -e
gon,gon,v%inf,Troilus and Criseyde; Book II 119,data/riverside_cats/TC2_riv.cat,Lat maydens gon to daunce and yonge wyves,RIVERSIDE,Infinitive must end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book II 121,data/riverside_cats/TC2_riv.cat,Yet koude I telle a thyng to doon yow pleye,RIVERSIDE,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 123,data/riverside_cats/TC2_riv.cat,For Goddes love is than th assege aweye,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 127,data/riverside_cats/TC2_riv.cat,Ye holy God quod she what thyng is that,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 130,data/riverside_cats/TC2_riv.cat,It sholde ben some jape I trowe is this,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 131,data/riverside_cats/TC2_riv.cat,And but youreselven telle us what it is,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 132,data/riverside_cats/TC2_riv.cat,My wit is for t arede it al to leene,RIVERSIDE,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 133,data/riverside_cats/TC2_riv.cat,As help me God I not nat what ye meene,RIVERSIDE,Present 3rd sg must end in -th
desiren,desired,v%pr_3,Troilus and Criseyde; Book II 144,data/riverside_cats/TC2_riv.cat,To knowe thyng desired she so faste,RIVERSIDE,Present 3rd sg must end in -th
mouen,may,v%pr_3,Troilus and Criseyde; Book II 147,data/riverside_cats/TC2_riv.cat,Nor axen more that may do yow disese,RIVERSIDE,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 147,data/riverside_cats/TC2_riv.cat,Nor axen more that may do yow disese,RIVERSIDE,Infinitive must end in -en or -e
don,doon,v%pr_pl,Troilus and Criseyde; Book II 152,data/riverside_cats/TC2_riv.cat,As frendes doon whan thei ben mette yfere,RIVERSIDE,Present plural must end in -en or -e
faren,ferde,v%pt_3,Troilus and Criseyde; Book II 153,data/riverside_cats/TC2_riv.cat,Tyl she gan axen hym how Ector ferde,RIVERSIDE,Strong pt sg must not end in -en or -e
saven,save,v%pr_3,Troilus and Criseyde; Book II 163,data/riverside_cats/TC2_riv.cat,Thei faren wel God save hem bothe two,RIVERSIDE,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 165,data/riverside_cats/TC2_riv.cat,A kynges sone in armes wel to do,RIVERSIDE,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 169,data/riverside_cats/TC2_riv.cat,In good faith that is soth quod Pandarus,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 171,data/riverside_cats/TC2_riv.cat,That is to mene Ector and Troilus,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 175,data/riverside_cats/TC2_riv.cat,Hire myght is wyde yknowe and what they konne,RIVERSIDE,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 182,data/riverside_cats/TC2_riv.cat,God help me so I knowe nat swiche tweye,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 183,data/riverside_cats/TC2_riv.cat,By God quod she of Ector that is sooth,RIVERSIDE,Present 3rd sg must end in -th
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 190,data/riverside_cats/TC2_riv.cat,Ye sey right sooth ywys quod Pandarus,RIVERSIDE,Present plural must end in -en or -e
haven,han,v%inf,Troilus and Criseyde; Book II 192,data/riverside_cats/TC2_riv.cat,He myghte han wondred upon Troilus,RIVERSIDE,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 196,data/riverside_cats/TC2_riv.cat,Ther nas no cry but Troilus is there,RIVERSIDE,Present 3rd sg must end in -th
casten,caste,v%pt_3,Troilus and Criseyde; Book II 199,data/riverside_cats/TC2_riv.cat,Now hem he hurte and hem al down he caste,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
durren,dorste,v%pt_3,Troilus and Criseyde; Book II 202,data/riverside_cats/TC2_riv.cat,That as that day ther dorste non withstonde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,Troilus and Criseyde; Book II 204,data/riverside_cats/TC2_riv.cat,Therto he is the frendlieste man,RIVERSIDE,Present 3rd sg must end in -th
listen,lest,v%pr_3,Troilus and Criseyde; Book II 206,data/riverside_cats/TC2_riv.cat,And wher hym lest best felawshipe kan,RIVERSIDE,Present 3rd sg must end in -th
connen,kan,v%pr_3,Troilus and Criseyde; Book II 206,data/riverside_cats/TC2_riv.cat,And wher hym lest best felawshipe kan,RIVERSIDE,Present 3rd sg must end in -th
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 212,data/riverside_cats/TC2_riv.cat,And namelich of wommen Wol ye so,RIVERSIDE,Present plural must end in -en or -e
gon,go,v%pr_pl,Troilus and Criseyde; Book II 214,data/riverside_cats/TC2_riv.cat,With yow to speke of wisdom er ye go,RIVERSIDE,Present plural must end in -en or -e
heren,herde,v%pt_3,Troilus and Criseyde; Book II 216,data/riverside_cats/TC2_riv.cat,That herde that gan fer awey to stonde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
listen,list,v%pr_3,Troilus and Criseyde; Book II 223,data/riverside_cats/TC2_riv.cat,What list yow thus youreself to disfigure,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 224,data/riverside_cats/TC2_riv.cat,Sith yow is tid thus fair an aventure,RIVERSIDE,Present 3rd sg must end in -th
haven,have,v%pr_3,Troilus and Criseyde; Book II 242,data/riverside_cats/TC2_riv.cat,So muche as yow and have so litel quyt,RIVERSIDE,Present 3rd sg must end in -th
listen,liste,v%pr_3,Troilus and Criseyde; Book II 249,data/riverside_cats/TC2_riv.cat,And sey to me youre nece what yow liste,RIVERSIDE,Present 3rd sg must end in -th
kissen,kiste,v%pr_3,Troilus and Criseyde; Book II 250,data/riverside_cats/TC2_riv.cat,And with that word hire uncle anoon hire kiste,RIVERSIDE,Present 3rd sg must end in -th
seien,sey,v%inf,Troilus and Criseyde; Book II 252,data/riverside_cats/TC2_riv.cat,Tak it for good that I shal sey yow here,RIVERSIDE,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 261,data/riverside_cats/TC2_riv.cat,And this matere is so bihovely,RIVERSIDE,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 271,data/riverside_cats/TC2_riv.cat,For tendre wittes wenen al be wyle,RIVERSIDE,Present 3rd sg must end in -th
sen,sey,v%pt_pl,Troilus and Criseyde; Book II 277,data/riverside_cats/TC2_riv.cat,Sey ye me nevere er now What sey ye no,RIVERSIDE,Past plural must end in -en or -e
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 277,data/riverside_cats/TC2_riv.cat,Sey ye me nevere er now What sey ye no,RIVERSIDE,Present plural must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 282,data/riverside_cats/TC2_riv.cat,Som tyme is shape if he it kan receyven,RIVERSIDE,Present 3rd sg must end in -th
connen,kan,v%pr_3,Troilus and Criseyde; Book II 282,data/riverside_cats/TC2_riv.cat,Som tyme is shape if he it kan receyven,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 287,data/riverside_cats/TC2_riv.cat,And swich a wight is for to blame I gesse,RIVERSIDE,Present 3rd sg must end in -th
slaken,slake,v%pr_3,Troilus and Criseyde; Book II 291,data/riverside_cats/TC2_riv.cat,Cache it anon lest aventure slake,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 293,data/riverside_cats/TC2_riv.cat,Yif me youre hond for in this world is noon,RIVERSIDE,Present 3rd sg must end in -th
sweren,sworn,v%ppl,Troilus and Criseyde; Book II 299,data/riverside_cats/TC2_riv.cat,By alle the othes that I have yow sworn,RIVERSIDE,Strong participle must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 304,data/riverside_cats/TC2_riv.cat,For hardely the werst of this is do,RIVERSIDE,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 305,data/riverside_cats/TC2_riv.cat,And though my tale as now be to yow newe,RIVERSIDE,Present 3rd sg must end in -th
shulen,shal,v%pr_pl,Troilus and Criseyde; Book II 306,data/riverside_cats/TC2_riv.cat,Yet trist alwey ye shal me fynde trewe,RIVERSIDE,Present plural must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 310,data/riverside_cats/TC2_riv.cat,Quod she come of and telle me what it is,RIVERSIDE,Present 3rd sg must end in -th
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 311,data/riverside_cats/TC2_riv.cat,For both I am agast what ye wol seye,RIVERSIDE,Present plural must end in -en or -e
ben,be,v%pr_3,Troilus and Criseyde; Book II 313,data/riverside_cats/TC2_riv.cat,For whethir it be wel or be amys,RIVERSIDE,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book II 315,data/riverside_cats/TC2_riv.cat,So wol I doon now herkeneth I shall telle,RIVERSIDE,Infinitive must end in -en or -e
listen,lest,v%pr_3,Troilus and Criseyde; Book II 322,data/riverside_cats/TC2_riv.cat,Doth what yow lest to make hym lyve or deye,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 330,data/riverside_cats/TC2_riv.cat,Allas he which that is my lord so deere,RIVERSIDE,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 337,data/riverside_cats/TC2_riv.cat,If it be so that ye so cruel be,RIVERSIDE,Present 3rd sg must end in -th
listen,liste,v%pr_3,Troilus and Criseyde; Book II 338,data/riverside_cats/TC2_riv.cat,That of his deth yow liste nought to recche,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 339,data/riverside_cats/TC2_riv.cat,That is so trewe and worthi as ye se,RIVERSIDE,Present 3rd sg must end in -th
mouen,may,v%pr_3,Troilus and Criseyde; Book II 341,data/riverside_cats/TC2_riv.cat,If ye be swich youre beaute may nat strecche,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 343,data/riverside_cats/TC2_riv.cat,Avysement is good byfore the nede,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 346,data/riverside_cats/TC2_riv.cat,Wo worth that beaute that is routheles,RIVERSIDE,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 349,data/riverside_cats/TC2_riv.cat,If therwithal in yow ther be no routhe,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 351,data/riverside_cats/TC2_riv.cat,And also think wel that this is no gaude,RIVERSIDE,Present 3rd sg must end in -th
hongen,hanged,v%ppl,Troilus and Criseyde; Book II 353,data/riverside_cats/TC2_riv.cat,Were hanged than I sholde ben his baude,RIVERSIDE,Strong participle must end in -en or -e
shenden,shente,v%pr_3,Troilus and Criseyde; Book II 357,data/riverside_cats/TC2_riv.cat,Thorugh myn abet that he thyn honour shente,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 361,data/riverside_cats/TC2_riv.cat,Than ye han doon er this and moore feste,RIVERSIDE,Present plural must end in -en or -e
helpen,help,v%pr_3,Troilus and Criseyde; Book II 364,data/riverside_cats/TC2_riv.cat,God help me so I nevere other mente,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 366,data/riverside_cats/TC2_riv.cat,Ne doute of resoun pardee is ther noon,RIVERSIDE,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 370,data/riverside_cats/TC2_riv.cat,That every wight but he be fool of kynde,RIVERSIDE,Present 3rd sg must end in -th
willen,wol,v%pr_3,Troilus and Criseyde; Book II 371,data/riverside_cats/TC2_riv.cat,Wol deme it love of frendshipe in his mynde,RIVERSIDE,Present 3rd sg must end in -th
connen,kan,v%pr_3,Troilus and Criseyde; Book II 374,data/riverside_cats/TC2_riv.cat,Thenk ek how wel and wisely that he kan,RIVERSIDE,Present 3rd sg must end in -th
shulen,shal,v%pr_3,Troilus and Criseyde; Book II 377,data/riverside_cats/TC2_riv.cat,And ek therto he shal come here so selde,RIVERSIDE,Present 3rd sg must end in -th
biholden,byhelde,v%pt_3,Troilus and Criseyde; Book II 378,data/riverside_cats/TC2_riv.cat,What fors were it though al the town byhelde,RIVERSIDE,Strong pt sg must not end in -en or -e
ben,be,v%pr_3,Troilus and Criseyde; Book II 381,data/riverside_cats/TC2_riv.cat,And God so wys be my savacioun,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 382,data/riverside_cats/TC2_riv.cat,As I have seyd youre beste is to do soo,RIVERSIDE,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 382,data/riverside_cats/TC2_riv.cat,As I have seyd youre beste is to do soo,RIVERSIDE,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 389,data/riverside_cats/TC2_riv.cat,What is youre reed I sholde don of this,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 390,data/riverside_cats/TC2_riv.cat,That is wel seyd quod he Certein best is,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 390,data/riverside_cats/TC2_riv.cat,That is wel seyd quod he Certein best is,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 392,data/riverside_cats/TC2_riv.cat,As love for love is skilful guerdonynge,RIVERSIDE,Present 3rd sg must end in -th
devouren,devoure,v%pr_3,Troilus and Criseyde; Book II 395,data/riverside_cats/TC2_riv.cat,And therfore er that age the devoure,RIVERSIDE,Present 3rd sg must end in -th
willen,wol,v%pr_3,Troilus and Criseyde; Book II 396,data/riverside_cats/TC2_riv.cat,Go love for old ther wol no wight of the,RIVERSIDE,Present 3rd sg must end in -th
passen,paste,v%pt_3,Troilus and Criseyde; Book II 398,data/riverside_cats/TC2_riv.cat,To late ywar quod Beaute whan it paste,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,Troilus and Criseyde; Book II 400,data/riverside_cats/TC2_riv.cat,The kynges fool is wont to crien loude,RIVERSIDE,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book II 411,data/riverside_cats/TC2_riv.cat,Allas what sholden straunge to me doon,RIVERSIDE,Infinitive must end in -en or -e
reden,ret,v%pr_3,Troilus and Criseyde; Book II 413,data/riverside_cats/TC2_riv.cat,Ret me to love and sholde it me defende,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%inf,Troilus and Criseyde; Book II 414,data/riverside_cats/TC2_riv.cat,Allas I wolde han trusted douteles,RIVERSIDE,Infinitive must end in -en or -e
haven,hadde,v%pt_3,Troilus and Criseyde; Book II 416,data/riverside_cats/TC2_riv.cat,Hadde loved outher hym or Achilles,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
mouen,leve,v%pr_3,Troilus and Criseyde; Book II 420,data/riverside_cats/TC2_riv.cat,This false world allas who may it leve,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 421,data/riverside_cats/TC2_riv.cat,What is this al the joye and al the feste,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 422,data/riverside_cats/TC2_riv.cat,Is this youre reed Is this my blisful cas,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 422,data/riverside_cats/TC2_riv.cat,Is this youre reed Is this my blisful cas,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 423,data/riverside_cats/TC2_riv.cat,Is this the verray mede of youre byheeste,RIVERSIDE,Present 3rd sg must end in -th
purveien,purveye,v%pr_3,Troilus and Criseyde; Book II 426,data/riverside_cats/TC2_riv.cat,Thow in this dredful cas for me purveye,RIVERSIDE,Present 3rd sg must end in -th
moten,mot,v%pr_3,Troilus and Criseyde; Book II 439,data/riverside_cats/TC2_riv.cat,But sith I se my lord mot nedes dye,RIVERSIDE,Present 3rd sg must end in -th
cacchen,kaughte,v%pt_3,Troilus and Criseyde; Book II 448,data/riverside_cats/TC2_riv.cat,Tyl she agayn hym by the lappe kaughte,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
slen,sle,v%pr_3,Troilus and Criseyde; Book II 459,data/riverside_cats/TC2_riv.cat,And if this man sle here hymself allas,RIVERSIDE,Present 3rd sg must end in -th
