OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,GREEN_SYLLABLES,V1_SCANSION,V1_SYLLABLES,V1_MATCHES_GREEN,V1_CONFIDENCE
"Ye knowe eek, that in forme of speche is chaunge",Ye knowe eek that in forme of speche is chaunge,u Su S u u Sx u Sx u Sx,11,u Sx u S u Sx u Sx u Sx,10,0,66.95
"Withinne a thousand yeer, and wordes tho",Withinne a thousand yeer and wordes tho,uSx u Su S u Su S,10,uSx u Su S u Su S,10,1,88.86
"That hadden pris, now wonder niceand straunge",That hadden pris now wonder nice and straunge,u Su S u Su S u Sx,10,u Su S u Su Sx u Sx,10,1,76.12
Us thinketh hem; and yet they spake hem so,Us thinketh hem and yet they spake hem so,u Su S u S u Sx u S,10,u Su S u S u Sx u S,10,1,59.60
And spedde as wel in love as men now do;,And spedde as wel in love as men now do,u Sx u S u Sx u S u S,10,u Sx u S u Sx u S u S,10,1,67.82
Eek for to winne love in sondry ages,Eek for to winne love in sondry ages,u S u Su S u Su Sx,10,u S u Su Sx u Su Sx,10,1,68.62
"In sondry londes, sondry ben usages.",In sondry londes sondry ben usages,u Su Su Su S uSx,10,u Su Su Su S uSx,10,1,68.10
And forthi if it happe in any wise,And forthi if it happe in any wise,u Su S u Sx u Su Sx,10,u Su S u Sx u Su Sx,10,1,71.50
That here be any lovere in this place,That here be any lovere in this place,u Sx u Su Sux S u Sx,10,u Sx u Su Sux S u Sx,10,1,68.92
"That herkeneth, as the story wol devise",That herkeneth as the story wol devise,u Sux S u Su S uSx,10,u Sux S u Su S uSx,10,1,76.89
How Troilus com to his lady grace,How Troilus com to his lady grace,u SuS u S u Su Sx,10,u SuS u S u Su Sx,10,1,77.01
"And thenketh, so nolde I nat love purchace",And thenketh so nolde I nat love purchace,u Su S ux S u Sx uSx,10,u Su S ux S u Sx uSx,10,1,72.08
Or wondreth on his speche and his doinge,Or wondreth on his speche and his doinge,u Su S u Su S u Sx,10,u Su S u Su S u Sx,10,1,65.61
I noot; but it is me no wonderinge;,I noot but it is me no wonderinge,u S u S u S u SuSx,10,u S u S u S u SuSx,10,1,70.33
For every wight which that to Rome went,For every wight which that to Rome went,u Su S u S u Su S,10,u Su S u S u Su S,10,1,66.55
"Halt nat o path, or alwey o manere.",Halt nat o path or alwey o manere,u S u S u Su S uSx,10,u S u S u Su S uSx,10,1,67.57
Eek in some lond were al the gamen shent,Eek in some lond were al the gamen shent,u S ux S ux S u Su S,10,u S ux S ux S u Su S,10,1,71.10
If that they ferde in love as men don here,If that they ferde in love as men don here,u S u Sx u Sx u S u Sx,10,u S u Sx u Sx u S u Sx,10,1,66.76
"As thus, in open doing or in chere",As thus in open doing or in chere,u S u Su Su S u Sx,10,S u S uS u S u Sx,9,0,34.11
"In visitinge, in forme, or seide hir sawes;",In visitinge in forme or seide hir sawes,u SuSx u Sx u Sx u Sx,10,u SuSx u Sx u Sx u Sx,10,1,80.45
"Forthi men seyn, ech contree hath his lawes.",Forthi men seyn ech contree hath his lawes,uS u S u Su S u Sx,10,uS u S u Su S u Sx,10,1,68.82
Eek scarsly been ther in this place three,Eek scarsly been ther in this place three,u Su S u S u Su S,10,u Su S u S u Su S,10,1,67.11
That have in love seid lik and doon in al;,That have in love seid lik and doon in al,u Sx u Sx u S u S u S,10,u Sx u Sx u S u S u S,10,1,71.99
For to thy purpos this may liken thee,For to thy purpos this may liken thee,u S u Su S u Su S,10,u S u Su S u Su S,10,1,62.74
"And thee right nought, yet al is seid or shal;",And thee right nought yet al is seid or shal,u S u S u S u S u S,10,u S u S u S u S u S,10,1,70.37
"Eek som men grave in tree, som in stoon wal",Eek som men grave in tree som in stoon wal,u S u Sx u S u S u S,10,u S u Sx u S u S u S,10,1,61.72
As it bitit; but sin I have begonne,As it bitit but sin I have begonne,u S uS u S u Sx uSx,10,u S uS u S u Sx uSx,10,1,74.74
"Min auctor shal I folwen, if I conne.",Min auctor shal I folwen if I conne,u Su S u Su S u Sx,10,u Su S u Su S u Sx,10,1,71.64
"In May, that moder is of monthes glade",In May that moder is of monthes glade,u S u Su S u Su Sx,10,u S u Su S u Su Sx,10,1,73.49
"That fresshe floures, blewe, and white, and rede",That fresshe floures blewe and white and rede,u Su Su Sx u Sx u Sx,10,u Su Su Sx u Sx u Sx,10,1,84.31
"Ben quike again, that winter dede made",Ben quike again that winter dede made,u Sx uS u Su Su Sx,10,u Sx uS u Su Su Sx,10,1,75.16
And ful of bawme is fletinge every mede;,And ful of bawme is fletinge every mede,u S u Sx u Sux Su S,10,u S u Sx u Sux Su Sx,10,1,77.01
Whan Phebus doth his brighte bemes sprede,Whan Phebus doth his brighte bemes sprede,u Su S u Su Su Sx,10,u Su S u Su Su Sx,10,1,81.53
"Right in the white Bole, it so bitidde",Right in the white Bole it so bitidde,u S u Su Sx u S uSx,10,u S u Su Sx u S uSx,10,1,66.61
"As I shal singe, on Mayes day the thridde",As I shal singe on Mayes day the thridde,u S u Sx u Su S u Sx,10,u S u Sx u Su S u Sx,10,1,69.45
"That Pandarus, for al his wise speche",That Pandarus for al his wise speche,u SuS u S u Su Sx,10,u SuS u S u Su Sx,10,1,70.89
Felte eek his part of loves shottes kene,Felte eek his part of loves shottes kene,ux S u S u Su Su Sx,10,ux S u S u Su Su Sx,10,1,89.02
"That, coude he never so wel of loving preche",That coude he never so wel of loving preche,u Sx u S u S u Su Sx,10,u Sx u S u S u Su Sx,10,1,70.08
It made his hewe aday ful ofte grene;,It made his hewe aday ful ofte grene,u Sx u Sx uS u Su Sx,10,u Sx u Sx uS u Su Sx,10,1,79.40
"So shoop it, that him fil that day a tene",So shoop it that him fil that day a tene,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,71.37
"In love, for which in wo to bedde he wente",In love for which in wo to bedde he wente,u Sx u S u S u Sx u Sx,10,u Sx u S u S u Sx u Sx,10,1,76.76
"And made, er it was day, ful many a wente.",And made er it was day ful many a wente,u Sx u S u S u Sx u Sx,10,u Sx u S u S u Sx u Sx,10,1,67.50
"The swalwe Proignè, with a sorwful lay",The swalwe Proign with a sorwful lay,u Su Su S u Su S,10,u Su Su S u Su S,10,1,86.05
"Whan morwe com, gan make hir weimentinge",Whan morwe com gan make hir weimentinge,u Su S u Sx u SuSx,10,u Su S u Sx u SuSx,10,1,68.97
Why she forshapen was; and ever lay,Why she forshapen was and ever lay,u S uSu S u Su S,10,u S uSu S u Su S,10,1,74.33
"Pandare abedde, half in a slomberinge",Pandare abedde half in a slomberinge,uSx uSx u S u SuSx,10,uSx uSx u S u SuSx,10,1,68.90
Til she so neigh him made hir chiteringe,Til she so neigh him made hir chiteringe,u S u S u Sx u SuSx,10,u S u S u Sx u SuSx,10,1,72.03
How Tereus gan forth hir suster take,How Tereus gan forth hir suster take,u SuS u S u Su Sx,10,u SuS u S u Su Sx,10,1,83.41
That with the noise of hir he gan awake;,That with the noise of hir he gan awake,u S u Sx u S u S uSx,10,u S u Sx u S u S uSx,10,1,67.49
"And gan to calle, and dresse him up to rise",And gan to calle and dresse him up to rise,u S u Sx u Sx u S u Sx,10,u S u Sx u Sx u S u Sx,10,1,85.01
Remembringe him his erand was to done,Remembringe him his erand was to done,uSux S u Su S u Sx,10,uSux S u Su S u Sx,10,1,80.86
"From Troilus, and eek his greet emprise;",From Troilus and eek his greet emprise,u SuS u S u S uSx,10,u SuS u S u S uSx,10,1,80.06
And caste and knew in good plit was the mone,And caste and knew in good plit was the mone,u Sx u S u S u S u Sx,10,u Sx u S u S u S u Sx,10,1,79.02
"To doon viage, and took his wey ful sone",To doon viage and took his wey ful sone,u S uSx u S u S u Sx,10,u S uSx u S u S u Sx,10,1,82.84
Unto his neces paleis ther biside.,Unto his neces paleis ther biside,uS u Su Su S uSx,10,uS u Su Su S uSx,10,1,73.96
"Now Janus, god of entree, thou him gide!",Now Janus god of entree thou him gide,u Su S u Su S u Sx,10,u Su S u Su S u Sx,10,1,80.53
Whan he was come unto his neces place,Whan he was come unto his neces place,u S u Sx uS u Su Sx,10,u S u Sx uS u Su Sx,10,1,65.91
“Wher is my lady?” to hir folk quod he;,Wher is my lady to hir folk quod he,u S u Su S u S u S,10,u S u Su S u S u S,10,1,66.97
And they him tolde; and he forth in gan pace,And they him tolde and he forth in gan pace,u S u Sx u S u S u Sx,10,u S u Sx u S u S u Sx,10,1,59.77
And fond two othere ladies sete and she,And fond two othere ladies sete and she,u S u Sux Su S u S,10,u S u Sxx uSu Sx u S,10,0,53.33
Withinne a paved parlour; and they three,Withinne a paved parlour and they three,uSx u Su Su S u S,10,uSx u Su Su S u S,10,1,79.04
Herden a maiden reden hem the geste,Herden a maiden reden hem the geste,uS u Su Su S u Sx,10,uS u Su Su S u Sx,10,1,91.73
"Of the Sege of Thebes, whil hem leste.",Of the Sege of Thebes whil hem leste,S u Sx u Su S u Sx,9,S u Sx u Su S u Sx,9,1,71.88
"Quod Pandarus, “Ma dame, God yow see",Quod Pandarus ma dame God yow see,u SuS u Su S u S,10,u SuS u Su S u S,10,1,78.06
With al your book and al the companie!”,With al your book and al the companie,u S u S u S u SuS,10,u S u S u S u SuS,10,1,82.96
"“Ey, uncle min, welcome ywis,” quod she",Ey uncle min welcome ywis quod she,u Su S uSx uS u S,10,u Su S uSx uS u S,10,1,77.16
"And up she roos, and by the hond in hie",And up she roos and by the hond in hie,u S u S u S u S u S,10,u S u S u S u S u S,10,1,78.95
"She took him faste, and seide, “This night thrie",She took him faste and seide This night thrie,u S u Sx u Su S u S,10,u S u Sx u Su S u S,10,1,63.78
"To goode mote it turne, of yow I mette!”",To goode mote it turne of yow I mette,u Su Sx u Sx u S u Sx,10,u Su Sx u Sx u S u Sx,10,1,77.51
And with that word she doun on bench him sette.,And with that word she doun on bench him sette,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,71.02
"“Ye, nece, ye shal fare wel the bet",Ye nece ye shal fare wel the bet,u Su S u Su S u S,10,u Su S u Su S u S,10,1,62.27
"If God wole, al this yeer,” quod Pandarus;",If God wole al this yeer quod Pandarus,u S ux S u S u SuS,10,u S ux S u S u SuS,10,1,73.73
“But I am sory that I have yow let,But I am sory that I have yow let,u S u Su S u Sx u S,10,u S u Su S u Sx u S,10,1,63.93
To herknen of your book ye preisen thus;,To herknen of your book ye preisen thus,u Su S u S u Su S,10,u Su S u S u Su S,10,1,79.42
"For Goddes love, what seith it? tel it us.",For Goddes love what seith it tel it us,u Su Sx u S u S u S,10,u Su Sx u S u S u S,10,1,71.95
"Is it of love? O, som good ye me lere!”",Is it of love O som good ye me lere,u S u Sx u S u S u Sx,10,u S u Sx u S u S u Sx,10,1,59.04
"“Uncle,” quod she, “your maistresse is not here!”",Uncle quod she your maistresse is not here,uS u S u Su S u Sx,10,ux S u S uSu S u Sx,10,0,32.73
"With that they gonnen laughe, and tho she seide",With that they gonnen laughe and tho she seide,u S u Su Sx u S u Sx,10,u S u Su Sx u S u Sx,10,1,66.81
"“This romaunce is of Thebes, that we rede;",This romaunce is of Thebes that we rede,u Sux S u Su S u Sx,10,u Sux S u Su S u Sx,10,1,73.70
And we han herd how that king Laius deide,And we han herd how that king Laius deide,u S u S u S u Su Sx,10,u S u S u S u Su Sx,10,1,71.31
"Thurgh Edippus his sone, and al that dede;",Thurgh Edippus his sone and al that dede,u SuS u Sx u S u Sx,10,u SuS u Sx u S u Sx,10,1,77.47
And here we stenten at these lettres rede,And here we stenten at these lettres rede,u Sx u Su S ux Su Sx,10,u Sx u Su S ux Su Sx,10,1,87.11
"How the bisshop, as the book can telle",How the bisshop as the book can telle,S u Su S u S u Sx,9,S u Su S u S u Sx,9,1,66.18
"Amphiorax, fil thurgh the ground to helle.”",Amphiorax fil thurgh the ground to helle,uSuS u S u S u Sx,10,uSuS u S u S u Sx,10,1,84.56
"Quod Pandarus, “Al this knowe I myselve",Quod Pandarus Al this knowe I myselve,u SuS u S ux S uSx,10,u SuS u S ux S uSx,10,1,57.67
And al th’assege of Thebes and the care;,And al th assege of Thebes and the care,u S  uSx u Su S u Sx,10,u S  uSx u Su S u Sx,10,1,58.87
For herof been ther maked bokes twelve:—,For herof been ther maked bokes twelve,u Su S u Su Su Sx,10,u Su S u Su Su Sx,10,1,87.71
"But lat be this, and tel me how ye fare;",But lat be this and tel me how ye fare,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,56.48
"Do wey your barbe, and shew your face bare;",Do wey your barbe and shew your face bare,u S u Sx u S u Su Sx,10,u S u Sx u S u Su Sx,10,1,80.85
"Do wey your book, ris up, and lat us daunce",Do wey your book ris up and lat us daunce,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,84.77
And lat us don to May som observaunce.”,And lat us don to May som observaunce,u S u S u S u SuSx,10,u S u S u S u SuSx,10,1,68.81
"“I? God forbede!” quod she, “Be ye mad?”",I God forbede quod she Be ye mad,u S uSu S u S u S,10,u S uSu S u S u S,10,1,67.60
"Is that a widewes lif, so God you save?",Is that a widewes lif so God you save,u S u Sux S u S u Sx,10,u S u Sux S u S u Sx,10,1,77.23
"By God, ye maken me right sore adrad",By God ye maken me right sore adrad,u S u Su S u Sx uS,10,u S u Su S u Sx uS,10,1,70.76
"Ye ben so wilde, it semeth as ye rave!",Ye ben so wilde it semeth as ye rave,u S u Sx u Su S u Sx,10,u S u Sx u Su S u Sx,10,1,69.67
It satte me wel bet ay in a cave,It satte me wel bet ay in a cave,u Su S u S u S u Sx,10,u Su S u S u S u Sx,10,1,71.72
"To bidde, and rede on holy seintes lives:",To bidde and rede on holy seintes lives,u Sx u Sx u Su Su Sx,10,u Sx u Sx u Su Su Sx,10,1,76.89
"Lat maidens gon to daunce, and yonge wives.”",Lat maidens gon to daunce and yonge wives,u Su S u Sx u Sx uS,10,u Su S u Sx u Sx uS,10,1,74.53
"“As ever thrive I,” quod this Pandarus",As ever thrive I quod this Pandarus,u Su Sx u S u SuS,10,u Su Sx u S u SuS,10,1,73.26
“Yet coude I telle a thing to doon you pleie.”,Yet coude I telle a thing to doon you pleie,u Sx u Sx u S u S u S,10,u Sx u Sx u S u S u S,10,1,79.23
"“Now uncle dere,” quod she, “tel it us",Now uncle dere quod she tel it us,u Su Su S u S u S,10,u Su Su S u S u S,10,1,50.34
For Goddes love; is than the assege aweye?,For Goddes love is than the assege aweye,u Su S u S x uS uS,10,u Su Sx u S u Sux Su,11,0,54.93
I am of Grekes so fered that I deie.”,I am of Grekes so fered that I deie,u S u Su S ux S u S,10,u S u Su S ux S u S,10,1,71.91
"“Nay, nay,” quod he, “as ever mote I thrive!",Nay nay quod he as ever mote I thrive,u S u S u Su Sx u Sx,10,u S u S u Su Sx u Sx,10,1,70.50
It is a thing wel bet than swiche five.”,It is a thing wel bet than swiche five,u S u S u S u Su Sx,10,u S u S u S u Su Sx,10,1,72.02
"“Ye, holy God!” quod she, “What thing is that?",Ye holy God quod she What thing is that,u Su S u S u S u S,10,u Su S u S u S u S,10,1,67.14
"What? bet than swiche five? Ey, nay, ywis!",What bet than swiche five Ey nay ywis,u S u Su Sx u S uS,10,u S u Su Sx u S uS,10,1,78.93
For al this world ne can I reden what,For al this world ne can I reden what,u S u S u S u Su S,10,u S u S u S u Su S,10,1,73.21
"It sholde been; som jape, I trowe, is this.",It sholde been som jape I trowe is this,u Su S u Sx u Sx u S,10,u Su S u Sx u Sx u S,10,1,58.22
And but yourselven telle us what it is,And but yourselven telle us what it is,u S uSu Sx u S u S,10,u S uSu Sx u S u S,10,1,62.84
My wit is for to arede it al to lene;,My wit is for to arede it al to lene,u S u S u xS u S u S,10,u S u S u Sxx u S u Sx,10,1,72.81
"As help me God, I noot nat what ye mene.”",As help me God I noot nat what ye mene,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,71.96
"“And I your borow, ne never shal, for me",And I your borow ne never shal for me,u S u Sx u Su S u S,10,u S u S u Su S u S,10,1,69.35
"This thing be told to yow, as mote I thrive!”",This thing be told to yow as mote I thrive,u S u S u S u Sx u Sx,10,u S u S u S u Sx u Sx,10,1,75.13
"“And why so, uncle min? why so?” quod she.",And why so uncle min why so quod she,u S u Su S u S u S,10,u S u Su S u S u S,10,1,58.71
"“By God,” quod he, “that wole I telle as blive;",By God quod he that wole I telle as blive,u S u S u Sx u Sx u Sx,10,u S u S u Sx u Sx u Sx,10,1,68.60
For prouder womman were ther noon on live,For prouder womman were ther noon on live,u Su Su Sx u S u Sx,10,u Su Su Sx u S u Sx,10,1,75.42
"And ye it wiste, in al the toun of Troye;",And ye it wiste in al the toun of Troye,u S u Sx u S u S u S,10,u S u Sx u S u S u Su,11,0,63.72
"I jape nought, as ever have I joye!”",I jape nought as ever have I joye,u Su S u Su S u S,10,u Su S u S ux S uS,10,0,41.96
Tho gan she wondren more than biforn,Tho gan she wondren more than biforn,u S u Su Su S uS,10,u S u Su Su S uS,10,1,60.82
"A thousand fold, and doun hir eyen caste;",A thousand fold and doun hir eyen caste,u Su S u S u Su Sx,10,u Su S u S u Su Sx,10,1,84.39
"For never, sith the time that she was born",For never sith the time that she was born,u Su S u Sx u S u S,10,u Su S u Sx u S u S,10,1,70.13
To knowe thing desired she so faste;,To knowe thing desired she so faste,u Su S uSu S u Sx,10,u Su S uSu S u Sx,10,1,69.64
And with a sik she seide him at the laste,And with a sik she seide him at the laste,u S u S u Sx u S u Sx,10,u S u S u Sx u S u Sx,10,1,73.06
"“Now, uncle min, I nil yow nought displese",Now uncle min I nil yow nought displese,u Su S u S u S uSx,10,u Su S u S u S uSx,10,1,69.94
"Nor axen more, that may do yow disese.”",Nor axen more that may do yow disese,u Su Sx u S u S uSx,10,u Su Sx u S u S uSx,10,1,69.21
"So after this, with many wordes glade",So after this with many wordes glade,u Su S u Su Su Sx,10,u Su S u Su Su Sx,10,1,69.06
"And freendly tales, and with mery chere",And freendly tales and with mery chere,u Su Su S u Su Sx,10,u Su Su S u Su Sx,10,1,75.44
"Of this and that they pleide, and gunnen wade",Of this and that they pleide and gunnen wade,u S u S u Sx u Su Sx,10,u S u S u Sx u Su Sx,10,1,74.76
In many an unkouth glad and deep matere,In many an unkouth glad and deep matere,u Sx u Su S u S uS,10,u Sx u Su S u S uSx,10,1,81.87
"As freendes doon, whan they ben met yfere;",As freendes doon whan they ben met yfere,u Su S u S u S uSx,10,u Su S u S u S uSx,10,1,80.34
Til she gan axen him how Ector ferde,Til she gan axen him how Ector ferde,u S u Su S u Su Sx,10,u S u Su S u Su Sx,10,1,71.30
That was the tounes wal and Grekes yerde.,That was the tounes wal and Grekes yerde,u S u Su S u Su S,10,u S u Su S u Su Sx,10,1,84.28
"“Ful wel, I thanke it God,” quod Pandarus",Ful wel I thanke it God quod Pandarus,u S u Sx u S u SuS,10,u S u Sx u S u SuS,10,1,75.95
“Save in his arm he hath a litel wounde;,Save in his arm he hath a litel wounde,ux S u S u S u Su Sx,10,ux S u S u S u Su Sx,10,1,71.35
And eek his fresshe brother Troilus,And eek his fresshe brother Troilus,u S u Su Su SuS,10,u S u Su Su SuS,10,1,82.23
The wise worthy Ector the secounde,The wise worthy Ector the secounde,u Su Su Su S uSx,10,u Su Su Su S uSx,10,1,65.57
In whom that every vertu list abounde,In whom that every vertu list abounde,u S u Sxu Su S uSx,10,u S u Su Su S uSx,10,1,82.34
As alle trouthe and alle gentillesse,As alle trouthe and alle gentillesse,u Su Sx u Su SuSx,10,u Su Sx u Su SuSx,10,1,73.37
"Wisdom, honour, fredom, and worthinesse.”",Wisdom honour fredom and worthinesse,uS uS uS u SuSx,10,uS uS uS u SuSx,10,1,62.43
"“In good feith, eem,” quod she, “that liketh me;",In good feith eem quod she that liketh me,u S u S u S u Su S,10,u S u S u S u Su S,10,1,67.55
"They faren wel, God save hem bothe two!",They faren wel God save hem bothe two,u Su S u Sx u Su S,10,u Su S u Sx u Su S,10,1,59.09
For trewelich I holde it greet deintee,For trewelich I holde it greet deintee,u SuS u Sx u S uS,10,u SuS u Sx u S uS,10,1,82.85
A kinges sone in armes wel to do,A kinges sone in armes wel to do,u Su Sx u Su S u S,10,u Su Sx u Su S u S,10,1,78.62
And been of good condiciouns therto;,And been of good condiciouns therto,u S u S uSuS uS,10,u S u S uSuS uS,10,1,79.78
For greet power and moral vertu here,For greet power and moral vertu here,u S uS u Su Su Sx,10,u S uS u Su Su Sx,10,1,78.03
Is selde yseye in o persone yfere.”,Is selde yseye in o persone yfere,u Sx uS u S uS uS,10,u Su Su S u Sux Sxx,10,0,29.22
"“In good feith, that is sooth,” quod Pandarus;",In good feith that is sooth quod Pandarus,u S u S u S u SuS,10,u S u S u S u SuS,10,1,68.57
"But, by my trouthe, the king hath sones tweie",But by my trouthe the king hath sones tweie,u S u Sx u S u Su S,10,u S u Sx u S u Su S,10,1,79.33
"That is to mene, Ector and Troilus",That is to mene Ector and Troilus,u S u Sx uS u SuS,10,u S u Sx uS u SuS,10,1,69.00
"That certainly, though that I sholde deie",That certainly though that I sholde deie,u SuS u S u Su S,10,u SuS u S u Su S,10,1,62.18
"They been as voide of vices, dar I seye",They been as voide of vices dar I seye,u S u Sx u Su S u S,10,u S u Sx u Su S u S,10,1,83.88
As any men that liveth under the sonne,As any men that liveth under the sonne,u Su S u Sx uS u Sx,10,u Su S u Sx uS u Sx,10,1,78.60
"Hir might is wide yknowe, and what they conne.",Hir might is wide yknowe and what they conne,u S u Sx uSx u S u Sx,10,u S u Sx uSx u S u Sx,10,1,76.12
Of Ector nedeth it nought for to telle;,Of Ector nedeth it nought for to telle,u Su Su S u S u Sx,10,u Su Su S u S u Sx,10,1,62.25
In al this world ther nis a bettre knight,In al this world ther nis a bettre knight,u S u S u S u Su S,10,u S u S u S u Su S,10,1,81.28
"Than he, that is of worthinesse welle;",Than he that is of worthinesse welle,u S u S u SuSu Sx,10,u S u S u SuSu Sx,10,1,57.33
And he wel more vertu hath than might.,And he wel more vertu hath than might,u S u Su Su S u S,10,u S u Su Su S u S,10,1,61.05
This knoweth many a wis and worthy wight.,This knoweth many a wis and worthy wight,u Su Sx u S u Su S,10,u Su Sx u S u Su S,10,1,80.56
The same pris of Troilus I seye,The same pris of Troilus I seye,u Su S u SuS u S,10,u Su S u SuS u S,10,1,84.94
"God help me so, I knowe not swiche tweie.”",God help me so I knowe not swiche tweie,u S u S u Sx u Su S,10,u S u S u Sx u Su S,10,1,58.79
"“By God,” quod she, “of Ector that is sooth;",By God quod she of Ector that is sooth,u S u S u Su S u S,10,u S u S u Su S u S,10,1,66.25
Of Troilus the same thing trowe I;,Of Troilus the same thing trowe I,u SuS u Su S u S,10,u SuS u Su S ux S,10,1,69.16
"For dredelees, men tellen that he dooth",For dredelees men tellen that he dooth,u SuS u Su S u S,10,u SuS u Su S u S,10,1,75.03
In armes day by day so worthily,In armes day by day so worthily,u Su S u S u SuS,10,u Su S u S u SuS,10,1,81.63
And bereth him her at hoom so gentilly,And bereth him her at hoom so gentilly,u Sx u S u S u SuS,10,u Sx u S u S u SuS,10,1,72.40
"To every wight, that al the pris hath he",To every wight that al the pris hath he,u Sxu S u S u S u S,10,u Su S u S u S u S,10,1,69.89
Of hem that me were levest preised be.”,Of hem that me were levest preised be,u S u x Su Su Su S,10,u S u S ux Su Su S,10,0,67.16
"“Ye sey right sooth, ywis,” quod Pandarus;",Ye sey right sooth ywis quod Pandarus,u S u S uS u SuS,10,u S u S uS u SuS,10,1,83.04
"“For yesterday, whoso had with him been",For yesterday whoso had with him been,u SuS uS u S u S,10,u SuS uS u S u S,10,1,66.72
He might han wondred upon Troilus;,He might han wondred upon Troilus,u S u Su uS SuS,10,u S u Su Su SuS,10,0,72.05
For never yet so thikke a swarm of been,For never yet so thikke a swarm of been,u Su S u Sx u S u S,10,u Su S u Sx u S u S,10,1,74.11
"Ne fleigh, as Grekes for him gonne fleen;",Ne fleigh as Grekes for him gonne fleen,u S u Su S u Su S,10,u S u Su S u Su S,10,1,81.66
"And thorugh the feld, in every wightes ere",And thorugh the feld in every wightes ere,u Su S u S uS Su S,11,u S u S u Su Su Sx,10,0,67.76
Ther nas no cry but ‘Troilus is there!’,Ther nas no cry but Troilus is there,u S u S u SuS u Sx,10,u S u S u SuS u Sx,10,1,82.93
"“Now here, now ther, he hunted hem so faste",Now here now ther he hunted hem so faste,u Sx u S u Su S u Sx,10,u Sx u S u Su S u Sx,10,1,69.93
Ther nas but Grekes blood; and Troilus,Ther nas but Grekes blood and Troilus,u S u Su S u SuS,10,u S u Su S u SuS,10,1,90.46
"Now hem he hurte, and hem al doun he caste;",Now hem he hurte and hem al doun he caste,u S u Sx u S u S u Sx,10,u S u Sx u S u S u Sx,10,1,72.17
