folder,file,line_number,oxford_text,green_scansion,v2_scansion,ranked_scansion
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 134,And I your borow ne never shal for me,u S u Sx u Su S u S,u S u Su S uS u S u,u S u S u Su S u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 151,In many an unkouth glad and deep matere,u Sx u Su S u S uS,u Su S uS u S u Sux,u Sx u Su S u S uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 174,As any men that liveth under the sonne,u Su S u Sx uS u Sx,u Su S u Su Su S ux,u Su S u Sx uS u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 180,This knoweth many a wis and worthy wight,u Su Sx u S u Su S,u Su Su S u S uS u,u Su Sx u S u Su S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 184,Of Troilus the same thing trowe I,u SuS u Su S u S,u SuS u Sx u Su S,u SuS u Su S ux S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 187,And bereth him her at hoom so gentilly,u Sx u S u S u SuS,u Su S u S u S uSu,u Sx u S u S u SuS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 205,Of grete estat that ever I saw my live,u Sx uS u S u S u Sx,u Sx uS u Su S u S ux,u Sx uS u S u S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 207,To suche as him thinketh able for to thrive,u S u S ux Su S u Sx,u Sx u S uS ux S u Sx,u Sx u S ux Su S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 244,As in my gilt I shal you nevere offende,u S u S u S u Sxx uSx,u S u S u S u Sux Sux,u S u S u S u Sxx uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 257,With subtil art hir tales for to endite,u Su S u Su S x uSx,u Su S u Su S u Sux,u Su S u Su S x uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 288,Good aventure O bele nece have ye,u SuSx u Su S u S,u SuSx u Sx ux Su S,u SuSx u Su Sx ux S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 357,Thorugh min abet that he thin honour shente,u S uS u S u Su Sx,uS u Su S u S uS ux,u S uS u S u Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 376,That wher he cometh he pris and thank him geteth,u S u Sx u S u S u Sx,u S u Su S u S u S ux,u S u Sx u S u S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 387,Thoughte I shal fele what he meneth ywis,ux S u Su S u Sx uS,ux S u Sx u S uS uS,ux S u Su S u Sx uS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 393,Thenk eek how elde wasteth every houre,u S u Su Su Su Sx,u S u Sx uS uSu Sx,u S u Su Su Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 401,Whan that him thinketh a womman bereth hir hi,u S u Sx u Su S u S,u S u Su S uS ux S u,u S u Sx u Su Sx u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 489,Ne shal I never on him han other routhe,u S u S u S u Su Sx,u S u Su S u S uS ux,u S u S u S u Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 558,Ne herde I never and what that was his mone,u Sx u S u S u S u Sx,u Sx u Su S u S u S ux,u Sx u S u S u S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 595,Now wel quod she foryeven be it here,u S u S uSu S u Sx,u S u x SuSu S u Sx,u S u S uSux S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 637,It was an heven upon him for to see,u S u S uS u S u S,u S u Su Su S u S u,u S u S uS u S u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 638,His helm tohewen was in twenty places,u S uSu S u Su Sx,u S uSu S u Su Su,u S uSu S u Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 640,His sheld todasshed was with swerdes and maces,u S uSu S u Sx u Sx,u S uSu S u Su S ux,u S uSu S u Sx u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 641,In which men mighte many an arwe finde,u S u Su Sx u Su Sx,u S u Sx uS u Su Sx,u S u Su Sx u Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 670,Now whoso seith so mote he never ythee,u Su S u Sx u Sx uS,u Su S u Sx u Su Su,u Su S u Sx u S uS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 683,To helpen sely Troilus of his wo,u Su Su Su S u S,u Su Su SuS u S u,u Su Su Su S u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 700,As to min auctor listeth for to endite,u S u Su Su S x uSx,u S u Su Su S u Sux,u S u Su Su S x uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 758,Shal I nat loven in cas if that me leste,u S u S u S u S u Sx,u S u Su S u S u S ux,u S u Sx u S u S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 768,A cloudy thought gan thorugh hir soule pace,u Su S u S u Su Sx,u Su S u Su S ux Sx,u Su S u S u Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 776,Hir dredful joye hir constreint and hir peine,u Su S u Su S u Sx,u Su Su S uS u S ux,u Su S u Su S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 798,That erst was nothing into nought it torneth,u S u Su Su S u Sx,u S u Su Su S u Su,u S u Su Su S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 810,Than slepeth hope and after drede awaketh,u Su Sx u Su Sx uSx,u Su Sx u Su Sx uSu,u Su Sx u Su Sx uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 822,Ibenched newe and sonded al the weyes,uSu Sx u Sx u S uS,uSu Sx u Su S u Su,uSu Sx u Sx u S uS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 833,In alle joye and seurte out of drede,u Su S u Su S u Sx,u Sx uS u Su S u Sx,u Su S u Su S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 839,To serven wel unwery or unfeined,u Su S uSu S uSx,u Su S uSu S uSu,u Su S uSu S uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 840,That ever was and leest with harm distreined,u Su S u S u S uSx,u Su S u S u S uSu,u Su S u S u S uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 853,This doth me so to vertu for to entende,u S u S u Su S x uSx,u S u S u Su S u Sux,u S u S u Su S x uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 871,My dere herte and al min owene knight,u Su Sx u S u Su S,u Sx ux S u S uSu S,u Su Sx u S u Sux S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 886,These loveres as they conne faire endite,ux Sux S u Su Sx uSx,ux SuS u S ux Sx uSx,ux Sux S u Su Sx uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 890,But wene ye that every wrecche woot,u Su S u Su Su S,u Sx u S uSu Su S,u Su S u Su Su S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 904,The dayes honour and the hevenes eye,u Su Su S u Sux S,u Su Su S u SuS u,u Su Su S u Sux S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 909,For lak of light and sterres for to appere,u S u S u Su S x uSx,u S u S u Su S u Sux,u S u S u Su S x uSx
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 5,In gentil hertes ay redy to repaire,u Su Sx u Su S uSx,u Su Su S uS u Sux,u Su Sx u Su S uSx
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 7,Yheried be thy might and thy goodnesse,uSu S u S u S uSx,uSuS u S u S u Sux,uxSu S u S u S uSx
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 8,In hevene and helle in erthe and salte see,u Sxx u Sx u Sx u Su S,u Sux S ux S ux S ux S,u Sxx u Sx u Sx u Su S
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 16,Thorugh which that thinges liven alle and be,ux S u Su Su Sx u S,uS u S uS uS ux S u,u S u Su Su Sx u S
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 31,Ye knowe al thilke covered qualitee,u Sx u Su Sux SuS,u Sx u Sx uSu SuS,u Sx u Su Sux SuS
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 37,And this knowe I by hem that loveres be,u S ux S u S u Sux S,u S ux S u S u SuS u,u S ux S u S u Sux S
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 42,Som joye of that is felt in thy servise,u S u S u S u S uSx,u Su S u S u S u Sux,u S u S u S u S uSx
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 55,This nil I not foryeten in no wise,u S u S uSu S u Sx,u S u S uSuS u S ux,u S u S uSux S u Sx
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 86,For she was wis and lovede him never the lasse,u S u S u Sxx u Sx u Sx,u x S u S uSx u Su S ux,u S u S u Sxx u S u Sx
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 119,Or slee us bothe at ones er that ye wende,u S u Sx u Sx u S u Sx,u S u Sx u Su S u S ux,u S u Sx u Sx u S u Sx
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 130,Ye wolde somtime freendly on me see,u Su Sux Su S u S,u Sx uSu Su S u S,u Su Sux Su S u S
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 158,With never a word but seide him softely,u S u S u Sx u SuS,u Su S u S ux S uSu,u S u S u Sx u SuS
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 181,For every wo ye shal recovere a blisse,u Sxu S u S uSxx u Sx,u Su S u S uSux S ux,u Su S u S uSxx u Sx
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 205,Tho comen upward right at the steires ende,u Su Su S u S ux Sx,u Su Su S u S uS ux,u Su Su S u S ux Sx
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 223,Delivered been and seide that him leste,uSux S u Su S u Sx,uSuS u S ux S u Sx,uSux S u Su S u Sx
gold,GP_gold.csv,31,So hadde I spoken with hem everichon,u S u Su S u SuS,u Sx u Su S u SuSu,u Sx u Su S u SxuS
gold,GP_gold.csv,121,And she was cleped madame Eglentine,u S u Su Su SuS,u x S uS uSu SuSx,u S u Su Sux SuSx
gold,GP_gold.csv,125,After the scole of Stratford atte Bowe,uS u Su S uS u S,uS u Sx u Su Su Sx,uS u Su S uS ux Sx
gold,GP_gold.csv,129,Ne wette hir fingres in hir sauce depe,u Su S uS u S u S,u Sx u Su S u Su Sx,u Su S uS u S ux Sx
gold,GP_gold.csv,148,But sore weep she if oon of hem were deed,u S u S u S u S u S,u Sx u x S u S u Su S,u Sx u S u S u S ux S
gold,GP_gold.csv,211,So muche of daliaunce and fair langage,u Su S uS u S uS,u Sx u SuSx u S uSx,u Su S uSx u S uSx
gold,GP_gold.csv,231,Therfore in stede of wepinge and preyeres,uS u S u Su S uS,uSx u Sx u Sux S uSu,uSx u Sx u Sux S uSx
gold,GP_gold.csv,252,He was the beste beggere in his hous,u S u Su Su S u S,u S u Sx uSu S u S,u S u Su Sux S u S
gold,GP_gold.csv,260,In lovedayes ther coude he muchel helpe,u SuS u S u Su S,u SuSu S ux S uS ux,u SxuS u Sx u Su Sx
gold,GP_gold.csv,280,Wel coude he in eschaunge sheeldes selle,u Su S u Su Su S,u Sx u S uSu Su Sx,u Su S u Sux Su Sx
gold,GP_gold.csv,345,Withoute bake mete was nevere his hous,uSu S u S uS u S,uSx ux Su S uSx u S,uSu Sx ux S uSx u S
gold,GP_gold.csv,370,Hir girdles and hir pouches everydel,u Su S u Su SuS,u Su S u Su SuSu,u Su S u Su SxuS
gold,GP_gold.csv,388,That on his shine a mormal hadde he,u S u Su S uS u S,u S u Sx u Su Su S,u S u Su S uS ux S
gold,GP_gold.csv,456,I dorste swere they weyeden ten pound,u Su Su S uS u S,u Su Sx u SuS u S,u Su Su S uSx u S
gold,GP_gold.csv,462,Housbondes at chirchedore she hadde five,uSu S uSu S u S,uSu S uSux x Su Sx,uSu S uSux S ux Sx
gold,GP_gold.csv,467,At Rome she hadde been and at Boloigne,u Su S u S u S uS,u Sx u Su S u S uSx,u Su S ux S u S uSx
gold,GP_gold.csv,477,Of remedies of love she knew perchaunce,u SuS u S u S uS,u SuSu S ux x S uSx,u SxuS u Sx u S uSx
gold,GP_gold.csv,533,A trewe swinkere and a good was he,u Su Su S u S u S,u Sx uSu S u S u S,u Su Sux S u S u S
gold,GP_gold.csv,632,Boras ceruce ne oille of tartre noon,uS uSu S u S u S,uS uSx u Sx u Su S,uS uSu S ux S ux S
gold,GP_gold.csv,653,A twelfmonth and excuse him atte fulle,u Su S uSu S u S,u Su S uSx u Su Sx,u Su S uSu S ux Sx
gold,GP_gold.csv,749,Greet cheere made our host us everichon,u Su S u S u SuS,u Sx ux S u S uSuS,u Su Sx u S u SxuS
gold,GP_gold.csv,770,To doon yow ese and it shal coste noght,u S u Su S u S u S,u S u Sx u S u Su S,u S u Su S u S ux S
